1,今井 貴士,今井 貴士.1,2,山田 丈,山田 丈.1,3,村本 大成,村本 大成.1,4,宮脇 遼太,宮脇 遼太.1,5,橋本 英一,橋本 英一.1,6,仲本 舜,仲本 舜.1
2.0,3.0,9.4,1.0,3.0,57.4,1.0,2.0,113.3,1.0,2.0,44.6,1.0,2.0,307.0,1.0,2.0,1150.0
2.0,4.0,5.2,1.0,4.0,37.5,1.0,4.0,82.1,1.0,3.0,80.6,1.0,3.0,535.4,1.0,3.0,1829.0
2.0,5.0,15.0,1.0,5.0,84.2,1.0,5.0,191.8,1.0,5.0,69.1,1.0,4.0,349.2,1.0,4.0,1086.0
2.0,6.0,31.4,1.0,6.0,165.4,1.0,6.0,209.2,1.0,6.0,108.0,1.0,6.0,567.8,1.0,5.0,2145.0
3.0,2.0,14.6,3.0,1.0,259.1,2.0,1.0,230.1,2.0,1.0,87.8,2.0,1.0,547.2,2.0,1.0,2032.0
3.0,4.0,11.1,3.0,4.0,378.1,2.0,4.0,291.0,2.0,3.0,292.7,2.0,3.0,1703.0,2.0,3.0,3658.0
3.0,5.0,33.9,3.0,5.0,897.9,2.0,5.0,581.1,2.0,5.0,207.1,2.0,4.0,1110.0,2.0,4.0,3697.0
3.0,6.0,44.6,3.0,6.0,1016.0,2.0,6.0,744.1,2.0,6.0,420.7,2.0,6.0,1442.0,2.0,5.0,5265.0
4.0,2.0,7.1,4.0,1.0,130.5,4.0,1.0,157.8,3.0,1.0,205.3,3.0,1.0,1066.0,3.0,1.0,2736.0
4.0,3.0,10.7,4.0,3.0,384.0,4.0,2.0,293.2,3.0,2.0,403.6,3.0,2.0,1909.0,3.0,2.0,3309.0
4.0,5.0,18.3,4.0,5.0,481.3,4.0,5.0,342.3,3.0,5.0,540.4,3.0,4.0,1537.0,3.0,4.0,4137.0
4.0,6.0,26.2,4.0,6.0,644.7,4.0,6.0,404.5,3.0,6.0,517.1,3.0,6.0,2068.0,3.0,5.0,4088.0
5.0,2.0,38.7,5.0,1.0,459.0,5.0,1.0,523.3,5.0,1.0,126.8,4.0,1.0,465.2,4.0,1.0,1268.0
5.0,3.0,65.5,5.0,3.0,1277.0,5.0,2.0,858.0,5.0,2.0,220.5,4.0,2.0,770.5,4.0,2.0,2920.0
5.0,4.0,45.5,5.0,4.0,909.7,5.0,4.0,673.4,5.0,3.0,402.6,4.0,3.0,1162.0,4.0,3.0,3582.0
5.0,6.0,127.4,5.0,6.0,1764.0,5.0,6.0,1031.0,5.0,6.0,294.0,4.0,6.0,855.9,4.0,5.0,2945.0
6.0,2.0,121.5,6.0,1.0,847.6,6.0,1.0,1089.0,6.0,1.0,302.9,6.0,1.0,1466.0,5.0,1.0,3582.0
6.0,3.0,185.0,6.0,3.0,2593.0,6.0,2.0,1551.0,6.0,2.0,596.0,6.0,2.0,2008.0,5.0,2.0,5186.0
6.0,4.0,126.7,6.0,4.0,1572.0,6.0,4.0,1485.0,6.0,3.0,806.3,6.0,3.0,2286.0,5.0,3.0,4696.0
6.0,5.0,286.5,6.0,5.0,3278.0,6.0,5.0,2145.0,6.0,5.0,619.4,6.0,4.0,1654.0,5.0,4.0,3949.0
