1,山口 達也,山口 達也.1,2,門間 雄大,門間 雄大.1,3,宮崎 奨,宮崎 奨.1,4,嶋田 貴支,嶋田 貴支.1,5,桐本 康臣,桐本 康臣.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,10.2,1.0,3.0,99.3,1.0,2.0,87.6,1.0,2.0,241.5,1.0,2.0,159.5,1.0,2.0,779.9
2.0,4.0,14.1,1.0,4.0,126.0,1.0,4.0,57.5,1.0,3.0,219.1,1.0,3.0,86.5,1.0,3.0,794.4
2.0,5.0,15.6,1.0,5.0,126.2,1.0,5.0,37.9,1.0,5.0,195.4,1.0,4.0,175.8,1.0,4.0,1071.0
2.0,6.0,47.3,1.0,6.0,272.8,1.0,6.0,135.4,1.0,6.0,363.2,1.0,6.0,181.5,1.0,5.0,827.7
3.0,2.0,10.0,3.0,1.0,268.9,2.0,1.0,226.6,2.0,1.0,499.2,2.0,1.0,372.9,2.0,1.0,1466.0
3.0,4.0,8.3,3.0,4.0,701.0,2.0,4.0,478.7,2.0,3.0,1058.0,2.0,3.0,706.8,2.0,3.0,2202.0
3.0,5.0,6.6,3.0,5.0,555.4,2.0,5.0,377.6,2.0,5.0,770.5,2.0,4.0,1082.0,2.0,4.0,2591.0
3.0,6.0,25.6,3.0,6.0,1289.0,2.0,6.0,818.5,2.0,6.0,1239.0,2.0,6.0,856.7,2.0,5.0,2044.0
4.0,2.0,17.9,4.0,1.0,399.3,4.0,1.0,179.6,3.0,1.0,390.2,3.0,1.0,155.3,3.0,1.0,1315.0
4.0,3.0,15.6,4.0,3.0,827.7,4.0,2.0,443.1,3.0,2.0,821.1,3.0,2.0,507.1,3.0,2.0,2280.0
4.0,5.0,20.9,4.0,5.0,852.4,4.0,5.0,248.8,3.0,5.0,569.5,3.0,4.0,478.7,3.0,4.0,2528.0
4.0,6.0,42.0,4.0,6.0,1441.0,4.0,6.0,536.2,3.0,6.0,971.9,3.0,6.0,462.3,3.0,5.0,2004.0
5.0,2.0,22.5,5.0,1.0,370.8,5.0,1.0,91.5,5.0,1.0,284.9,4.0,1.0,353.4,4.0,1.0,1800.0
5.0,3.0,13.7,5.0,3.0,708.8,5.0,2.0,306.2,5.0,2.0,583.1,4.0,2.0,804.3,4.0,2.0,3091.0
5.0,4.0,28.6,5.0,4.0,966.4,5.0,4.0,263.5,5.0,3.0,581.8,4.0,3.0,697.2,4.0,3.0,2867.0
5.0,6.0,42.7,5.0,6.0,1449.0,5.0,6.0,384.4,5.0,6.0,527.9,4.0,6.0,607.3,4.0,5.0,2138.0
6.0,2.0,139.0,6.0,1.0,1491.0,6.0,1.0,756.9,6.0,1.0,1094.0,6.0,1.0,645.5,5.0,1.0,1309.0
6.0,3.0,93.9,6.0,3.0,2659.0,6.0,2.0,1536.0,6.0,2.0,1788.0,6.0,2.0,1390.0,5.0,2.0,2659.0
6.0,4.0,128.4,6.0,4.0,2618.0,6.0,4.0,1449.0,6.0,3.0,1518.0,6.0,3.0,961.0,5.0,3.0,1922.0
6.0,5.0,125.3,6.0,5.0,2528.0,6.0,5.0,1060.0,6.0,5.0,1130.0,6.0,4.0,1062.0,5.0,4.0,1958.0
