1,井上 忠政,井上 忠政.1,2,坂元 浩仁,坂元 浩仁.1,3,中尾 彩香,中尾 彩香.1,4,牧原 崇,牧原 崇.1,5,中岡 健人,中岡 健人.1,6,尾崎 雄二,尾崎 雄二.1
2.0,3.0,7.1,1.0,3.0,49.1,1.0,2.0,237.3,1.0,2.0,46.9,1.0,2.0,410.3,1.0,2.0,538.4
2.0,4.0,2.8,1.0,4.0,18.1,1.0,4.0,469.2,1.0,3.0,264.7,1.0,3.0,945.4,1.0,3.0,2016.0
2.0,5.0,20.2,1.0,5.0,76.6,1.0,5.0,595.8,1.0,5.0,130.7,1.0,4.0,609.8,1.0,4.0,672.0
2.0,6.0,8.2,1.0,6.0,39.2,1.0,6.0,921.7,1.0,6.0,95.6,1.0,6.0,808.6,1.0,5.0,2185.0
3.0,2.0,32.0,3.0,1.0,222.2,2.0,1.0,316.5,2.0,1.0,75.3,2.0,1.0,609.0,2.0,1.0,770.5
3.0,4.0,45.7,3.0,4.0,504.0,2.0,4.0,895.5,2.0,3.0,521.2,2.0,3.0,1816.0,2.0,3.0,3087.0
3.0,5.0,118.9,3.0,5.0,1017.0,2.0,5.0,1310.0,2.0,5.0,289.1,2.0,4.0,1063.0,2.0,4.0,1109.0
3.0,6.0,105.4,3.0,6.0,775.9,2.0,6.0,1428.0,2.0,6.0,203.8,2.0,6.0,1250.0,2.0,5.0,2943.0
4.0,2.0,8.0,4.0,1.0,70.0,4.0,1.0,881.2,3.0,1.0,886.5,3.0,1.0,1878.0,3.0,1.0,3066.0
4.0,3.0,43.1,4.0,3.0,380.2,4.0,2.0,1354.0,3.0,2.0,1171.0,3.0,2.0,2924.0,3.0,2.0,3773.0
4.0,5.0,42.6,4.0,5.0,325.1,4.0,5.0,2628.0,3.0,5.0,2264.0,3.0,4.0,5519.0,3.0,4.0,4551.0
4.0,6.0,23.1,4.0,6.0,194.5,4.0,6.0,2412.0,3.0,6.0,1809.0,3.0,6.0,4505.0,3.0,5.0,5966.0
5.0,2.0,77.9,5.0,1.0,446.8,5.0,1.0,1517.0,5.0,1.0,224.6,4.0,1.0,704.1,4.0,1.0,834.6
5.0,3.0,189.3,5.0,3.0,1203.0,5.0,2.0,2336.0,5.0,2.0,303.6,4.0,2.0,916.0,4.0,2.0,1126.0
5.0,4.0,109.5,5.0,4.0,698.6,5.0,4.0,3560.0,5.0,3.0,1066.0,4.0,3.0,3109.0,4.0,3.0,4205.0
5.0,6.0,153.2,5.0,6.0,881.2,5.0,6.0,3532.0,5.0,6.0,291.2,4.0,6.0,799.8,4.0,5.0,1752.0
6.0,2.0,51.2,6.0,1.0,292.9,6.0,1.0,2164.0,6.0,1.0,201.6,6.0,1.0,1415.0,5.0,1.0,2675.0
6.0,3.0,227.3,6.0,3.0,1168.0,6.0,2.0,2373.0,6.0,2.0,278.2,6.0,2.0,1773.0,5.0,2.0,3176.0
6.0,4.0,75.0,6.0,4.0,413.0,6.0,4.0,3619.0,6.0,3.0,1126.0,6.0,3.0,4050.0,5.0,3.0,5588.0
6.0,5.0,222.2,6.0,5.0,1283.0,6.0,5.0,4286.0,6.0,5.0,424.1,6.0,4.0,1254.0,5.0,4.0,1839.0
