1,玄馬 徹,玄馬 徹.1,2,池田 紫乃,池田 紫乃.1,3,竹上 真司,竹上 真司.1,4,川崎 公靖,川崎 公靖.1,5,本村 大,本村 大.1,6,高橋 淳美,高橋 淳美.1
2.0,3.0,9.1,1.0,3.0,18.3,1.0,2.0,27.6,1.0,2.0,126.1,1.0,2.0,169.2,1.0,2.0,862.4
2.0,4.0,14.4,1.0,4.0,29.0,1.0,4.0,28.2,1.0,3.0,114.0,1.0,3.0,153.4,1.0,3.0,1741.0
2.0,5.0,23.2,1.0,5.0,43.6,1.0,5.0,33.9,1.0,5.0,169.2,1.0,4.0,331.7,1.0,4.0,2208.0
2.0,6.0,108.9,1.0,6.0,134.7,1.0,6.0,136.5,1.0,6.0,377.3,1.0,6.0,565.9,1.0,5.0,2447.0
3.0,2.0,8.3,3.0,1.0,37.6,2.0,1.0,51.3,2.0,1.0,184.0,2.0,1.0,257.9,2.0,1.0,1437.0
3.0,4.0,9.1,3.0,4.0,50.4,2.0,4.0,60.2,2.0,3.0,199.9,2.0,3.0,207.6,2.0,3.0,1240.0
3.0,5.0,19.5,3.0,5.0,59.5,2.0,5.0,64.6,2.0,5.0,210.1,2.0,4.0,429.1,2.0,4.0,1926.0
3.0,6.0,80.1,3.0,6.0,223.0,2.0,6.0,200.3,2.0,6.0,476.6,2.0,6.0,794.3,2.0,5.0,2921.0
4.0,2.0,22.4,4.0,1.0,82.2,4.0,1.0,57.5,3.0,1.0,132.1,3.0,1.0,211.5,3.0,1.0,2447.0
4.0,3.0,20.5,4.0,3.0,90.0,4.0,2.0,72.3,3.0,2.0,170.2,3.0,2.0,245.4,3.0,2.0,1275.0
4.0,5.0,63.1,4.0,5.0,156.1,4.0,5.0,86.4,3.0,5.0,182.9,3.0,4.0,319.9,3.0,4.0,2744.0
4.0,6.0,221.9,4.0,6.0,383.7,4.0,6.0,296.9,3.0,6.0,505.8,3.0,6.0,718.6,3.0,5.0,1617.0
5.0,2.0,57.2,5.0,1.0,141.0,5.0,1.0,110.5,5.0,1.0,168.3,4.0,1.0,386.9,4.0,1.0,2744.0
5.0,3.0,53.6,5.0,3.0,117.2,5.0,2.0,113.7,5.0,2.0,238.3,4.0,2.0,452.7,4.0,2.0,2829.0
5.0,4.0,103.4,5.0,4.0,223.0,5.0,4.0,147.7,5.0,3.0,246.7,4.0,3.0,343.0,4.0,3.0,3622.0
5.0,6.0,310.1,5.0,6.0,542.2,5.0,6.0,372.6,5.0,6.0,363.6,4.0,6.0,748.3,4.0,5.0,2921.0
6.0,2.0,407.9,6.0,1.0,529.5,6.0,1.0,624.5,6.0,1.0,656.1,6.0,1.0,1052.0,5.0,1.0,3353.0
6.0,3.0,455.0,6.0,3.0,595.7,6.0,2.0,569.5,6.0,2.0,896.5,6.0,2.0,1708.0,5.0,2.0,3353.0
6.0,4.0,660.9,6.0,4.0,914.6,6.0,4.0,973.7,6.0,3.0,1160.0,6.0,3.0,1414.0,5.0,3.0,2383.0
6.0,5.0,808.5,6.0,5.0,1160.0,6.0,5.0,808.5,6.0,5.0,780.6,6.0,4.0,1646.0,5.0,4.0,3622.0
