1,大上 卓人,大上 卓人.1,2,宮脇 遼太,宮脇 遼太.1,3,山田 真聖,山田 真聖.1,4,高野 心吾,高野 心吾.1,5,木山 和幸,木山 和幸.1,6,後藤 陽介,後藤 陽介.1
2.0,3.0,7.9,1.0,3.0,70.9,1.0,2.0,116.9,1.0,2.0,84.4,1.0,2.0,252.2,1.0,2.0,353.3
2.0,4.0,7.3,1.0,4.0,57.9,1.0,4.0,138.1,1.0,3.0,182.7,1.0,3.0,324.9,1.0,3.0,505.3
2.0,5.0,13.2,1.0,5.0,103.3,1.0,5.0,143.9,1.0,5.0,94.4,1.0,4.0,240.0,1.0,4.0,400.4
2.0,6.0,24.3,1.0,6.0,138.3,1.0,6.0,233.7,1.0,6.0,120.5,1.0,6.0,262.8,1.0,5.0,553.7
3.0,2.0,10.4,3.0,1.0,181.7,2.0,1.0,217.9,2.0,1.0,153.9,2.0,1.0,490.3,2.0,1.0,705.0
3.0,4.0,13.6,3.0,4.0,234.4,2.0,4.0,304.4,2.0,3.0,362.7,2.0,3.0,1388.0,2.0,3.0,1546.0
3.0,5.0,16.1,3.0,5.0,337.6,2.0,5.0,510.3,2.0,5.0,261.3,2.0,4.0,826.2,2.0,4.0,905.2
3.0,6.0,28.9,3.0,6.0,442.3,2.0,6.0,740.1,2.0,6.0,329.8,2.0,6.0,1037.0,2.0,5.0,1523.0
4.0,2.0,12.3,4.0,1.0,120.6,4.0,1.0,306.4,3.0,1.0,370.0,3.0,1.0,643.9,3.0,1.0,1135.0
4.0,3.0,24.7,4.0,3.0,234.1,4.0,2.0,380.4,3.0,2.0,487.2,3.0,2.0,1445.0,3.0,2.0,1848.0
4.0,5.0,21.2,4.0,5.0,239.6,4.0,5.0,540.3,3.0,5.0,711.4,3.0,4.0,1224.0,3.0,4.0,1697.0
4.0,6.0,30.2,4.0,6.0,287.8,4.0,6.0,813.3,3.0,6.0,788.6,3.0,6.0,1716.0,3.0,5.0,1774.0
5.0,2.0,23.9,5.0,1.0,320.3,5.0,1.0,329.1,5.0,1.0,140.1,4.0,1.0,341.3,4.0,1.0,649.3
5.0,3.0,31.5,5.0,3.0,692.5,5.0,2.0,824.0,5.0,2.0,225.3,4.0,2.0,546.0,4.0,2.0,921.3
5.0,4.0,32.5,5.0,4.0,413.6,5.0,4.0,867.5,5.0,3.0,534.7,4.0,3.0,991.5,4.0,3.0,1815.0
5.0,6.0,42.6,5.0,6.0,748.9,5.0,6.0,1115.0,5.0,6.0,203.6,4.0,6.0,592.6,4.0,5.0,1352.0
6.0,2.0,60.6,6.0,1.0,388.4,6.0,1.0,668.7,6.0,1.0,224.3,6.0,1.0,471.0,5.0,1.0,932.3
6.0,3.0,76.3,6.0,3.0,778.8,6.0,2.0,997.8,6.0,2.0,386.5,6.0,2.0,1210.0,5.0,2.0,1927.0
6.0,4.0,72.2,6.0,4.0,475.3,6.0,4.0,1473.0,6.0,3.0,796.7,6.0,3.0,1244.0,5.0,3.0,2230.0
6.0,5.0,81.3,6.0,5.0,790.6,6.0,5.0,1357.0,6.0,5.0,327.7,6.0,4.0,800.8,5.0,4.0,1523.0
