1,貫地谷　直人,貫地谷　直人.1,2,西岡 顕心,西岡 顕心.1,3,片橋 幸貴,片橋 幸貴.1,4,坂元 浩仁,坂元 浩仁.1,5,篠原 飛翔,篠原 飛翔.1,6,山一 鉄也,山一 鉄也.1
2.0,3.0,60.9,1.0,3.0,37.3,1.0,2.0,37.4,1.0,2.0,101.8,1.0,2.0,531.4,1.0,2.0,1075.0
2.0,4.0,71.0,1.0,4.0,41.2,1.0,4.0,17.3,1.0,3.0,61.1,1.0,3.0,470.6,1.0,3.0,844.6
2.0,5.0,160.0,1.0,5.0,73.7,1.0,5.0,34.2,1.0,5.0,131.9,1.0,4.0,424.2,1.0,4.0,587.6
2.0,6.0,189.2,1.0,6.0,88.0,1.0,6.0,31.7,1.0,6.0,111.5,1.0,6.0,695.6,1.0,5.0,1051.0
3.0,2.0,48.6,3.0,1.0,41.7,2.0,1.0,48.1,2.0,1.0,121.2,2.0,1.0,587.6,2.0,1.0,639.2
3.0,4.0,34.0,3.0,4.0,34.5,2.0,4.0,28.7,2.0,3.0,81.9,2.0,3.0,500.5,2.0,3.0,815.5
3.0,5.0,76.0,3.0,5.0,69.2,2.0,5.0,64.5,2.0,5.0,138.3,2.0,4.0,444.1,2.0,4.0,500.5
3.0,6.0,69.5,3.0,6.0,70.4,2.0,6.0,55.8,2.0,6.0,136.5,2.0,6.0,756.8,2.0,5.0,985.4
4.0,2.0,85.1,4.0,1.0,57.4,4.0,1.0,20.9,3.0,1.0,47.0,3.0,1.0,379.9,3.0,1.0,466.0
4.0,3.0,48.5,4.0,3.0,54.0,4.0,2.0,28.0,3.0,2.0,51.1,3.0,2.0,376.9,3.0,2.0,534.4
4.0,5.0,125.8,4.0,5.0,106.1,4.0,5.0,20.3,3.0,5.0,43.7,3.0,4.0,246.3,3.0,4.0,164.8
4.0,6.0,94.3,4.0,6.0,107.9,4.0,6.0,15.0,3.0,6.0,31.9,3.0,6.0,369.5,3.0,5.0,414.9
5.0,2.0,351.6,5.0,1.0,213.0,5.0,1.0,90.5,5.0,1.0,124.1,4.0,1.0,359.7,4.0,1.0,508.6
5.0,3.0,242.5,5.0,3.0,193.8,5.0,2.0,101.8,5.0,2.0,127.1,4.0,2.0,335.4,4.0,2.0,508.6
5.0,4.0,326.2,5.0,4.0,241.9,5.0,4.0,48.6,5.0,3.0,86.2,4.0,3.0,261.3,4.0,3.0,195.4
5.0,6.0,475.4,5.0,6.0,495.3,5.0,6.0,62.6,5.0,6.0,92.6,4.0,6.0,249.6,4.0,5.0,372.4
6.0,2.0,431.9,6.0,1.0,346.5,6.0,1.0,70.6,6.0,1.0,153.8,6.0,1.0,901.0,5.0,1.0,1244.0
6.0,3.0,269.5,6.0,3.0,314.3,6.0,2.0,106.7,6.0,2.0,169.2,6.0,2.0,852.2,5.0,2.0,936.6
6.0,4.0,333.1,6.0,4.0,327.3,6.0,4.0,27.9,6.0,3.0,68.0,6.0,3.0,630.7,5.0,3.0,733.3
6.0,5.0,566.4,6.0,5.0,598.7,6.0,5.0,56.1,6.0,5.0,125.3,6.0,4.0,409.5,5.0,4.0,461.4
