1,東 健介,東 健介.1,2,谷口 健一,谷口 健一.1,3,中渡 修作,中渡 修作.1,4,中辻 博訓,中辻 博訓.1,5,鳥飼 眞,鳥飼 眞.1,6,田中 豪,田中 豪.1
2.0,3.0,48.5,1.0,3.0,156.3,1.0,2.0,172.8,1.0,2.0,46.4,1.0,2.0,307.1,1.0,2.0,496.7
2.0,4.0,31.7,1.0,4.0,100.8,1.0,4.0,70.6,1.0,3.0,36.5,1.0,3.0,258.7,1.0,3.0,430.3
2.0,5.0,105.3,1.0,5.0,238.1,1.0,5.0,129.3,1.0,5.0,24.9,1.0,4.0,130.7,1.0,4.0,160.9
2.0,6.0,84.2,1.0,6.0,214.1,1.0,6.0,124.0,1.0,6.0,17.9,1.0,6.0,171.7,1.0,5.0,457.5
3.0,2.0,47.0,3.0,1.0,236.8,2.0,1.0,246.2,2.0,1.0,104.1,2.0,1.0,568.1,2.0,1.0,790.2
3.0,4.0,21.0,3.0,4.0,197.5,2.0,4.0,187.3,2.0,3.0,138.4,2.0,3.0,736.6,2.0,3.0,965.8
3.0,5.0,45.4,3.0,5.0,404.3,2.0,5.0,354.8,2.0,5.0,142.7,2.0,4.0,491.1,2.0,4.0,491.1
3.0,6.0,47.2,3.0,6.0,351.9,2.0,6.0,318.4,2.0,6.0,83.8,2.0,6.0,568.1,2.0,5.0,1224.0
4.0,2.0,24.2,4.0,1.0,119.2,4.0,1.0,79.0,3.0,1.0,71.3,3.0,1.0,517.4,3.0,1.0,607.9
4.0,3.0,16.7,4.0,3.0,178.5,4.0,2.0,175.9,3.0,2.0,139.9,3.0,2.0,869.3,3.0,2.0,965.8
4.0,5.0,19.7,4.0,5.0,188.5,4.0,5.0,84.2,3.0,5.0,66.8,3.0,4.0,318.4,3.0,4.0,325.5
4.0,6.0,14.6,4.0,6.0,148.5,4.0,6.0,80.1,3.0,6.0,63.3,3.0,6.0,419.9,3.0,5.0,812.4
5.0,2.0,136.0,5.0,1.0,485.6,5.0,1.0,216.2,5.0,1.0,31.7,4.0,1.0,140.2,4.0,1.0,140.4
5.0,3.0,73.1,5.0,3.0,579.5,5.0,2.0,457.5,5.0,2.0,82.9,4.0,2.0,259.4,4.0,2.0,299.7
5.0,4.0,34.9,5.0,4.0,310.4,5.0,4.0,133.9,5.0,3.0,59.5,4.0,3.0,235.5,4.0,3.0,242.1
5.0,6.0,51.9,5.0,6.0,472.4,5.0,6.0,201.6,5.0,6.0,18.8,4.0,6.0,80.5,4.0,5.0,144.1
6.0,2.0,159.7,6.0,1.0,526.8,6.0,1.0,307.1,6.0,1.0,26.3,6.0,1.0,329.2,5.0,1.0,575.6
6.0,3.0,102.2,6.0,3.0,595.4,6.0,2.0,514.3,6.0,2.0,62.8,6.0,2.0,546.7,5.0,2.0,1047.0
6.0,4.0,43.9,6.0,4.0,278.6,6.0,4.0,203.1,6.0,3.0,47.7,6.0,3.0,520.5,5.0,3.0,820.0
6.0,5.0,85.0,6.0,5.0,599.5,6.0,5.0,313.8,6.0,5.0,22.3,6.0,4.0,135.6,5.0,4.0,186.1
