1,岸本 隆,岸本 隆.1,2,新田 洋一,新田 洋一.1,3,横田 茂,横田 茂.1,4,長尾　京志郎,長尾　京志郎.1,5,和田 拓也,和田 拓也.1,6,古澤 信二,古澤 信二.1
2.0,3.0,20.7,1.0,3.0,56.2,1.0,2.0,66.9,1.0,2.0,251.9,1.0,2.0,37.7,1.0,2.0,2158.0
2.0,4.0,25.1,1.0,4.0,67.7,1.0,4.0,56.4,1.0,3.0,210.3,1.0,3.0,25.0,1.0,3.0,3161.0
2.0,5.0,15.4,1.0,5.0,42.4,1.0,5.0,29.2,1.0,5.0,116.7,1.0,4.0,43.6,1.0,4.0,2841.0
2.0,6.0,186.7,1.0,6.0,372.2,1.0,6.0,307.8,1.0,6.0,465.6,1.0,6.0,120.6,1.0,5.0,1603.0
3.0,2.0,20.5,3.0,1.0,103.5,2.0,1.0,112.7,2.0,1.0,351.2,2.0,1.0,69.5,2.0,1.0,2313.0
3.0,4.0,21.2,3.0,4.0,151.3,2.0,4.0,128.0,2.0,3.0,321.5,2.0,3.0,67.4,2.0,3.0,3937.0
3.0,5.0,11.3,3.0,5.0,90.9,2.0,5.0,66.4,2.0,5.0,216.4,2.0,4.0,119.7,2.0,4.0,4080.0
3.0,6.0,166.2,3.0,6.0,859.9,2.0,6.0,648.7,2.0,6.0,1073.0,2.0,6.0,251.0,2.0,5.0,2222.0
4.0,2.0,41.3,4.0,1.0,197.2,4.0,1.0,102.4,3.0,1.0,235.0,3.0,1.0,41.5,3.0,1.0,3350.0
4.0,3.0,38.1,4.0,3.0,219.8,4.0,2.0,145.3,3.0,2.0,306.2,3.0,2.0,61.7,3.0,2.0,3869.0
4.0,5.0,26.8,4.0,5.0,151.0,4.0,5.0,57.1,3.0,5.0,129.0,3.0,4.0,60.5,3.0,4.0,3252.0
4.0,6.0,212.9,4.0,6.0,1089.0,4.0,6.0,434.9,3.0,6.0,883.6,3.0,6.0,211.5,3.0,5.0,1476.0
5.0,2.0,18.5,5.0,1.0,68.7,5.0,1.0,34.7,5.0,1.0,106.7,4.0,1.0,90.2,4.0,1.0,3400.0
5.0,3.0,13.4,5.0,3.0,83.7,5.0,2.0,49.9,5.0,2.0,135.8,4.0,2.0,135.7,4.0,2.0,5101.0
5.0,4.0,20.9,5.0,4.0,122.5,5.0,4.0,43.5,5.0,3.0,108.3,4.0,3.0,86.4,4.0,3.0,4080.0
5.0,6.0,90.3,5.0,6.0,434.9,5.0,6.0,216.0,5.0,6.0,266.2,4.0,6.0,250.2,4.0,5.0,2362.0
6.0,2.0,635.8,6.0,1.0,1289.0,6.0,1.0,1169.0,6.0,1.0,1015.0,6.0,1.0,327.6,5.0,1.0,1547.0
6.0,3.0,674.0,6.0,3.0,2004.0,6.0,2.0,1486.0,6.0,2.0,1506.0,6.0,2.0,387.6,5.0,2.0,1700.0
6.0,4.0,501.0,6.0,4.0,1918.0,6.0,4.0,1233.0,6.0,3.0,1438.0,6.0,3.0,353.4,5.0,3.0,1169.0
6.0,5.0,411.0,6.0,5.0,1181.0,6.0,5.0,694.8,6.0,5.0,890.6,6.0,4.0,440.9,5.0,4.0,1854.0
