1,奈須 啓太,奈須 啓太.1,2,下河 雅史,下河 雅史.1,3,鶴田 勇雄,鶴田 勇雄.1,4,小林 文彦,小林 文彦.1,5,小松 卓司,小松 卓司.1,6,木下 大將,木下 大將.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,欠場
2,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,5,欠場
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,欠場,3,4,10.1,2,4,18.5,2,3,36.9,2,3,183.8,2,3,77.9
3,5,欠場,3,5,24.2,2,5,42.4,2,5,47.4,2,4,195.7,2,4,90.9
3,6,欠場,3,6,14.5,2,6,21.5,2,6,35.2,2,6,179.5,2,5,162.5
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,13.1,4,2,27.1,3,2,47.4,3,2,211.2,3,2,86.3
4,5,欠場,4,5,23.5,4,5,33.5,3,5,49.8,3,4,199.2,3,4,70.5
4,6,欠場,4,6,16.6,4,6,16.3,3,6,27.5,3,6,194.1,3,5,157.4
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,欠場
5,3,欠場,5,3,46.0,5,2,92.3,5,2,66.5,4,2,160.5,4,2,104.3
5,4,欠場,5,4,47.7,5,4,86.0,5,3,70.5,4,3,157.2,4,3,81.0
5,6,欠場,5,6,59.4,5,6,74.8,5,6,49.3,4,6,154.2,4,5,150.4
6,2,欠場,6,1,欠場,6,1,欠場,6,1,欠場,6,1,欠場,5,1,欠場
6,3,欠場,6,3,28.8,6,2,38.1,6,2,43.0,6,2,213.5,5,2,244.1
6,4,欠場,6,4,33.4,6,4,28.3,6,3,36.3,6,3,212.9,5,3,234.2
6,5,欠場,6,5,63.1,6,5,68.6,6,5,50.3,6,4,180.6,5,4,204.9
