1,梶野 学志,梶野 学志.1,2,上之 晃弘,上之 晃弘.1,3,関野 文,関野 文.1,4,中村 守成,中村 守成.1,5,清水 敦揮,清水 敦揮.1,6,河野 真也,河野 真也.1
2.0,3.0,17.7,1.0,3.0,107.9,1.0,2.0,79.2,1.0,2.0,360.8,1.0,2.0,45.4,1.0,2.0,827.8
2.0,4.0,52.7,1.0,4.0,232.7,1.0,4.0,121.7,1.0,3.0,295.3,1.0,3.0,30.6,1.0,3.0,649.8
2.0,5.0,11.8,1.0,5.0,78.0,1.0,5.0,31.7,1.0,5.0,241.6,1.0,4.0,121.8,1.0,4.0,1044.0
2.0,6.0,46.3,1.0,6.0,209.4,1.0,6.0,80.1,1.0,6.0,304.8,1.0,6.0,36.4,1.0,5.0,377.1
3.0,2.0,15.8,3.0,1.0,212.9,2.0,1.0,205.2,2.0,1.0,905.4,2.0,1.0,131.4,2.0,1.0,1617.0
3.0,4.0,27.6,3.0,4.0,792.6,2.0,4.0,654.2,2.0,3.0,1358.0,2.0,3.0,205.7,2.0,3.0,1965.0
3.0,5.0,6.6,3.0,5.0,254.2,2.0,5.0,224.4,2.0,5.0,1081.0,2.0,4.0,634.5,2.0,4.0,2599.0
3.0,6.0,21.7,3.0,6.0,592.5,2.0,6.0,448.0,2.0,6.0,1246.0,2.0,6.0,246.0,2.0,5.0,1525.0
4.0,2.0,84.2,4.0,1.0,701.7,4.0,1.0,313.7,3.0,1.0,546.9,3.0,1.0,66.9,3.0,1.0,974.7
4.0,3.0,60.9,4.0,3.0,1339.0,4.0,2.0,687.7,3.0,2.0,1106.0,3.0,2.0,187.6,3.0,2.0,1764.0
4.0,5.0,50.1,4.0,5.0,1096.0,4.0,5.0,312.1,3.0,5.0,578.3,3.0,4.0,370.4,3.0,4.0,2197.0
4.0,6.0,75.6,4.0,6.0,1456.0,4.0,6.0,458.7,3.0,6.0,835.0,3.0,6.0,124.9,3.0,5.0,642.0
5.0,2.0,10.6,5.0,1.0,174.0,5.0,1.0,52.0,5.0,1.0,318.7,4.0,1.0,329.8,4.0,1.0,1771.0
5.0,3.0,7.9,5.0,3.0,262.7,5.0,2.0,162.2,5.0,2.0,680.0,4.0,2.0,702.7,4.0,2.0,2429.0
5.0,4.0,35.3,5.0,4.0,866.4,5.0,4.0,235.0,5.0,3.0,537.2,4.0,3.0,514.3,4.0,3.0,2544.0
5.0,6.0,14.1,5.0,6.0,396.6,5.0,6.0,97.3,5.0,6.0,376.2,4.0,6.0,345.1,4.0,5.0,1627.0
6.0,2.0,111.9,6.0,1.0,842.3,6.0,1.0,286.9,6.0,1.0,656.9,6.0,1.0,94.1,5.0,1.0,410.7
6.0,3.0,79.5,6.0,3.0,1233.0,6.0,2.0,692.6,6.0,2.0,1205.0,6.0,2.0,233.3,5.0,2.0,1007.0
6.0,4.0,148.7,6.0,4.0,1702.0,6.0,4.0,709.9,6.0,3.0,1064.0,6.0,3.0,152.9,5.0,3.0,548.1
6.0,5.0,56.9,6.0,5.0,863.3,6.0,5.0,239.8,6.0,5.0,707.8,6.0,4.0,347.0,5.0,4.0,1159.0
