1,松田　大志郎,松田　大志郎.1,2,渡辺 浩司,渡辺 浩司.1,3,伊藤 啓三,伊藤 啓三.1,4,永嶋 裕一,永嶋 裕一.1,5,坂井 康嗣,坂井 康嗣.1,6,切田 潤二,切田 潤二.1
2.0,3.0,3.3,1.0,3.0,9.9,1.0,2.0,42.5,1.0,2.0,182.2,1.0,2.0,647.7,1.0,2.0,1646.0
2.0,4.0,6.2,1.0,4.0,18.0,1.0,4.0,78.0,1.0,3.0,342.5,1.0,3.0,916.8,1.0,3.0,2327.0
2.0,5.0,18.3,1.0,5.0,44.0,1.0,5.0,132.1,1.0,5.0,403.7,1.0,4.0,1206.0,1.0,4.0,2950.0
2.0,6.0,51.6,1.0,6.0,90.7,1.0,6.0,297.6,1.0,6.0,611.8,1.0,6.0,1593.0,1.0,5.0,4256.0
3.0,2.0,7.2,3.0,1.0,29.7,2.0,1.0,62.3,2.0,1.0,204.2,2.0,1.0,758.2,2.0,1.0,1934.0
3.0,4.0,15.4,3.0,4.0,76.0,2.0,4.0,110.6,2.0,3.0,360.7,2.0,3.0,1366.0,2.0,3.0,3348.0
3.0,5.0,28.0,3.0,5.0,162.2,2.0,5.0,222.3,2.0,5.0,544.7,2.0,4.0,1752.0,2.0,4.0,3724.0
3.0,6.0,85.7,3.0,6.0,289.3,2.0,6.0,397.8,2.0,6.0,746.8,2.0,6.0,2013.0,2.0,5.0,4806.0
4.0,2.0,23.6,4.0,1.0,89.8,4.0,1.0,203.1,3.0,1.0,593.5,3.0,1.0,996.5,3.0,1.0,2327.0
4.0,3.0,40.7,4.0,3.0,153.6,4.0,2.0,234.8,3.0,2.0,577.4,3.0,2.0,1392.0,3.0,2.0,2422.0
4.0,5.0,102.0,4.0,5.0,376.7,4.0,5.0,513.7,3.0,5.0,1246.0,3.0,4.0,2040.0,3.0,4.0,2346.0
4.0,6.0,192.2,4.0,6.0,556.9,4.0,6.0,834.6,3.0,6.0,1154.0,3.0,6.0,2684.0,3.0,5.0,4655.0
5.0,2.0,98.1,5.0,1.0,340.1,5.0,1.0,469.2,5.0,1.0,521.8,4.0,1.0,1177.0,4.0,1.0,3547.0
5.0,3.0,139.0,5.0,3.0,482.1,5.0,2.0,677.2,5.0,2.0,714.5,4.0,2.0,1432.0,4.0,2.0,3386.0
5.0,4.0,222.8,5.0,4.0,719.7,5.0,4.0,958.1,5.0,3.0,1268.0,4.0,3.0,2403.0,4.0,3.0,3547.0
5.0,6.0,381.0,5.0,6.0,1163.0,5.0,6.0,1585.0,5.0,6.0,980.2,4.0,6.0,2257.0,4.0,5.0,4806.0
6.0,2.0,289.3,6.0,1.0,613.1,6.0,1.0,1246.0,6.0,1.0,1318.0,6.0,1.0,2979.0,5.0,1.0,4138.0
6.0,3.0,418.5,6.0,3.0,837.0,6.0,2.0,1460.0,6.0,2.0,1795.0,6.0,2.0,3071.0,5.0,2.0,4256.0
6.0,4.0,491.7,6.0,4.0,1273.0,6.0,4.0,1568.0,6.0,3.0,1182.0,6.0,3.0,4138.0,5.0,3.0,5959.0
6.0,5.0,649.1,6.0,5.0,1628.0,6.0,5.0,1947.0,6.0,5.0,1862.0,6.0,4.0,3310.0,5.0,4.0,5137.0
