1,西村 歩,西村 歩.1,2,安達 美帆,安達 美帆.1,3,藤田 美代,藤田 美代.1,4,高橋 淳美,高橋 淳美.1,5,大橋　栄里佳,大橋　栄里佳.1,6,池田 紫乃,池田 紫乃.1
2.0,3.0,9.7,1.0,3.0,35.1,1.0,2.0,43.1,1.0,2.0,249.4,1.0,2.0,192.3,1.0,2.0,271.5
2.0,4.0,21.9,1.0,4.0,73.3,1.0,4.0,55.8,1.0,3.0,194.0,1.0,3.0,141.4,1.0,3.0,266.3
2.0,5.0,23.2,1.0,5.0,75.8,1.0,5.0,39.4,1.0,5.0,248.2,1.0,4.0,326.1,1.0,4.0,420.2
2.0,6.0,32.4,1.0,6.0,88.2,1.0,6.0,47.6,1.0,6.0,231.7,1.0,6.0,155.8,1.0,5.0,314.1
3.0,2.0,8.8,3.0,1.0,61.2,2.0,1.0,66.4,2.0,1.0,399.9,2.0,1.0,401.0,2.0,1.0,461.9
3.0,4.0,11.6,3.0,4.0,123.9,2.0,4.0,153.3,2.0,3.0,564.9,2.0,3.0,514.0,2.0,3.0,592.5
3.0,5.0,10.7,3.0,5.0,109.0,2.0,5.0,106.4,2.0,5.0,875.1,2.0,4.0,1136.0,2.0,4.0,1119.0
3.0,6.0,15.8,3.0,6.0,115.0,2.0,6.0,117.6,2.0,6.0,720.9,2.0,6.0,544.1,2.0,5.0,829.5
4.0,2.0,37.1,4.0,1.0,205.7,4.0,1.0,120.7,3.0,1.0,316.0,3.0,1.0,260.5,3.0,1.0,405.6
4.0,3.0,28.7,4.0,3.0,252.9,4.0,2.0,208.6,3.0,2.0,549.0,3.0,2.0,488.7,3.0,2.0,576.2
4.0,5.0,44.3,4.0,5.0,350.2,4.0,5.0,181.9,3.0,5.0,604.3,3.0,4.0,792.6,3.0,4.0,931.6
4.0,6.0,38.9,4.0,6.0,363.7,4.0,6.0,174.1,3.0,6.0,481.3,3.0,6.0,370.3,3.0,5.0,605.5
5.0,2.0,38.9,5.0,1.0,233.6,5.0,1.0,86.8,5.0,1.0,390.9,4.0,1.0,627.5,4.0,1.0,713.2
5.0,3.0,25.3,5.0,3.0,267.0,5.0,2.0,161.7,5.0,2.0,899.8,4.0,2.0,1462.0,4.0,2.0,1498.0
5.0,4.0,62.4,5.0,4.0,476.0,5.0,4.0,229.8,5.0,3.0,730.5,4.0,3.0,1213.0,4.0,3.0,1357.0
5.0,6.0,42.4,5.0,6.0,329.6,5.0,6.0,122.0,5.0,6.0,439.4,4.0,6.0,810.6,4.0,5.0,1293.0
6.0,2.0,74.5,6.0,1.0,282.4,6.0,1.0,121.7,6.0,1.0,484.0,6.0,1.0,257.8,5.0,1.0,435.0
6.0,3.0,52.3,6.0,3.0,338.6,6.0,2.0,190.6,6.0,2.0,882.7,6.0,2.0,462.6,5.0,2.0,755.0
6.0,4.0,99.9,6.0,4.0,718.3,6.0,4.0,294.4,6.0,3.0,697.6,6.0,3.0,397.8,5.0,3.0,614.1
6.0,5.0,70.6,6.0,5.0,463.3,6.0,5.0,173.5,6.0,5.0,657.5,6.0,4.0,698.4,5.0,4.0,1091.0
