1,小川 広大,小川 広大.1,2,谷村 啓司,谷村 啓司.1,3,小松 卓司,小松 卓司.1,4,岡村 慶太,岡村 慶太.1,5,渡辺 崇,渡辺 崇.1,6,鶴田 勇雄,鶴田 勇雄.1
2.0,3.0,81.6,1.0,3.0,243.1,1.0,2.0,162.5,1.0,2.0,42.4,1.0,2.0,453.5,1.0,2.0,816.6
2.0,4.0,51.7,1.0,4.0,146.1,1.0,4.0,43.7,1.0,3.0,19.0,1.0,3.0,368.2,1.0,3.0,663.8
2.0,5.0,134.7,1.0,5.0,415.2,1.0,5.0,117.9,1.0,5.0,16.6,1.0,4.0,195.7,1.0,4.0,246.9
2.0,6.0,146.4,1.0,6.0,373.8,1.0,6.0,103.6,1.0,6.0,14.5,1.0,6.0,297.3,1.0,5.0,735.7
3.0,2.0,73.4,3.0,1.0,341.1,2.0,1.0,333.6,2.0,1.0,94.6,2.0,1.0,874.8,2.0,1.0,1272.0
3.0,4.0,21.5,3.0,4.0,305.5,2.0,4.0,233.2,2.0,3.0,119.8,2.0,3.0,1116.0,2.0,3.0,1580.0
3.0,5.0,70.6,3.0,5.0,652.9,2.0,5.0,491.9,2.0,5.0,118.2,2.0,4.0,773.1,2.0,4.0,648.9
3.0,6.0,65.2,3.0,6.0,631.0,2.0,6.0,386.5,2.0,6.0,87.0,2.0,6.0,912.3,2.0,5.0,1689.0
4.0,2.0,30.0,4.0,1.0,164.9,4.0,1.0,39.4,3.0,1.0,36.3,3.0,1.0,582.6,3.0,1.0,844.7
4.0,3.0,14.7,4.0,3.0,226.9,4.0,2.0,119.1,3.0,2.0,84.3,3.0,2.0,961.7,3.0,2.0,1506.0
4.0,5.0,22.2,4.0,5.0,280.3,4.0,5.0,48.5,3.0,5.0,38.9,3.0,4.0,288.4,3.0,4.0,270.1
4.0,6.0,19.3,4.0,6.0,211.0,4.0,6.0,37.7,3.0,6.0,27.7,3.0,6.0,586.9,3.0,5.0,846.9
5.0,2.0,186.2,5.0,1.0,856.0,5.0,1.0,292.1,5.0,1.0,28.4,4.0,1.0,145.4,4.0,1.0,192.1
5.0,3.0,129.5,5.0,3.0,1067.0,5.0,2.0,540.2,5.0,2.0,61.8,4.0,2.0,281.3,4.0,2.0,394.2
5.0,4.0,86.2,5.0,4.0,719.1,5.0,4.0,149.4,5.0,3.0,43.3,4.0,3.0,206.0,4.0,3.0,188.6
5.0,6.0,165.3,5.0,6.0,1128.0,5.0,6.0,206.5,5.0,6.0,17.1,4.0,6.0,101.6,4.0,5.0,191.6
6.0,2.0,212.8,6.0,1.0,930.9,6.0,1.0,301.2,6.0,1.0,25.2,6.0,1.0,537.5,5.0,1.0,870.0
6.0,3.0,161.6,6.0,3.0,1204.0,6.0,2.0,581.6,6.0,2.0,55.9,6.0,2.0,865.3,5.0,2.0,1565.0
6.0,4.0,80.9,6.0,4.0,562.1,6.0,4.0,124.8,6.0,3.0,31.1,6.0,3.0,600.2,5.0,3.0,812.4
6.0,5.0,213.0,6.0,5.0,1431.0,6.0,5.0,320.5,6.0,5.0,22.2,6.0,4.0,222.3,5.0,4.0,262.5
