1,上野 俊樹,上野 俊樹.1,2,一色 凌雅,一色 凌雅.1,3,嘉手苅　徹哉,嘉手苅　徹哉.1,4,小林 孝彰,小林 孝彰.1,5,塚越 海斗,塚越 海斗.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,120.0,1.0,3.0,205.4,1.0,2.0,363.6,1.0,2.0,130.8,1.0,2.0,305.9,1.0,2.0,15.8
2.0,4.0,40.8,1.0,4.0,84.3,1.0,4.0,330.2,1.0,3.0,425.2,1.0,3.0,643.0,1.0,3.0,42.5
2.0,5.0,79.3,1.0,5.0,156.4,1.0,5.0,344.8,1.0,5.0,134.8,1.0,4.0,291.9,1.0,4.0,11.7
2.0,6.0,17.1,1.0,6.0,46.1,1.0,6.0,179.6,1.0,6.0,50.2,1.0,6.0,126.8,1.0,5.0,24.7
3.0,2.0,179.6,3.0,1.0,440.7,2.0,1.0,524.0,2.0,1.0,213.6,2.0,1.0,408.3,2.0,1.0,28.8
3.0,4.0,187.7,3.0,4.0,554.6,2.0,4.0,500.4,2.0,3.0,530.3,2.0,3.0,1188.0,2.0,3.0,113.6
3.0,5.0,250.6,3.0,5.0,826.7,2.0,5.0,668.8,2.0,5.0,278.4,2.0,4.0,581.2,2.0,4.0,37.2
3.0,6.0,110.4,3.0,6.0,404.5,2.0,6.0,344.8,2.0,6.0,139.3,2.0,6.0,261.5,2.0,5.0,61.5
4.0,2.0,56.4,4.0,1.0,177.7,4.0,1.0,285.6,3.0,1.0,442.2,3.0,1.0,773.8,3.0,1.0,78.2
4.0,3.0,229.4,4.0,3.0,489.3,4.0,2.0,358.7,3.0,2.0,541.0,3.0,2.0,1255.0,3.0,2.0,131.7
4.0,5.0,104.1,4.0,5.0,381.4,4.0,5.0,288.7,3.0,5.0,418.5,3.0,4.0,937.3,3.0,4.0,88.2
4.0,6.0,26.6,4.0,6.0,144.8,4.0,6.0,200.1,3.0,6.0,271.0,3.0,6.0,581.2,3.0,5.0,119.7
5.0,2.0,146.1,5.0,1.0,279.6,5.0,1.0,400.9,5.0,1.0,153.1,4.0,1.0,303.9,4.0,1.0,23.2
5.0,3.0,327.8,5.0,3.0,1023.0,5.0,2.0,591.5,5.0,2.0,225.2,4.0,2.0,440.7,4.0,2.0,41.1
5.0,4.0,160.7,5.0,4.0,538.9,5.0,4.0,425.2,5.0,3.0,383.6,4.0,3.0,743.6,4.0,3.0,89.6
5.0,6.0,65.5,5.0,6.0,221.1,5.0,6.0,328.6,5.0,6.0,83.7,4.0,6.0,141.0,4.0,5.0,33.6
6.0,2.0,12.8,6.0,1.0,54.3,6.0,1.0,182.3,6.0,1.0,51.5,6.0,1.0,136.8,5.0,1.0,53.6
6.0,3.0,42.3,6.0,3.0,202.2,6.0,2.0,279.6,6.0,2.0,91.0,6.0,2.0,238.1,5.0,2.0,85.0
6.0,4.0,13.1,6.0,4.0,78.3,6.0,4.0,213.3,6.0,3.0,259.9,6.0,3.0,534.5,5.0,3.0,148.0
6.0,5.0,29.4,6.0,5.0,135.1,6.0,5.0,301.8,6.0,5.0,73.7,6.0,4.0,149.3,5.0,4.0,49.7
