1,樋口 亮,樋口 亮.1,2,谷口 健一,谷口 健一.1,3,渡辺 史之,渡辺 史之.1,4,桑原 啓,桑原 啓.1,5,竹上 真司,竹上 真司.1,6,屋良 龍紀,屋良 龍紀.1
2.0,3.0,11.0,1.0,3.0,162.1,1.0,2.0,121.9,1.0,2.0,63.6,1.0,2.0,153.0,1.0,2.0,899.3
2.0,4.0,10.0,1.0,4.0,142.9,1.0,4.0,85.2,1.0,3.0,67.0,1.0,3.0,156.1,1.0,3.0,1034.0
2.0,5.0,16.2,1.0,5.0,195.3,1.0,5.0,114.4,1.0,5.0,39.4,1.0,4.0,117.9,1.0,4.0,769.9
2.0,6.0,60.3,1.0,6.0,381.7,1.0,6.0,228.9,1.0,6.0,88.9,1.0,6.0,202.4,1.0,5.0,855.4
3.0,2.0,13.1,3.0,1.0,466.9,2.0,1.0,228.9,2.0,1.0,190.2,2.0,1.0,374.0,2.0,1.0,1461.0
3.0,4.0,8.8,3.0,4.0,777.5,2.0,4.0,725.6,2.0,3.0,513.2,2.0,3.0,901.9,2.0,3.0,2843.0
3.0,5.0,13.3,3.0,5.0,1123.0,2.0,5.0,953.6,2.0,5.0,338.3,2.0,4.0,724.0,2.0,4.0,1635.0
3.0,6.0,46.5,3.0,6.0,1688.0,2.0,6.0,1468.0,2.0,6.0,501.0,2.0,6.0,1008.0,2.0,5.0,3322.0
4.0,2.0,11.6,4.0,1.0,346.5,4.0,1.0,222.3,3.0,1.0,169.7,3.0,1.0,415.9,3.0,1.0,1960.0
4.0,3.0,11.1,4.0,3.0,923.0,4.0,2.0,734.1,3.0,2.0,540.5,3.0,2.0,1059.0,3.0,2.0,3221.0
4.0,5.0,10.7,4.0,5.0,677.4,4.0,5.0,409.9,3.0,5.0,305.2,3.0,4.0,795.1,3.0,4.0,2652.0
4.0,6.0,40.6,4.0,6.0,1177.0,4.0,6.0,962.4,3.0,6.0,661.7,3.0,6.0,1409.0,3.0,5.0,3064.0
5.0,2.0,26.4,5.0,1.0,545.1,5.0,1.0,338.3,5.0,1.0,57.8,4.0,1.0,143.0,4.0,1.0,980.3
5.0,3.0,23.2,5.0,3.0,1428.0,5.0,2.0,1031.0,5.0,2.0,146.0,4.0,2.0,332.2,4.0,2.0,1856.0
5.0,4.0,21.3,5.0,4.0,822.0,5.0,4.0,528.7,5.0,3.0,177.0,4.0,3.0,405.7,4.0,3.0,2147.0
5.0,6.0,56.6,5.0,6.0,2177.0,5.0,6.0,1143.0,5.0,6.0,128.0,4.0,6.0,304.6,4.0,5.0,1706.0
6.0,2.0,140.2,6.0,1.0,1578.0,6.0,1.0,1337.0,6.0,1.0,224.0,6.0,1.0,463.5,5.0,1.0,1360.0
6.0,3.0,137.0,6.0,3.0,2010.0,6.0,2.0,2023.0,6.0,2.0,417.5,6.0,2.0,1081.0,5.0,2.0,2896.0
6.0,4.0,108.8,6.0,4.0,1706.0,6.0,4.0,1715.0,6.0,3.0,556.7,6.0,3.0,1304.0,5.0,3.0,2769.0
6.0,5.0,121.5,6.0,5.0,2238.0,6.0,5.0,1763.0,6.0,5.0,280.0,6.0,4.0,811.4,5.0,4.0,1936.0
