1,乙藤 智史,乙藤 智史.1,2,沖島 広和,沖島 広和.1,3,山口 広樹,山口 広樹.1,4,深川　麻奈美,深川　麻奈美.1,5,土井 歩夢,土井 歩夢.1,6,中島 真二,中島 真二.1
2.0,3.0,5.5,1.0,3.0,29.3,1.0,2.0,120.2,1.0,2.0,40.1,1.0,2.0,99.8,1.0,2.0,667.5
2.0,4.0,5.7,1.0,4.0,19.8,1.0,4.0,340.5,1.0,3.0,178.6,1.0,3.0,231.1,1.0,3.0,1580.0
2.0,5.0,12.3,1.0,5.0,37.6,1.0,5.0,379.6,1.0,5.0,75.3,1.0,4.0,165.5,1.0,4.0,776.9
2.0,6.0,20.0,1.0,6.0,57.4,1.0,6.0,633.2,1.0,6.0,93.3,1.0,6.0,206.8,1.0,5.0,1257.0
3.0,2.0,12.1,3.0,1.0,117.7,2.0,1.0,196.7,2.0,1.0,74.3,2.0,1.0,185.8,2.0,1.0,889.0
3.0,4.0,32.2,3.0,4.0,214.5,2.0,4.0,458.8,2.0,3.0,373.5,2.0,3.0,624.7,2.0,3.0,1967.0
3.0,5.0,47.0,3.0,5.0,327.2,2.0,5.0,487.8,2.0,5.0,173.3,2.0,4.0,401.1,2.0,4.0,1162.0
3.0,6.0,83.1,3.0,6.0,398.5,2.0,6.0,563.7,2.0,6.0,197.1,2.0,6.0,229.9,2.0,5.0,1988.0
4.0,2.0,10.7,4.0,1.0,64.3,4.0,1.0,692.5,3.0,1.0,682.3,3.0,1.0,742.6,3.0,1.0,2889.0
4.0,3.0,38.5,4.0,3.0,217.2,4.0,2.0,797.0,3.0,2.0,776.9,3.0,2.0,1134.0,3.0,2.0,1812.0
4.0,5.0,31.4,4.0,5.0,211.3,4.0,5.0,1553.0,3.0,5.0,1185.0,3.0,4.0,1636.0,3.0,4.0,3031.0
4.0,6.0,46.1,4.0,6.0,226.3,4.0,6.0,1886.0,3.0,6.0,1266.0,3.0,6.0,2009.0,3.0,5.0,4202.0
5.0,2.0,29.1,5.0,1.0,154.9,5.0,1.0,811.0,5.0,1.0,112.8,4.0,1.0,226.6,4.0,1.0,978.3
5.0,3.0,64.6,5.0,3.0,454.3,5.0,2.0,1162.0,5.0,2.0,163.9,4.0,2.0,346.2,4.0,2.0,1170.0
5.0,4.0,52.5,5.0,4.0,364.7,5.0,4.0,1778.0,5.0,3.0,604.2,4.0,3.0,1016.0,4.0,3.0,3362.0
5.0,6.0,84.9,5.0,6.0,438.1,5.0,6.0,1946.0,5.0,6.0,168.7,4.0,6.0,417.4,4.0,5.0,2433.0
6.0,2.0,110.0,6.0,1.0,442.3,6.0,1.0,1778.0,6.0,1.0,255.7,6.0,1.0,446.6,5.0,1.0,1433.0
6.0,3.0,293.9,6.0,3.0,978.3,6.0,2.0,1479.0,6.0,2.0,334.3,6.0,2.0,733.7,5.0,2.0,2150.0
6.0,4.0,153.4,6.0,4.0,616.3,6.0,4.0,2568.0,6.0,3.0,1010.0,6.0,3.0,2009.0,5.0,3.0,4866.0
6.0,5.0,186.9,6.0,5.0,943.4,6.0,5.0,2935.0,6.0,5.0,410.0,6.0,4.0,915.4,5.0,4.0,2568.0
