1,柳生 泰二,柳生 泰二.1,2,松尾 昂明,松尾 昂明.1,3,樫葉 次郎,樫葉 次郎.1,4,竹下 大樹,竹下 大樹.1,5,石倉 洋行,石倉 洋行.1,6,峰重 力也,峰重 力也.1
2.0,3.0,25.5,1.0,3.0,163.2,1.0,2.0,518.2,1.0,2.0,42.7,1.0,2.0,56.5,1.0,2.0,623.8
2.0,4.0,6.4,1.0,4.0,46.5,1.0,4.0,656.0,1.0,3.0,214.9,1.0,3.0,224.3,1.0,3.0,1087.0
2.0,5.0,7.8,1.0,5.0,51.3,1.0,5.0,791.0,1.0,5.0,29.6,1.0,4.0,43.1,1.0,4.0,703.5
2.0,6.0,51.9,1.0,6.0,237.5,1.0,6.0,1156.0,1.0,6.0,85.3,1.0,6.0,81.8,1.0,5.0,725.1
3.0,2.0,57.4,3.0,1.0,518.2,2.0,1.0,731.5,2.0,1.0,101.1,2.0,1.0,106.1,2.0,1.0,847.8
3.0,4.0,59.1,3.0,4.0,830.7,2.0,4.0,1066.0,2.0,3.0,640.7,2.0,3.0,607.8,2.0,3.0,2666.0
3.0,5.0,67.3,3.0,5.0,843.5,2.0,5.0,1377.0,2.0,5.0,127.3,2.0,4.0,146.4,2.0,4.0,1476.0
3.0,6.0,145.2,3.0,6.0,1401.0,2.0,6.0,1758.0,2.0,6.0,273.7,2.0,6.0,288.5,2.0,5.0,1401.0
4.0,2.0,8.9,4.0,1.0,103.8,4.0,1.0,1389.0,3.0,1.0,870.1,3.0,1.0,721.9,3.0,1.0,1401.0
4.0,3.0,39.0,4.0,3.0,619.1,4.0,2.0,1653.0,3.0,2.0,1148.0,3.0,2.0,1026.0,3.0,2.0,2900.0
4.0,5.0,9.6,4.0,5.0,157.9,4.0,5.0,1653.0,3.0,5.0,843.5,3.0,4.0,1053.0,3.0,4.0,2147.0
4.0,6.0,38.9,4.0,6.0,529.8,4.0,6.0,2016.0,3.0,6.0,1094.0,3.0,6.0,1530.0,3.0,5.0,3005.0
5.0,2.0,12.4,5.0,1.0,117.7,5.0,1.0,1355.0,5.0,1.0,32.6,4.0,1.0,52.3,4.0,1.0,978.2
5.0,3.0,49.8,5.0,3.0,787.2,5.0,2.0,1968.0,5.0,2.0,61.6,4.0,2.0,90.7,4.0,2.0,1401.0
5.0,4.0,12.7,5.0,4.0,176.0,5.0,4.0,1502.0,5.0,3.0,337.4,4.0,3.0,419.6,4.0,3.0,2175.0
5.0,6.0,43.7,5.0,6.0,601.1,5.0,6.0,2710.0,5.0,6.0,62.8,4.0,6.0,96.2,4.0,5.0,989.9
6.0,2.0,165.4,6.0,1.0,697.5,6.0,1.0,2396.0,6.0,1.0,212.5,6.0,1.0,239.2,5.0,1.0,834.9
6.0,3.0,285.5,6.0,3.0,2234.0,6.0,2.0,2543.0,6.0,2.0,370.6,6.0,2.0,377.4,5.0,2.0,1301.0
6.0,4.0,150.7,6.0,4.0,961.1,6.0,4.0,2952.0,6.0,3.0,787.2,6.0,3.0,861.0,5.0,3.0,2234.0
6.0,5.0,153.2,6.0,5.0,1033.0,6.0,5.0,3517.0,6.0,5.0,223.7,6.0,4.0,281.1,5.0,4.0,1033.0
