1,戸敷 晃美,戸敷 晃美.1,2,北村 寧々,北村 寧々.1,3,石井 裕美,石井 裕美.1,4,村上 奈穂,村上 奈穂.1,5,佐々木　裕美,佐々木　裕美.1,6,喜井　つかさ,喜井　つかさ.1
2.0,3.0,7.2,1.0,3.0,40.5,1.0,2.0,62.4,1.0,2.0,324.1,1.0,2.0,113.0,1.0,2.0,209.1
2.0,4.0,18.4,1.0,4.0,84.8,1.0,4.0,150.1,1.0,3.0,421.8,1.0,3.0,136.9,1.0,3.0,274.2
2.0,5.0,9.4,1.0,5.0,52.2,1.0,5.0,63.7,1.0,5.0,408.2,1.0,4.0,327.0,1.0,4.0,481.5
2.0,6.0,11.4,1.0,6.0,61.6,1.0,6.0,72.2,1.0,6.0,364.2,1.0,6.0,94.2,1.0,5.0,182.1
3.0,2.0,11.7,3.0,1.0,91.1,2.0,1.0,105.2,2.0,1.0,421.5,2.0,1.0,213.4,2.0,1.0,338.1
3.0,4.0,32.3,3.0,4.0,310.1,2.0,4.0,363.8,2.0,3.0,790.2,2.0,3.0,390.3,2.0,3.0,627.3
3.0,5.0,16.0,3.0,5.0,183.7,2.0,5.0,209.2,2.0,5.0,677.3,2.0,4.0,722.9,2.0,4.0,933.7
3.0,6.0,18.6,3.0,6.0,207.4,2.0,6.0,222.8,2.0,6.0,585.2,2.0,6.0,232.3,2.0,5.0,457.1
4.0,2.0,38.5,4.0,1.0,245.6,4.0,1.0,372.7,3.0,1.0,555.5,3.0,1.0,212.8,3.0,1.0,451.3
4.0,3.0,50.1,4.0,3.0,431.0,4.0,2.0,580.8,3.0,2.0,827.6,3.0,2.0,422.9,3.0,2.0,683.3
4.0,5.0,58.7,4.0,5.0,435.3,4.0,5.0,518.3,3.0,5.0,850.6,3.0,4.0,911.5,3.0,4.0,1017.0
4.0,6.0,48.1,4.0,6.0,402.6,4.0,6.0,425.9,3.0,6.0,731.6,3.0,6.0,246.4,3.0,5.0,515.7
5.0,2.0,24.3,5.0,1.0,134.6,5.0,1.0,119.0,5.0,1.0,526.3,4.0,1.0,709.5,4.0,1.0,918.3
5.0,3.0,33.8,5.0,3.0,255.5,5.0,2.0,214.1,5.0,2.0,719.5,4.0,2.0,1007.0,4.0,2.0,1211.0
5.0,4.0,71.8,5.0,4.0,486.5,5.0,4.0,443.5,5.0,3.0,818.7,4.0,3.0,1149.0,4.0,3.0,1293.0
5.0,6.0,27.7,5.0,6.0,193.4,5.0,6.0,144.0,5.0,6.0,489.6,4.0,6.0,580.2,4.0,5.0,1073.0
6.0,2.0,33.8,6.0,1.0,183.8,6.0,1.0,185.2,6.0,1.0,529.0,6.0,1.0,115.5,5.0,1.0,189.6
6.0,3.0,41.6,6.0,3.0,368.2,6.0,2.0,293.0,6.0,2.0,835.5,6.0,2.0,186.9,5.0,2.0,316.4
6.0,4.0,78.3,6.0,4.0,549.5,6.0,4.0,434.0,6.0,3.0,888.9,6.0,3.0,248.9,5.0,3.0,389.5
6.0,5.0,45.7,6.0,5.0,270.1,6.0,5.0,196.2,6.0,5.0,660.5,6.0,4.0,418.6,5.0,4.0,623.4
