1,中村 守成,中村 守成.1,2,前田 聖文,前田 聖文.1,3,赤羽 克也,赤羽 克也.1,4,上之 晃弘,上之 晃弘.1,5,森岡 まき,森岡 まき.1,6,大神 康司,大神 康司.1
2.0,3.0,22.1,1.0,3.0,12.8,1.0,2.0,46.9,1.0,2.0,469.3,1.0,2.0,640.9,1.0,2.0,122.1
2.0,4.0,71.9,1.0,4.0,40.4,1.0,4.0,103.9,1.0,3.0,493.6,1.0,3.0,632.9,1.0,3.0,153.1
2.0,5.0,122.5,1.0,5.0,65.0,1.0,5.0,125.5,1.0,5.0,1059.0,1.0,4.0,997.0,1.0,4.0,365.8
2.0,6.0,29.9,1.0,6.0,24.8,1.0,6.0,84.3,1.0,6.0,687.1,1.0,6.0,990.5,1.0,5.0,394.1
3.0,2.0,34.2,3.0,1.0,17.2,2.0,1.0,34.1,2.0,1.0,349.8,2.0,1.0,520.6,2.0,1.0,116.0
3.0,4.0,97.7,3.0,4.0,19.5,2.0,4.0,29.9,2.0,3.0,175.3,2.0,3.0,281.4,2.0,3.0,56.7
3.0,5.0,169.6,3.0,5.0,29.0,2.0,5.0,37.9,2.0,5.0,478.1,2.0,4.0,511.8,2.0,4.0,149.6
3.0,6.0,61.1,3.0,6.0,11.7,2.0,6.0,22.8,2.0,6.0,240.9,2.0,6.0,422.5,2.0,5.0,186.4
4.0,2.0,200.9,4.0,1.0,111.1,4.0,1.0,98.8,3.0,1.0,319.1,3.0,1.0,388.1,3.0,1.0,167.0
4.0,3.0,235.4,4.0,3.0,50.4,4.0,2.0,51.6,3.0,2.0,173.3,3.0,2.0,245.6,3.0,2.0,71.5
4.0,5.0,493.6,4.0,5.0,153.3,4.0,5.0,85.7,3.0,5.0,315.8,3.0,4.0,348.2,3.0,4.0,201.2
4.0,6.0,291.6,4.0,6.0,75.2,4.0,6.0,97.3,3.0,6.0,255.0,3.0,6.0,422.5,3.0,5.0,223.6
5.0,2.0,300.2,5.0,1.0,176.7,5.0,1.0,117.6,5.0,1.0,953.3,4.0,1.0,977.8,4.0,1.0,690.2
5.0,3.0,367.5,5.0,3.0,86.1,5.0,2.0,56.6,5.0,2.0,669.0,4.0,2.0,666.1,4.0,2.0,356.4
5.0,4.0,584.4,5.0,4.0,184.4,5.0,4.0,97.3,5.0,3.0,595.8,4.0,3.0,582.2,4.0,3.0,407.8
5.0,6.0,438.3,5.0,6.0,122.6,5.0,6.0,104.0,5.0,6.0,1129.0,4.0,6.0,977.8,4.0,5.0,699.7
6.0,2.0,54.6,6.0,1.0,36.1,6.0,1.0,105.7,6.0,1.0,1059.0,6.0,1.0,1201.0,5.0,1.0,684.0
6.0,3.0,67.0,6.0,3.0,18.0,6.0,2.0,41.3,6.0,2.0,529.6,6.0,2.0,699.7,5.0,2.0,411.1
6.0,4.0,190.4,6.0,4.0,55.3,6.0,4.0,106.4,6.0,3.0,526.0,6.0,3.0,702.9,5.0,3.0,426.0
6.0,5.0,213.3,6.0,5.0,71.8,6.0,5.0,102.3,6.0,5.0,1164.0,6.0,4.0,1210.0,5.0,4.0,722.9
