1,實森 美祐,實森 美祐.1,2,野田部　宏子,野田部　宏子.1,3,金田 幸子,金田 幸子.1,4,武藤 綾子,武藤 綾子.1,5,加藤 綾,加藤 綾.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,5.5,1.0,3.0,29.7,1.0,2.0,50.6,1.0,2.0,58.3,1.0,2.0,306.0,1.0,2.0,1842.0
2.0,4.0,7.1,1.0,4.0,30.8,1.0,4.0,61.1,1.0,3.0,85.0,1.0,3.0,362.9,1.0,3.0,2266.0
2.0,5.0,15.7,1.0,5.0,66.3,1.0,5.0,89.7,1.0,5.0,104.9,1.0,4.0,404.2,1.0,4.0,2774.0
2.0,6.0,161.0,1.0,6.0,380.9,1.0,6.0,504.9,1.0,6.0,429.4,1.0,6.0,1089.0,1.0,5.0,2925.0
3.0,2.0,7.3,3.0,1.0,58.8,2.0,1.0,74.1,2.0,1.0,85.0,2.0,1.0,399.9,2.0,1.0,2331.0
3.0,4.0,8.3,3.0,4.0,84.8,2.0,4.0,132.6,2.0,3.0,158.6,2.0,3.0,701.6,2.0,3.0,2554.0
3.0,5.0,16.5,3.0,5.0,153.5,2.0,5.0,204.5,2.0,5.0,194.9,2.0,4.0,582.9,2.0,4.0,2696.0
3.0,6.0,189.7,3.0,6.0,589.3,2.0,6.0,627.7,2.0,6.0,611.0,2.0,6.0,1467.0,2.0,5.0,3575.0
4.0,2.0,15.1,4.0,1.0,70.6,4.0,1.0,130.8,3.0,1.0,192.9,3.0,1.0,549.7,3.0,1.0,2790.0
4.0,3.0,18.7,4.0,3.0,107.1,4.0,2.0,165.2,3.0,2.0,231.6,3.0,2.0,884.0,3.0,2.0,3175.0
4.0,5.0,34.0,4.0,5.0,173.2,4.0,5.0,250.3,3.0,5.0,403.9,3.0,4.0,1107.0,3.0,4.0,3196.0
4.0,6.0,225.5,4.0,6.0,568.5,4.0,6.0,876.0,3.0,6.0,1203.0,3.0,6.0,2581.0,3.0,5.0,3329.0
5.0,2.0,48.0,5.0,1.0,204.9,5.0,1.0,271.4,5.0,1.0,174.0,4.0,1.0,514.6,4.0,1.0,2856.0
5.0,3.0,51.2,5.0,3.0,349.5,5.0,2.0,420.4,5.0,2.0,223.0,4.0,2.0,650.5,4.0,2.0,3771.0
5.0,4.0,67.9,5.0,4.0,328.3,5.0,4.0,427.1,5.0,3.0,330.8,4.0,3.0,900.5,4.0,3.0,3352.0
5.0,6.0,279.6,5.0,6.0,1024.0,5.0,6.0,1375.0,5.0,6.0,543.5,4.0,6.0,1301.0,4.0,5.0,3055.0
6.0,2.0,571.2,6.0,1.0,1641.0,6.0,1.0,1630.0,6.0,1.0,1119.0,6.0,1.0,2145.0,5.0,1.0,3423.0
6.0,3.0,668.5,6.0,3.0,1842.0,6.0,2.0,1970.0,6.0,2.0,1391.0,6.0,2.0,2839.0,5.0,2.0,3329.0
6.0,4.0,753.0,6.0,4.0,2135.0,6.0,4.0,2164.0,6.0,3.0,1641.0,6.0,3.0,3196.0,5.0,3.0,3892.0
6.0,5.0,669.5,6.0,5.0,2276.0,6.0,5.0,2135.0,6.0,5.0,1188.0,6.0,4.0,2401.0,5.0,4.0,3329.0
