1,岡田 憲行,岡田 憲行.1,2,白水 勝也,白水 勝也.1,3,河野 真也,河野 真也.1,4,中里 優子,中里 優子.1,5,藤田 美代,藤田 美代.1,6,中島 真二,中島 真二.1
2.0,3.0,5.1,1.0,3.0,9.4,1.0,2.0,35.6,1.0,2.0,140.9,1.0,2.0,553.1,1.0,2.0,994.3
2.0,4.0,8.9,1.0,4.0,15.5,1.0,4.0,59.9,1.0,3.0,219.1,1.0,3.0,792.7,1.0,3.0,1532.0
2.0,5.0,35.6,1.0,5.0,46.5,1.0,5.0,136.7,1.0,5.0,360.7,1.0,4.0,1011.0,1.0,4.0,1968.0
2.0,6.0,28.5,1.0,6.0,47.1,1.0,6.0,101.9,1.0,6.0,374.4,1.0,6.0,1481.0,1.0,5.0,3246.0
3.0,2.0,9.0,3.0,1.0,24.2,2.0,1.0,48.1,2.0,1.0,171.9,2.0,1.0,777.6,2.0,1.0,1158.0
3.0,4.0,14.4,3.0,4.0,34.6,2.0,4.0,75.3,2.0,3.0,223.9,2.0,3.0,874.7,2.0,3.0,1485.0
3.0,5.0,53.1,3.0,5.0,78.7,2.0,5.0,151.2,2.0,5.0,406.4,2.0,4.0,1033.0,2.0,4.0,1741.0
3.0,6.0,35.0,3.0,6.0,81.3,2.0,6.0,145.0,2.0,6.0,419.5,2.0,6.0,1330.0,2.0,5.0,3341.0
4.0,2.0,25.3,4.0,1.0,46.3,4.0,1.0,135.9,3.0,1.0,357.8,3.0,1.0,1878.0,3.0,1.0,2128.0
4.0,3.0,35.6,4.0,3.0,59.4,4.0,2.0,134.0,3.0,2.0,306.1,3.0,2.0,1182.0,3.0,2.0,1795.0
4.0,5.0,92.3,4.0,5.0,120.9,4.0,5.0,287.3,3.0,5.0,857.7,3.0,4.0,2289.0,3.0,4.0,2710.0
4.0,6.0,77.1,4.0,6.0,136.2,4.0,6.0,271.9,3.0,6.0,707.7,3.0,6.0,2749.0,3.0,5.0,4634.0
5.0,2.0,146.0,5.0,1.0,187.1,5.0,1.0,523.8,5.0,1.0,565.1,4.0,1.0,1172.0,4.0,1.0,2466.0
5.0,3.0,191.4,5.0,3.0,204.7,5.0,2.0,485.4,5.0,2.0,562.8,4.0,2.0,1154.0,4.0,2.0,1948.0
5.0,4.0,228.2,5.0,4.0,235.1,5.0,4.0,665.9,5.0,3.0,1074.0,4.0,3.0,1935.0,4.0,3.0,2873.0
5.0,6.0,290.5,5.0,6.0,364.6,5.0,6.0,926.9,5.0,6.0,786.2,4.0,6.0,1928.0,4.0,5.0,4353.0
6.0,2.0,151.0,6.0,1.0,299.9,6.0,1.0,515.9,6.0,1.0,934.5,6.0,1.0,2588.0,5.0,1.0,4225.0
6.0,3.0,192.5,6.0,3.0,329.7,6.0,2.0,589.4,6.0,2.0,886.9,6.0,2.0,1988.0,5.0,2.0,4164.0
6.0,4.0,274.1,6.0,4.0,414.9,6.0,4.0,753.2,6.0,3.0,1260.0,6.0,3.0,2845.0,5.0,3.0,4489.0
6.0,5.0,417.0,6.0,5.0,655.3,6.0,5.0,1300.0,6.0,5.0,1312.0,6.0,4.0,2612.0,5.0,4.0,4288.0
