1,正木 聖賢,正木 聖賢.1,2,明石 正之,明石 正之.1,3,大田 直弥,大田 直弥.1,4,尾上 雅也,尾上 雅也.1,5,岡部 大輝,岡部 大輝.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,19.8,1.0,3.0,87.8,1.0,2.0,163.1,1.0,2.0,20.0,1.0,2.0,105.9,1.0,2.0,1231.0
2.0,4.0,9.1,1.0,4.0,46.9,1.0,4.0,103.2,1.0,3.0,34.5,1.0,3.0,170.6,1.0,3.0,2008.0
2.0,5.0,23.6,1.0,5.0,84.0,1.0,5.0,152.3,1.0,5.0,15.9,1.0,4.0,74.5,1.0,4.0,1113.0
2.0,6.0,258.2,1.0,6.0,304.4,1.0,6.0,722.9,1.0,6.0,159.4,1.0,6.0,482.4,1.0,5.0,1750.0
3.0,2.0,28.5,3.0,1.0,266.9,2.0,1.0,332.9,2.0,1.0,41.0,2.0,1.0,198.1,2.0,1.0,2094.0
3.0,4.0,21.7,3.0,4.0,268.1,2.0,4.0,292.4,2.0,3.0,98.4,2.0,3.0,423.9,2.0,3.0,4376.0
3.0,5.0,37.2,3.0,5.0,401.0,2.0,5.0,458.0,2.0,5.0,51.2,2.0,4.0,167.2,2.0,4.0,2042.0
3.0,6.0,402.4,3.0,6.0,1172.0,2.0,6.0,2227.0,2.0,6.0,325.0,2.0,6.0,1051.0,2.0,5.0,3025.0
4.0,2.0,7.7,4.0,1.0,72.6,4.0,1.0,166.1,3.0,1.0,100.1,3.0,1.0,429.1,3.0,1.0,4712.0
4.0,3.0,15.5,4.0,3.0,180.7,4.0,2.0,232.9,3.0,2.0,134.8,3.0,2.0,529.3,3.0,2.0,5327.0
4.0,5.0,9.6,4.0,5.0,108.1,4.0,5.0,222.3,3.0,5.0,105.2,3.0,4.0,374.7,3.0,4.0,3713.0
4.0,6.0,147.9,4.0,6.0,443.1,4.0,6.0,1084.0,3.0,6.0,825.1,3.0,6.0,1944.0,3.0,5.0,5105.0
5.0,2.0,38.4,5.0,1.0,167.0,5.0,1.0,318.2,5.0,1.0,19.2,4.0,1.0,60.2,4.0,1.0,1655.0
5.0,3.0,48.0,5.0,3.0,346.6,5.0,2.0,445.5,5.0,2.0,30.8,4.0,2.0,84.0,4.0,2.0,1801.0
5.0,4.0,26.3,5.0,4.0,160.4,5.0,4.0,317.0,5.0,3.0,62.9,4.0,3.0,188.5,4.0,3.0,3311.0
5.0,6.0,281.6,5.0,6.0,554.4,5.0,6.0,1004.0,5.0,6.0,124.2,4.0,6.0,353.1,4.0,5.0,2450.0
6.0,2.0,773.0,6.0,1.0,878.3,6.0,1.0,2526.0,6.0,1.0,366.8,6.0,1.0,1276.0,5.0,1.0,2076.0
6.0,3.0,806.1,6.0,3.0,1815.0,6.0,2.0,3657.0,6.0,2.0,560.7,6.0,2.0,1433.0,5.0,2.0,2042.0
6.0,4.0,620.4,6.0,4.0,862.9,6.0,4.0,2356.0,6.0,3.0,911.0,6.0,3.0,2059.0,5.0,3.0,2149.0
6.0,5.0,953.5,6.0,5.0,1065.0,6.0,5.0,3102.0,6.0,5.0,393.3,6.0,4.0,1166.0,5.0,4.0,1842.0
