1,佐藤　謙史朗,佐藤　謙史朗.1,2,前田　健太郎,前田　健太郎.1,3,松崎　祐太郎,松崎　祐太郎.1,4,青木　幸太郎,青木　幸太郎.1,5,原田　才一郎,原田　才一郎.1,6,宮嵜　隆太郎,宮嵜　隆太郎.1
2.0,3.0,39.1,1.0,3.0,120.2,1.0,2.0,56.9,1.0,2.0,203.3,1.0,2.0,108.5,1.0,2.0,1178.0
2.0,4.0,60.6,1.0,4.0,166.2,1.0,4.0,19.8,1.0,3.0,67.2,1.0,3.0,36.2,1.0,3.0,1083.0
2.0,5.0,66.4,1.0,5.0,150.9,1.0,5.0,13.2,1.0,5.0,58.6,1.0,4.0,57.3,1.0,4.0,1444.0
2.0,6.0,263.8,1.0,6.0,378.1,1.0,6.0,78.7,1.0,6.0,241.7,1.0,6.0,109.4,1.0,5.0,1083.0
3.0,2.0,28.7,3.0,1.0,182.2,2.0,1.0,125.9,2.0,1.0,250.2,2.0,1.0,187.0,2.0,1.0,1379.0
3.0,4.0,14.4,3.0,4.0,226.4,2.0,4.0,134.5,2.0,3.0,202.6,2.0,3.0,146.9,2.0,3.0,1498.0
3.0,5.0,9.9,3.0,5.0,152.6,2.0,5.0,92.1,2.0,5.0,186.7,2.0,4.0,214.0,2.0,4.0,1597.0
3.0,6.0,80.1,3.0,6.0,649.0,2.0,6.0,344.8,2.0,6.0,572.5,2.0,6.0,381.6,2.0,5.0,1784.0
4.0,2.0,74.3,4.0,1.0,306.5,4.0,1.0,45.9,3.0,1.0,78.1,3.0,1.0,42.6,3.0,1.0,1134.0
4.0,3.0,34.8,4.0,3.0,268.5,4.0,2.0,127.3,3.0,2.0,187.3,3.0,2.0,118.9,3.0,2.0,1333.0
4.0,5.0,41.6,4.0,5.0,307.2,4.0,5.0,27.7,3.0,5.0,39.0,3.0,4.0,43.0,3.0,4.0,1074.0
4.0,6.0,152.2,4.0,6.0,854.7,4.0,6.0,112.2,3.0,6.0,208.9,3.0,6.0,104.1,3.0,5.0,793.3
5.0,2.0,52.4,5.0,1.0,257.7,5.0,1.0,23.1,5.0,1.0,50.4,4.0,1.0,64.0,4.0,1.0,701.6
5.0,3.0,18.6,5.0,3.0,190.2,5.0,2.0,72.0,5.0,2.0,131.0,4.0,2.0,163.8,4.0,2.0,1618.0
5.0,4.0,40.3,5.0,4.0,331.6,5.0,4.0,26.2,5.0,3.0,37.8,4.0,3.0,49.4,4.0,3.0,1238.0
5.0,6.0,112.7,5.0,6.0,744.6,5.0,6.0,58.9,5.0,6.0,109.2,4.0,6.0,112.3,4.0,5.0,642.2
6.0,2.0,575.2,6.0,1.0,1201.0,6.0,1.0,380.4,6.0,1.0,373.4,6.0,1.0,200.6,5.0,1.0,586.3
6.0,3.0,307.2,6.0,3.0,1093.0,6.0,2.0,561.9,6.0,2.0,678.0,6.0,2.0,427.3,5.0,2.0,1662.0
6.0,4.0,505.7,6.0,4.0,1395.0,6.0,4.0,314.4,6.0,3.0,424.4,6.0,3.0,198.0,5.0,3.0,809.1
6.0,5.0,385.3,6.0,5.0,1640.0,6.0,5.0,224.3,6.0,5.0,248.2,6.0,4.0,217.1,5.0,4.0,606.8
