1,坂東 満,坂東 満.1,2,石田 豪,石田 豪.1,3,待鳥 雄紀,待鳥 雄紀.1,4,大熊 辰弥,大熊 辰弥.1,5,大野 芳顕,大野 芳顕.1,6,中岡 正彦,中岡 正彦.1
2.0,3.0,53.8,1.0,3.0,206.2,1.0,2.0,88.2,1.0,2.0,1118.0,1.0,2.0,216.1,1.0,2.0,49.0
2.0,4.0,264.7,1.0,4.0,542.4,1.0,4.0,171.7,1.0,3.0,913.2,1.0,3.0,112.8,1.0,3.0,16.1
2.0,5.0,66.1,1.0,5.0,254.9,1.0,5.0,34.2,1.0,5.0,672.9,1.0,4.0,341.6,1.0,4.0,83.9
2.0,6.0,55.7,1.0,6.0,191.6,1.0,6.0,24.7,1.0,6.0,436.5,1.0,6.0,74.2,1.0,5.0,20.3
3.0,2.0,37.5,3.0,1.0,267.9,2.0,1.0,206.6,2.0,1.0,1243.0,2.0,1.0,428.2,2.0,1.0,129.3
3.0,4.0,114.3,3.0,4.0,1162.0,2.0,4.0,699.2,2.0,3.0,1754.0,2.0,3.0,511.4,2.0,3.0,115.9
3.0,5.0,16.8,3.0,5.0,363.8,2.0,5.0,219.3,2.0,5.0,1754.0,2.0,4.0,1398.0,2.0,4.0,290.5
3.0,6.0,10.2,3.0,6.0,267.1,2.0,6.0,168.5,2.0,6.0,1260.0,2.0,6.0,314.0,2.0,5.0,123.2
4.0,2.0,355.1,4.0,1.0,1132.0,4.0,1.0,639.2,3.0,1.0,1316.0,3.0,1.0,108.3,3.0,1.0,22.7
4.0,3.0,416.2,4.0,3.0,1688.0,4.0,2.0,868.9,3.0,2.0,1988.0,3.0,2.0,325.4,3.0,2.0,74.3
4.0,5.0,511.4,4.0,5.0,1790.0,4.0,5.0,529.5,3.0,5.0,1516.0,3.0,4.0,639.2,3.0,4.0,148.9
4.0,6.0,309.6,4.0,6.0,1356.0,4.0,6.0,422.1,3.0,6.0,972.8,3.0,6.0,75.9,3.0,5.0,26.4
5.0,2.0,78.0,5.0,1.0,389.1,5.0,1.0,50.1,5.0,1.0,1688.0,4.0,1.0,1443.0,4.0,1.0,224.3
5.0,3.0,31.0,5.0,3.0,443.0,5.0,2.0,137.4,5.0,2.0,2034.0,4.0,2.0,1721.0,4.0,2.0,362.3
5.0,4.0,302.3,5.0,4.0,1598.0,5.0,4.0,285.9,5.0,3.0,1516.0,4.0,3.0,1627.0,4.0,3.0,222.6
5.0,6.0,25.3,5.0,6.0,414.3,5.0,6.0,33.7,5.0,6.0,813.6,4.0,6.0,634.7,4.0,5.0,216.1
6.0,2.0,34.3,6.0,1.0,259.4,6.0,1.0,26.7,6.0,1.0,806.3,6.0,1.0,62.4,5.0,1.0,32.3
6.0,3.0,11.4,6.0,3.0,277.9,6.0,2.0,87.4,6.0,2.0,1376.0,6.0,2.0,154.8,5.0,2.0,94.8
6.0,4.0,117.3,6.0,4.0,913.2,6.0,4.0,159.2,6.0,3.0,904.0,6.0,3.0,66.7,5.0,3.0,34.0
6.0,5.0,18.1,6.0,5.0,323.1,6.0,5.0,25.7,6.0,5.0,844.3,6.0,4.0,320.7,5.0,4.0,174.4
