1,宮迫 暢彦,宮迫 暢彦.1,2,西舘 健,西舘 健.1,3,上野 秀和,上野 秀和.1,4,平瀬 城啓,平瀬 城啓.1,5,武井　莉里佳,武井　莉里佳.1,6,立間 充宏,立間 充宏.1
2.0,3.0,26.5,1.0,3.0,104.8,1.0,2.0,192.9,1.0,2.0,312.9,1.0,2.0,51.7,1.0,2.0,42.4
2.0,4.0,38.0,1.0,4.0,137.7,1.0,4.0,297.4,1.0,3.0,505.5,1.0,3.0,69.4,1.0,3.0,71.0
2.0,5.0,23.0,1.0,5.0,71.9,1.0,5.0,205.3,1.0,5.0,283.6,1.0,4.0,116.2,1.0,4.0,115.7
2.0,6.0,11.9,1.0,6.0,51.1,1.0,6.0,141.7,1.0,6.0,229.8,1.0,6.0,22.3,1.0,5.0,39.4
3.0,2.0,37.7,3.0,1.0,323.1,2.0,1.0,334.4,2.0,1.0,547.4,2.0,1.0,100.1,2.0,1.0,83.4
3.0,4.0,73.6,3.0,4.0,895.9,2.0,4.0,612.9,2.0,3.0,1299.0,2.0,3.0,233.7,2.0,3.0,242.2
3.0,5.0,50.5,3.0,5.0,620.8,2.0,5.0,669.3,2.0,5.0,801.0,2.0,4.0,331.9,2.0,4.0,304.3
3.0,6.0,23.6,3.0,6.0,382.1,2.0,6.0,440.0,2.0,6.0,465.4,2.0,6.0,67.5,2.0,5.0,132.3
4.0,2.0,64.7,4.0,1.0,400.2,4.0,1.0,772.9,3.0,1.0,1048.0,3.0,1.0,153.6,3.0,1.0,174.0
4.0,3.0,104.0,4.0,3.0,939.9,4.0,2.0,648.2,3.0,2.0,1411.0,3.0,2.0,250.5,3.0,2.0,319.4
4.0,5.0,59.2,4.0,5.0,663.1,4.0,5.0,978.3,3.0,5.0,1181.0,3.0,4.0,377.3,3.0,4.0,521.6
4.0,6.0,42.9,4.0,6.0,468.8,4.0,6.0,835.9,3.0,6.0,1011.0,3.0,6.0,100.4,3.0,5.0,219.0
5.0,2.0,28.2,5.0,1.0,171.9,5.0,1.0,320.3,5.0,1.0,366.9,4.0,1.0,259.9,4.0,1.0,327.9
5.0,3.0,42.9,5.0,3.0,445.8,5.0,2.0,555.9,5.0,2.0,639.5,4.0,2.0,425.7,4.0,2.0,498.1
5.0,4.0,59.2,5.0,4.0,580.1,5.0,4.0,785.6,5.0,3.0,782.4,4.0,3.0,466.1,4.0,3.0,649.6
5.0,6.0,15.3,5.0,6.0,164.7,5.0,6.0,285.4,5.0,6.0,322.1,4.0,6.0,198.6,4.0,5.0,397.4
6.0,2.0,14.7,6.0,1.0,104.7,6.0,1.0,208.9,6.0,1.0,335.4,6.0,1.0,20.5,5.0,1.0,40.5
6.0,3.0,24.5,6.0,3.0,316.4,6.0,2.0,360.9,6.0,2.0,518.8,6.0,2.0,35.3,5.0,2.0,67.2
6.0,4.0,42.3,6.0,4.0,387.0,6.0,4.0,564.7,6.0,3.0,717.8,6.0,3.0,46.5,5.0,3.0,93.0
6.0,5.0,17.3,6.0,5.0,184.2,6.0,5.0,291.3,6.0,5.0,384.4,6.0,4.0,84.5,5.0,4.0,161.6
