1,檀 将太,檀 将太.1,2,品川 賢次,品川 賢次.1,3,藤丸 光一,藤丸 光一.1,4,阿波 勝哉,阿波 勝哉.1,5,小林 文彦,小林 文彦.1,6,北山 康介,北山 康介.1
2.0,3.0,31.9,1.0,3.0,49.0,1.0,2.0,55.6,1.0,2.0,522.8,1.0,2.0,258.4,1.0,2.0,130.9
2.0,4.0,64.4,1.0,4.0,93.2,1.0,4.0,85.4,1.0,3.0,521.7,1.0,3.0,204.0,1.0,3.0,98.6
2.0,5.0,51.2,1.0,5.0,66.0,1.0,5.0,61.4,1.0,5.0,606.2,1.0,4.0,287.8,1.0,4.0,156.4
2.0,6.0,47.0,1.0,6.0,65.2,1.0,6.0,56.2,1.0,6.0,415.5,1.0,6.0,192.6,1.0,5.0,174.5
3.0,2.0,25.8,3.0,1.0,53.8,2.0,1.0,62.7,2.0,1.0,528.3,2.0,1.0,281.6,2.0,1.0,167.9
3.0,4.0,57.9,3.0,4.0,44.1,2.0,4.0,46.3,2.0,3.0,371.2,2.0,3.0,141.1,2.0,3.0,61.9
3.0,5.0,39.3,3.0,5.0,33.4,2.0,5.0,40.7,2.0,5.0,448.1,2.0,4.0,179.5,2.0,4.0,59.6
3.0,6.0,34.2,3.0,6.0,29.9,2.0,6.0,33.9,2.0,6.0,268.9,2.0,6.0,133.8,2.0,5.0,67.7
4.0,2.0,171.1,4.0,1.0,273.6,4.0,1.0,241.0,3.0,1.0,546.7,3.0,1.0,219.0,3.0,1.0,101.4
4.0,3.0,192.9,4.0,3.0,162.0,4.0,2.0,134.4,3.0,2.0,353.9,3.0,2.0,140.2,3.0,2.0,70.3
4.0,5.0,237.8,4.0,5.0,188.7,4.0,5.0,138.7,3.0,5.0,390.9,3.0,4.0,168.6,3.0,4.0,71.1
4.0,6.0,175.7,4.0,6.0,145.8,4.0,6.0,97.7,3.0,6.0,203.5,3.0,6.0,110.3,3.0,5.0,81.8
5.0,2.0,94.1,5.0,1.0,127.7,5.0,1.0,91.5,5.0,1.0,710.9,4.0,1.0,478.0,4.0,1.0,208.1
5.0,3.0,87.2,5.0,3.0,70.5,5.0,2.0,55.4,5.0,2.0,475.3,4.0,2.0,279.1,4.0,2.0,96.6
5.0,4.0,123.4,5.0,4.0,103.8,5.0,4.0,64.2,5.0,3.0,468.2,4.0,3.0,294.5,4.0,3.0,99.4
5.0,6.0,90.5,5.0,6.0,67.6,5.0,6.0,41.7,5.0,6.0,258.2,4.0,6.0,162.5,4.0,5.0,97.9
6.0,2.0,74.2,6.0,1.0,104.8,6.0,1.0,72.1,6.0,1.0,412.7,6.0,1.0,162.0,5.0,1.0,179.9
6.0,3.0,61.8,6.0,3.0,46.7,6.0,2.0,42.4,6.0,2.0,260.0,6.0,2.0,108.4,5.0,2.0,75.5
6.0,4.0,97.4,6.0,4.0,72.4,6.0,4.0,49.3,6.0,3.0,199.5,6.0,3.0,99.5,5.0,3.0,89.3
6.0,5.0,92.0,6.0,5.0,64.9,6.0,5.0,37.9,6.0,5.0,228.7,6.0,4.0,88.3,5.0,4.0,61.6
