1,立間 充宏,立間 充宏.1,2,鈴木 智啓,鈴木 智啓.1,3,黒野 元基,黒野 元基.1,4,乙津 康志,乙津 康志.1,5,角浜 修,角浜 修.1,6,井川 大作,井川 大作.1
2.0,3.0,6.2,1.0,3.0,14.8,1.0,2.0,20.5,1.0,2.0,244.4,1.0,2.0,425.7,1.0,2.0,337.5
2.0,4.0,17.2,1.0,4.0,35.4,1.0,4.0,36.5,1.0,3.0,275.1,1.0,3.0,418.2,1.0,3.0,365.6
2.0,5.0,41.9,1.0,5.0,61.8,1.0,5.0,52.8,1.0,5.0,379.2,1.0,4.0,650.2,1.0,4.0,1000.0
2.0,6.0,29.0,1.0,6.0,49.1,1.0,6.0,38.1,1.0,6.0,447.2,1.0,6.0,512.7,1.0,5.0,700.7
3.0,2.0,6.8,3.0,1.0,29.1,2.0,1.0,35.5,2.0,1.0,350.0,2.0,1.0,559.8,2.0,1.0,522.2
3.0,4.0,11.3,3.0,4.0,60.0,2.0,4.0,73.5,2.0,3.0,353.3,2.0,3.0,600.8,2.0,3.0,712.8
3.0,5.0,22.2,3.0,5.0,86.7,2.0,5.0,100.8,2.0,5.0,475.5,2.0,4.0,762.2,2.0,4.0,1499.0
3.0,6.0,20.0,3.0,6.0,72.0,2.0,6.0,71.0,2.0,6.0,642.8,2.0,6.0,774.0,2.0,5.0,1239.0
4.0,2.0,48.2,4.0,1.0,123.9,4.0,1.0,121.6,3.0,1.0,455.8,3.0,1.0,613.1,3.0,1.0,604.0
4.0,3.0,41.6,4.0,3.0,124.9,4.0,2.0,143.8,3.0,2.0,405.8,3.0,2.0,758.4,3.0,2.0,811.6
4.0,5.0,121.4,4.0,5.0,217.7,4.0,5.0,226.6,3.0,5.0,690.0,3.0,4.0,991.7,3.0,4.0,1437.0
4.0,6.0,116.4,4.0,6.0,228.8,4.0,6.0,187.9,3.0,6.0,786.1,3.0,6.0,958.0,3.0,5.0,1319.0
5.0,2.0,116.9,5.0,1.0,210.8,5.0,1.0,201.0,5.0,1.0,508.7,4.0,1.0,876.2,4.0,1.0,1577.0
5.0,3.0,89.1,5.0,3.0,223.2,5.0,2.0,240.5,5.0,2.0,522.2,4.0,2.0,810.1,4.0,2.0,1755.0
5.0,4.0,185.0,5.0,4.0,337.5,5.0,4.0,328.4,5.0,3.0,576.3,4.0,3.0,823.4,4.0,3.0,1665.0
5.0,6.0,164.9,5.0,6.0,291.7,5.0,6.0,292.0,5.0,6.0,491.5,4.0,6.0,849.8,4.0,5.0,1446.0
6.0,2.0,90.5,6.0,1.0,202.1,6.0,1.0,142.3,6.0,1.0,946.0,6.0,1.0,685.8,5.0,1.0,1136.0
6.0,3.0,74.4,6.0,3.0,232.4,6.0,2.0,170.4,6.0,2.0,1076.0,6.0,2.0,906.1,5.0,2.0,1529.0
6.0,4.0,221.4,6.0,4.0,406.1,6.0,4.0,311.6,6.0,3.0,1082.0,6.0,3.0,895.3,5.0,3.0,1550.0
6.0,5.0,228.7,6.0,5.0,375.4,6.0,5.0,328.1,6.0,5.0,946.0,6.0,4.0,1023.0,5.0,4.0,1335.0
