1,前田 将太,前田 将太.1,2,篠崎 元志,篠崎 元志.1,3,岡崎 恭裕,岡崎 恭裕.1,4,渡辺 浩司,渡辺 浩司.1,5,今井 貴士,今井 貴士.1,6,岡村 慶太,岡村 慶太.1
2.0,3.0,7.2,1.0,3.0,43.1,1.0,2.0,70.9,1.0,2.0,112.9,1.0,2.0,171.0,1.0,2.0,738.6
2.0,4.0,8.2,1.0,4.0,51.5,1.0,4.0,69.1,1.0,3.0,158.5,1.0,3.0,178.1,1.0,3.0,933.1
2.0,5.0,13.7,1.0,5.0,61.4,1.0,5.0,71.9,1.0,5.0,116.7,1.0,4.0,223.2,1.0,4.0,865.2
2.0,6.0,22.8,1.0,6.0,95.8,1.0,6.0,100.6,1.0,6.0,144.3,1.0,6.0,220.5,1.0,5.0,1239.0
3.0,2.0,10.8,3.0,1.0,116.8,2.0,1.0,150.8,2.0,1.0,229.4,2.0,1.0,327.0,2.0,1.0,1061.0
3.0,4.0,11.6,3.0,4.0,341.3,2.0,4.0,346.0,2.0,3.0,502.6,2.0,3.0,660.7,2.0,3.0,1674.0
3.0,5.0,16.1,3.0,5.0,337.0,2.0,5.0,352.1,2.0,5.0,359.5,2.0,4.0,615.0,2.0,4.0,1643.0
3.0,6.0,27.3,3.0,6.0,446.6,2.0,6.0,437.2,2.0,6.0,405.1,2.0,6.0,598.7,2.0,5.0,1851.0
4.0,2.0,14.9,4.0,1.0,163.8,4.0,1.0,220.6,3.0,1.0,340.8,3.0,1.0,366.2,3.0,1.0,1365.0
4.0,3.0,19.8,4.0,3.0,384.1,4.0,2.0,389.6,3.0,2.0,556.9,3.0,2.0,777.9,3.0,2.0,2316.0
4.0,5.0,29.1,4.0,5.0,390.7,4.0,5.0,395.5,3.0,5.0,635.6,3.0,4.0,986.9,3.0,4.0,2192.0
4.0,6.0,29.4,4.0,6.0,427.3,4.0,6.0,426.8,3.0,6.0,643.2,3.0,6.0,641.4,3.0,5.0,1455.0
5.0,2.0,27.0,5.0,1.0,230.5,5.0,1.0,194.7,5.0,1.0,183.1,4.0,1.0,331.1,4.0,1.0,1244.0
5.0,3.0,31.0,5.0,3.0,500.1,5.0,2.0,406.1,5.0,2.0,275.0,4.0,2.0,501.2,4.0,2.0,2186.0
5.0,4.0,49.8,5.0,4.0,541.0,5.0,4.0,488.0,5.0,3.0,453.6,4.0,3.0,744.1,4.0,3.0,2285.0
5.0,6.0,52.1,5.0,6.0,543.1,5.0,6.0,280.2,5.0,6.0,238.1,4.0,6.0,422.9,4.0,5.0,1954.0
6.0,2.0,93.4,6.0,1.0,442.7,6.0,1.0,453.3,6.0,1.0,357.8,6.0,1.0,637.9,5.0,1.0,1781.0
6.0,3.0,108.4,6.0,3.0,911.3,6.0,2.0,798.3,6.0,2.0,569.1,6.0,2.0,925.7,5.0,2.0,2165.0
6.0,4.0,108.4,6.0,4.0,978.7,6.0,4.0,822.6,6.0,3.0,738.6,6.0,3.0,776.2,5.0,3.0,1443.0
6.0,5.0,130.0,6.0,5.0,984.2,6.0,5.0,530.0,6.0,5.0,470.9,6.0,4.0,822.6,5.0,4.0,2057.0
