1,芝田 浩治,芝田 浩治.1,2,中越 博紀,中越 博紀.1,3,表 憲一,表 憲一.1,4,萩原 知哉,萩原 知哉.1,5,松本 弓雄,松本 弓雄.1,6,黒田 剛,黒田 剛.1
2.0,3.0,3.7,1.0,3.0,18.0,1.0,2.0,42.3,1.0,2.0,226.5,1.0,2.0,123.4,1.0,2.0,986.5
2.0,4.0,11.2,1.0,4.0,47.6,1.0,4.0,101.8,1.0,3.0,250.4,1.0,3.0,170.3,1.0,3.0,1628.0
2.0,5.0,9.4,1.0,5.0,35.3,1.0,5.0,76.9,1.0,5.0,314.5,1.0,4.0,399.4,1.0,4.0,2959.0
2.0,6.0,57.1,1.0,6.0,124.2,1.0,6.0,263.1,1.0,6.0,644.6,1.0,6.0,307.8,1.0,5.0,1512.0
3.0,2.0,6.5,3.0,1.0,44.6,2.0,1.0,74.1,2.0,1.0,370.9,2.0,1.0,188.1,2.0,1.0,1369.0
3.0,4.0,16.7,3.0,4.0,141.5,2.0,4.0,161.6,2.0,3.0,565.1,2.0,3.0,323.4,2.0,3.0,2009.0
3.0,5.0,14.0,3.0,5.0,125.7,2.0,5.0,181.3,2.0,5.0,611.6,2.0,4.0,739.9,2.0,4.0,3440.0
3.0,6.0,69.6,3.0,6.0,332.4,2.0,6.0,387.6,2.0,6.0,1038.0,2.0,6.0,449.7,2.0,5.0,1504.0
4.0,2.0,32.7,4.0,1.0,195.0,4.0,1.0,264.1,3.0,1.0,628.4,3.0,1.0,375.5,3.0,1.0,2085.0
4.0,3.0,36.6,4.0,3.0,295.6,4.0,2.0,345.3,3.0,2.0,762.4,3.0,2.0,498.6,3.0,2.0,2572.0
4.0,5.0,64.2,4.0,5.0,433.4,4.0,5.0,381.2,3.0,5.0,902.4,3.0,4.0,1092.0,3.0,4.0,3770.0
4.0,6.0,153.4,4.0,6.0,726.2,4.0,6.0,844.3,3.0,6.0,1688.0,3.0,6.0,1070.0,3.0,5.0,3127.0
5.0,2.0,26.4,5.0,1.0,123.5,5.0,1.0,197.8,5.0,1.0,485.4,4.0,1.0,707.5,4.0,1.0,3484.0
5.0,3.0,33.7,5.0,3.0,245.0,5.0,2.0,293.4,5.0,2.0,679.6,4.0,2.0,914.4,4.0,2.0,3621.0
5.0,4.0,82.8,5.0,4.0,585.6,5.0,4.0,579.4,5.0,3.0,766.7,4.0,3.0,1042.0,4.0,3.0,4512.0
5.0,6.0,123.8,5.0,6.0,521.2,5.0,6.0,764.5,5.0,6.0,784.1,4.0,6.0,1223.0,4.0,5.0,2780.0
6.0,2.0,202.9,6.0,1.0,741.9,6.0,1.0,1087.0,6.0,1.0,1859.0,6.0,1.0,535.4,5.0,1.0,1520.0
6.0,3.0,254.3,6.0,3.0,1245.0,6.0,2.0,1362.0,6.0,2.0,1966.0,6.0,2.0,649.1,5.0,2.0,1581.0
6.0,4.0,424.1,6.0,4.0,1471.0,6.0,4.0,2009.0,6.0,3.0,2837.0,6.0,3.0,1100.0,5.0,3.0,2752.0
6.0,5.0,301.8,6.0,5.0,959.0,6.0,5.0,1504.0,6.0,5.0,1464.0,6.0,4.0,1411.0,5.0,4.0,2867.0
