1,川崎 智稔,川崎 智稔.1,2,藤田 竜弘,藤田 竜弘.1,3,大串 重幸,大串 重幸.1,4,小森 信雄,小森 信雄.1,5,真庭 明志,真庭 明志.1,6,白水 勝也,白水 勝也.1
2.0,3.0,14.5,1.0,3.0,24.7,1.0,2.0,65.5,1.0,2.0,334.7,1.0,2.0,196.3,1.0,2.0,57.0
2.0,4.0,50.2,1.0,4.0,75.0,1.0,4.0,147.0,1.0,3.0,534.2,1.0,3.0,301.9,1.0,3.0,112.7
2.0,5.0,28.7,1.0,5.0,37.7,1.0,5.0,95.7,1.0,5.0,427.9,1.0,4.0,522.4,1.0,4.0,212.6
2.0,6.0,15.5,1.0,6.0,20.1,1.0,6.0,57.5,1.0,6.0,289.2,1.0,6.0,145.7,1.0,5.0,129.4
3.0,2.0,22.0,3.0,1.0,47.1,2.0,1.0,72.4,2.0,1.0,359.6,2.0,1.0,212.7,2.0,1.0,59.1
3.0,4.0,64.5,3.0,4.0,108.1,2.0,4.0,154.9,2.0,3.0,342.8,2.0,3.0,217.5,2.0,3.0,75.5
3.0,5.0,42.1,3.0,5.0,55.1,2.0,5.0,85.0,2.0,5.0,340.6,2.0,4.0,407.8,2.0,4.0,163.1
3.0,6.0,26.8,3.0,6.0,33.1,2.0,6.0,46.8,2.0,6.0,214.3,2.0,6.0,93.7,2.0,5.0,74.8
4.0,2.0,113.8,4.0,1.0,147.8,4.0,1.0,252.6,3.0,1.0,493.9,3.0,1.0,362.3,3.0,1.0,163.8
4.0,3.0,133.7,4.0,3.0,197.6,4.0,2.0,225.5,3.0,2.0,404.3,3.0,2.0,251.1,3.0,2.0,102.4
4.0,5.0,195.7,4.0,5.0,207.3,4.0,5.0,223.7,3.0,5.0,515.4,3.0,4.0,580.0,3.0,4.0,281.9
4.0,6.0,111.4,4.0,6.0,111.0,4.0,6.0,141.5,3.0,6.0,322.0,3.0,6.0,172.8,3.0,5.0,174.0
5.0,2.0,73.4,5.0,1.0,94.9,5.0,1.0,177.9,5.0,1.0,481.0,4.0,1.0,607.3,4.0,1.0,371.5
5.0,3.0,93.9,5.0,3.0,99.9,5.0,2.0,138.9,5.0,2.0,442.1,4.0,2.0,450.5,4.0,2.0,256.6
5.0,4.0,221.2,5.0,4.0,225.9,5.0,4.0,267.4,5.0,3.0,574.5,4.0,3.0,669.4,4.0,3.0,387.7
5.0,6.0,63.0,5.0,6.0,45.6,5.0,6.0,88.0,5.0,6.0,231.3,4.0,6.0,240.5,4.0,5.0,314.9
6.0,2.0,32.2,6.0,1.0,33.9,6.0,1.0,91.3,6.0,1.0,331.8,6.0,1.0,151.3,5.0,1.0,181.5
6.0,3.0,45.7,6.0,3.0,37.5,6.0,2.0,64.6,6.0,2.0,266.7,6.0,2.0,102.7,5.0,2.0,99.9
6.0,4.0,112.1,6.0,4.0,99.5,6.0,4.0,147.0,6.0,3.0,351.0,6.0,3.0,159.5,5.0,3.0,174.4
6.0,5.0,62.2,6.0,5.0,34.0,6.0,5.0,88.2,6.0,5.0,252.6,6.0,4.0,217.1,5.0,4.0,255.1
