1,川辺 郭人,川辺 郭人.1,2,川原 涼,川原 涼.1,3,生方 靖亜,生方 靖亜.1,4,高山 敬悟,高山 敬悟.1,5,市川 健太,市川 健太.1,6,小林 京平,小林 京平.1
2.0,3.0,30.7,1.0,3.0,40.4,1.0,2.0,84.5,1.0,2.0,307.9,1.0,2.0,107.1,1.0,2.0,497.7
2.0,4.0,88.0,1.0,4.0,82.7,1.0,4.0,105.8,1.0,3.0,340.9,1.0,3.0,107.9,1.0,3.0,1072.0
2.0,5.0,53.6,1.0,5.0,50.7,1.0,5.0,69.3,1.0,5.0,336.0,1.0,4.0,186.0,1.0,4.0,1268.0
2.0,6.0,125.6,1.0,6.0,114.1,1.0,6.0,171.4,1.0,6.0,479.4,1.0,6.0,155.6,1.0,5.0,1123.0
3.0,2.0,44.4,3.0,1.0,39.5,2.0,1.0,54.9,2.0,1.0,192.1,2.0,1.0,88.4,2.0,1.0,440.1
3.0,4.0,91.5,3.0,4.0,22.4,2.0,4.0,24.8,2.0,3.0,106.2,2.0,3.0,36.0,2.0,3.0,398.5
3.0,5.0,57.9,3.0,5.0,13.7,2.0,5.0,15.9,2.0,5.0,106.8,2.0,4.0,73.2,2.0,4.0,873.7
3.0,6.0,156.6,3.0,6.0,36.9,2.0,6.0,51.5,2.0,6.0,229.0,2.0,6.0,63.2,2.0,5.0,356.3
4.0,2.0,191.7,4.0,1.0,128.6,4.0,1.0,95.2,3.0,1.0,234.5,3.0,1.0,99.7,3.0,1.0,1062.0
4.0,3.0,162.4,4.0,3.0,55.0,4.0,2.0,41.1,3.0,2.0,107.4,3.0,2.0,40.1,3.0,2.0,489.4
4.0,5.0,243.7,4.0,5.0,53.2,4.0,5.0,36.2,3.0,5.0,106.6,3.0,4.0,81.6,3.0,4.0,666.4
4.0,6.0,358.5,4.0,6.0,130.7,4.0,6.0,93.6,3.0,6.0,256.4,3.0,6.0,88.2,3.0,5.0,428.9
5.0,2.0,89.2,5.0,1.0,69.5,5.0,1.0,59.0,5.0,1.0,256.4,4.0,1.0,271.7,4.0,1.0,1325.0
5.0,3.0,86.9,5.0,3.0,21.0,5.0,2.0,23.8,5.0,2.0,102.1,4.0,2.0,118.5,4.0,2.0,886.8
5.0,4.0,212.1,5.0,4.0,52.3,5.0,4.0,34.5,5.0,3.0,118.5,4.0,3.0,119.5,4.0,3.0,761.0
5.0,6.0,228.1,5.0,6.0,55.1,5.0,6.0,59.4,5.0,6.0,136.6,4.0,6.0,159.8,4.0,5.0,648.1
6.0,2.0,241.7,6.0,1.0,203.0,6.0,1.0,269.3,6.0,1.0,538.6,6.0,1.0,167.0,5.0,1.0,706.3
6.0,3.0,340.9,6.0,3.0,126.2,6.0,2.0,173.4,6.0,2.0,373.2,6.0,2.0,99.4,5.0,2.0,296.3
6.0,4.0,538.6,6.0,4.0,265.0,6.0,4.0,234.9,6.0,3.0,403.9,6.0,3.0,124.0,5.0,3.0,359.6
6.0,5.0,416.8,6.0,5.0,123.5,6.0,5.0,157.6,6.0,5.0,268.6,6.0,4.0,240.2,5.0,4.0,595.7
