1,若林 義人,若林 義人.1,2,松田 竜馬,松田 竜馬.1,3,川上 昇平,川上 昇平.1,4,庄司 孝輔,庄司 孝輔.1,5,大峯 豊,大峯 豊.1,6,木山 和幸,木山 和幸.1
2.0,3.0,21.9,1.0,3.0,122.8,1.0,2.0,403.0,1.0,2.0,103.6,1.0,2.0,39.1,1.0,2.0,548.9
2.0,4.0,8.9,1.0,4.0,61.8,1.0,4.0,457.8,1.0,3.0,337.4,1.0,3.0,144.3,1.0,3.0,1180.0
2.0,5.0,5.0,1.0,5.0,40.8,1.0,5.0,320.0,1.0,5.0,57.8,1.0,4.0,52.2,1.0,4.0,607.0
2.0,6.0,38.9,1.0,6.0,142.2,1.0,6.0,742.9,1.0,6.0,129.8,1.0,6.0,71.7,1.0,5.0,414.0
3.0,2.0,45.4,3.0,1.0,409.0,2.0,1.0,534.2,2.0,1.0,221.7,2.0,1.0,91.5,2.0,1.0,845.4
3.0,4.0,58.7,3.0,4.0,749.2,2.0,4.0,931.0,2.0,3.0,759.5,2.0,3.0,451.2,2.0,3.0,1703.0
3.0,5.0,39.2,3.0,5.0,535.5,2.0,5.0,712.9,2.0,5.0,216.2,2.0,4.0,204.3,2.0,4.0,1246.0
3.0,6.0,137.1,3.0,6.0,998.4,2.0,6.0,1125.0,2.0,6.0,414.7,2.0,6.0,256.1,2.0,5.0,1079.0
4.0,2.0,17.1,4.0,1.0,195.8,4.0,1.0,733.1,3.0,1.0,803.8,3.0,1.0,443.0,3.0,1.0,1979.0
4.0,3.0,57.6,4.0,3.0,641.4,4.0,2.0,1023.0,3.0,2.0,1089.0,3.0,2.0,728.2,3.0,2.0,2580.0
4.0,5.0,12.7,4.0,5.0,218.4,4.0,5.0,783.8,3.0,5.0,865.3,3.0,4.0,940.9,3.0,4.0,2111.0
4.0,6.0,47.5,4.0,6.0,484.4,4.0,6.0,1114.0,3.0,6.0,1097.0,3.0,6.0,940.9,3.0,5.0,2184.0
5.0,2.0,7.7,5.0,1.0,94.2,5.0,1.0,471.5,5.0,1.0,64.4,4.0,1.0,85.8,4.0,1.0,880.8
5.0,3.0,35.6,5.0,3.0,451.2,5.0,2.0,847.0,5.0,2.0,131.9,4.0,2.0,161.3,4.0,2.0,1309.0
5.0,4.0,11.5,5.0,4.0,211.0,5.0,4.0,917.5,5.0,3.0,359.0,4.0,3.0,467.0,4.0,3.0,1952.0
5.0,6.0,24.7,5.0,6.0,275.1,5.0,6.0,1026.0,5.0,6.0,88.1,4.0,6.0,129.9,4.0,5.0,528.5
6.0,2.0,124.5,6.0,1.0,610.4,6.0,1.0,1357.0,6.0,1.0,287.6,6.0,1.0,176.2,5.0,1.0,538.2
6.0,3.0,234.8,6.0,3.0,1120.0,6.0,2.0,1506.0,6.0,2.0,475.0,6.0,2.0,283.4,5.0,2.0,1131.0
6.0,4.0,136.0,6.0,4.0,895.1,6.0,4.0,1659.0,6.0,3.0,873.9,6.0,3.0,540.8,5.0,3.0,1684.0
6.0,5.0,92.9,6.0,5.0,718.7,6.0,5.0,1604.0,6.0,5.0,211.6,6.0,4.0,215.8,5.0,4.0,526.6
