1,木場 悠介,木場 悠介.1,2,鈴木 秀茉,鈴木 秀茉.1,3,田中　太一郎,田中　太一郎.1,4,坂井 康嗣,坂井 康嗣.1,5,水摩 敦,水摩 敦.1,6,渡邉 翼,渡邉 翼.1
2.0,3.0,16.7,1.0,3.0,43.2,1.0,2.0,131.1,1.0,2.0,83.9,1.0,2.0,37.1,1.0,2.0,608.5
2.0,4.0,18.5,1.0,4.0,38.8,1.0,4.0,145.3,1.0,3.0,207.4,1.0,3.0,85.5,1.0,3.0,922.0
2.0,5.0,10.1,1.0,5.0,24.0,1.0,5.0,95.8,1.0,5.0,57.6,1.0,4.0,57.3,1.0,4.0,845.9
2.0,6.0,43.1,1.0,6.0,82.0,1.0,6.0,231.1,1.0,6.0,131.4,1.0,6.0,45.7,1.0,5.0,373.2
3.0,2.0,28.6,3.0,1.0,174.4,2.0,1.0,218.6,2.0,1.0,106.9,2.0,1.0,66.3,2.0,1.0,836.5
3.0,4.0,44.8,3.0,4.0,233.2,2.0,4.0,297.8,2.0,3.0,290.3,2.0,3.0,189.1,2.0,3.0,1202.0
3.0,5.0,25.3,3.0,5.0,163.2,2.0,5.0,188.4,2.0,5.0,72.4,2.0,4.0,113.5,2.0,4.0,1105.0
3.0,6.0,81.0,3.0,6.0,467.2,2.0,6.0,398.6,2.0,6.0,168.7,2.0,6.0,104.2,2.0,5.0,689.4
4.0,2.0,32.9,4.0,1.0,95.1,4.0,1.0,289.7,3.0,1.0,428.2,3.0,1.0,190.8,3.0,1.0,1695.0
4.0,3.0,62.4,4.0,3.0,236.1,4.0,2.0,361.2,3.0,2.0,430.2,3.0,2.0,283.7,3.0,2.0,2167.0
4.0,5.0,28.3,4.0,5.0,88.4,4.0,5.0,246.2,3.0,5.0,296.8,3.0,4.0,289.2,3.0,4.0,2871.0
4.0,6.0,83.6,4.0,6.0,233.3,4.0,6.0,508.3,3.0,6.0,575.8,3.0,6.0,272.1,3.0,5.0,2232.0
5.0,2.0,14.0,5.0,1.0,51.6,5.0,1.0,150.7,5.0,1.0,41.8,4.0,1.0,62.1,4.0,1.0,1422.0
5.0,3.0,29.5,5.0,3.0,146.5,5.0,2.0,196.9,5.0,2.0,42.2,4.0,2.0,73.3,4.0,2.0,1252.0
5.0,4.0,28.3,5.0,4.0,91.3,5.0,4.0,234.4,5.0,3.0,122.0,4.0,3.0,171.0,4.0,3.0,2157.0
5.0,6.0,31.6,5.0,6.0,138.7,5.0,6.0,306.5,5.0,6.0,47.9,4.0,6.0,68.2,4.0,5.0,667.0
6.0,2.0,148.0,6.0,1.0,393.7,6.0,1.0,761.6,6.0,1.0,278.1,6.0,1.0,83.3,5.0,1.0,376.6
6.0,3.0,233.5,6.0,3.0,714.5,6.0,2.0,712.3,6.0,2.0,283.9,6.0,2.0,119.0,5.0,2.0,576.5
6.0,4.0,210.0,6.0,4.0,507.7,6.0,4.0,997.5,6.0,3.0,634.1,6.0,3.0,233.7,5.0,3.0,1218.0
6.0,5.0,117.9,6.0,5.0,309.6,6.0,5.0,673.9,6.0,5.0,159.3,6.0,4.0,153.2,5.0,4.0,590.1
