1,尾上 雅也,尾上 雅也.1,2,山口 修路,山口 修路.1,3,林 恵祐,林 恵祐.1,4,高木 圭大,高木 圭大.1,5,山崎 善庸,山崎 善庸.1,6,高山 秀雄,高山 秀雄.1
2.0,3.0,5.8,1.0,3.0,70.7,1.0,2.0,142.8,1.0,2.0,77.0,1.0,2.0,331.4,1.0,2.0,1071.0
2.0,4.0,6.0,1.0,4.0,70.0,1.0,4.0,145.0,1.0,3.0,151.0,1.0,3.0,446.8,1.0,3.0,2120.0
2.0,5.0,11.0,1.0,5.0,103.6,1.0,5.0,182.8,1.0,5.0,96.9,1.0,4.0,378.3,1.0,4.0,1797.0
2.0,6.0,21.2,1.0,6.0,203.3,1.0,6.0,351.7,1.0,6.0,167.6,1.0,6.0,561.3,1.0,5.0,1822.0
3.0,2.0,8.2,3.0,1.0,259.5,2.0,1.0,306.2,2.0,1.0,175.3,2.0,1.0,686.8,2.0,1.0,1990.0
3.0,4.0,11.6,3.0,4.0,446.3,2.0,4.0,568.6,2.0,3.0,630.2,2.0,3.0,1363.0,2.0,3.0,4194.0
3.0,5.0,17.0,3.0,5.0,711.8,2.0,5.0,627.1,2.0,5.0,395.6,2.0,4.0,1057.0,2.0,4.0,2847.0
3.0,6.0,39.9,3.0,6.0,1207.0,2.0,6.0,1086.0,2.0,6.0,574.5,2.0,6.0,1592.0,2.0,5.0,4194.0
4.0,2.0,11.0,4.0,1.0,209.0,4.0,1.0,344.0,3.0,1.0,425.8,3.0,1.0,900.9,3.0,1.0,3096.0
4.0,3.0,16.4,4.0,3.0,520.1,4.0,2.0,664.5,3.0,2.0,846.2,3.0,2.0,1931.0,3.0,2.0,5001.0
4.0,5.0,19.4,4.0,5.0,545.5,4.0,5.0,764.9,3.0,5.0,876.6,3.0,4.0,2097.0,3.0,4.0,4150.0
4.0,6.0,42.0,4.0,6.0,940.0,4.0,6.0,1060.0,3.0,6.0,1175.0,3.0,6.0,2847.0,3.0,5.0,4106.0
5.0,2.0,25.7,5.0,1.0,477.4,5.0,1.0,506.6,5.0,1.0,168.2,4.0,1.0,447.8,4.0,1.0,2203.0
5.0,3.0,40.4,5.0,3.0,1008.0,5.0,2.0,892.6,5.0,2.0,268.1,4.0,2.0,830.0,4.0,2.0,2747.0
5.0,4.0,42.9,5.0,4.0,1196.0,5.0,4.0,1114.0,5.0,3.0,495.0,4.0,3.0,1359.0,4.0,3.0,4383.0
5.0,6.0,75.6,5.0,6.0,1455.0,5.0,6.0,1541.0,5.0,6.0,302.6,4.0,6.0,924.4,4.0,5.0,4021.0
6.0,2.0,94.0,6.0,1.0,1005.0,6.0,1.0,1541.0,6.0,1.0,445.8,6.0,1.0,1560.0,5.0,1.0,2868.0
6.0,3.0,167.2,6.0,3.0,2254.0,6.0,2.0,2533.0,6.0,2.0,690.4,6.0,2.0,2308.0,5.0,2.0,4383.0
6.0,4.0,168.2,6.0,4.0,2053.0,6.0,4.0,2549.0,6.0,3.0,1226.0,6.0,3.0,2766.0,5.0,3.0,4150.0
6.0,5.0,163.9,6.0,5.0,2075.0,6.0,5.0,2378.0,6.0,5.0,632.2,6.0,4.0,2075.0,5.0,4.0,3750.0
