1,松本 弓雄,松本 弓雄.1,2,表 健太,表 健太.1,3,長野　壮志郎,長野　壮志郎.1,4,大熊 辰弥,大熊 辰弥.1,5,重成 一人,重成 一人.1,6,小川 晃司,小川 晃司.1
2.0,3.0,51.2,1.0,3.0,267.2,1.0,2.0,53.3,1.0,2.0,799.7,1.0,2.0,193.7,1.0,2.0,1030.0
2.0,4.0,97.2,1.0,4.0,491.6,1.0,4.0,30.0,1.0,3.0,381.3,1.0,3.0,30.9,1.0,3.0,386.8
2.0,5.0,78.9,1.0,5.0,385.5,1.0,5.0,7.3,1.0,5.0,425.2,1.0,4.0,154.4,1.0,4.0,1104.0
2.0,6.0,106.2,1.0,6.0,592.0,1.0,6.0,22.0,1.0,6.0,570.0,1.0,6.0,61.9,1.0,5.0,425.2
3.0,2.0,42.2,3.0,1.0,292.8,2.0,1.0,120.9,2.0,1.0,1204.0,2.0,1.0,389.7,2.0,1.0,1291.0
3.0,4.0,34.7,3.0,4.0,555.2,2.0,4.0,162.8,2.0,3.0,974.2,2.0,3.0,231.9,2.0,3.0,1756.0
3.0,5.0,9.7,3.0,5.0,272.6,2.0,5.0,92.6,2.0,5.0,1260.0,2.0,4.0,674.0,2.0,4.0,2143.0
3.0,6.0,29.2,3.0,6.0,459.9,2.0,6.0,151.5,2.0,6.0,837.2,2.0,6.0,328.7,2.0,5.0,1488.0
4.0,2.0,259.4,4.0,1.0,965.4,4.0,1.0,71.2,3.0,1.0,412.1,3.0,1.0,24.7,3.0,1.0,399.8
4.0,3.0,129.7,4.0,3.0,940.0,4.0,2.0,170.3,3.0,2.0,965.4,3.0,2.0,107.3,3.0,2.0,974.2
4.0,5.0,163.6,4.0,5.0,1391.0,4.0,5.0,42.8,3.0,5.0,253.9,3.0,4.0,75.6,3.0,4.0,878.4
4.0,6.0,166.6,4.0,6.0,811.8,4.0,6.0,74.4,3.0,6.0,463.9,3.0,6.0,27.0,3.0,5.0,197.3
5.0,2.0,97.0,5.0,1.0,376.0,5.0,1.0,9.4,5.0,1.0,405.9,4.0,1.0,362.0,4.0,1.0,1246.0
5.0,3.0,18.2,5.0,3.0,276.2,5.0,2.0,44.9,5.0,2.0,1190.0,4.0,2.0,878.4,4.0,2.0,2435.0
5.0,4.0,94.4,5.0,4.0,843.8,5.0,4.0,24.0,5.0,3.0,310.6,4.0,3.0,228.0,4.0,3.0,1599.0
5.0,6.0,42.0,5.0,6.0,454.1,5.0,6.0,10.9,5.0,6.0,474.2,4.0,6.0,339.1,4.0,5.0,1391.0
6.0,2.0,339.1,6.0,1.0,1011.0,6.0,1.0,76.7,6.0,1.0,857.3,6.0,1.0,100.3,5.0,1.0,392.5
6.0,3.0,122.3,6.0,3.0,1152.0,6.0,2.0,221.4,6.0,2.0,1260.0,6.0,2.0,269.9,5.0,2.0,940.0
6.0,4.0,321.8,6.0,4.0,1275.0,6.0,4.0,150.3,6.0,3.0,965.4,6.0,3.0,68.3,5.0,3.0,195.2
6.0,5.0,141.0,6.0,5.0,1040.0,6.0,5.0,46.9,6.0,5.0,965.4,6.0,4.0,291.2,5.0,4.0,1050.0
