1,渡邉 睦広,渡邉 睦広.1,2,杉山 勝匡,杉山 勝匡.1,3,今村 暢孝,今村 暢孝.1,4,松村 敏,松村 敏.1,5,川上 清人,川上 清人.1,6,向井田　佑紀,向井田　佑紀.1
2.0,3.0,51.7,1.0,3.0,155.0,1.0,2.0,105.4,1.0,2.0,39.6,1.0,2.0,921.6,1.0,2.0,482.7
2.0,4.0,37.1,1.0,4.0,99.6,1.0,4.0,27.2,1.0,3.0,13.3,1.0,3.0,629.5,1.0,3.0,336.4
2.0,5.0,167.1,1.0,5.0,371.1,1.0,5.0,144.5,1.0,5.0,32.9,1.0,4.0,453.2,1.0,4.0,265.1
2.0,6.0,134.1,1.0,6.0,330.2,1.0,6.0,89.4,1.0,6.0,19.0,1.0,6.0,713.7,1.0,5.0,949.4
3.0,2.0,36.2,3.0,1.0,255.1,2.0,1.0,267.3,2.0,1.0,75.2,2.0,1.0,1333.0,2.0,1.0,1368.0
3.0,4.0,9.0,3.0,4.0,193.8,2.0,4.0,208.7,2.0,3.0,89.9,2.0,3.0,1862.0,2.0,3.0,1546.0
3.0,5.0,70.1,3.0,5.0,614.1,2.0,5.0,529.4,2.0,5.0,120.0,2.0,4.0,1100.0,2.0,4.0,953.7
3.0,6.0,45.7,3.0,6.0,518.9,2.0,6.0,444.2,2.0,6.0,90.2,2.0,6.0,1597.0,2.0,5.0,2105.0
4.0,2.0,20.0,4.0,1.0,95.3,4.0,1.0,34.4,3.0,1.0,20.6,3.0,1.0,1033.0,3.0,1.0,382.2
4.0,3.0,8.0,4.0,3.0,123.5,4.0,2.0,113.0,3.0,2.0,67.1,3.0,2.0,1967.0,3.0,2.0,567.6
4.0,5.0,34.6,4.0,5.0,177.6,4.0,5.0,127.0,3.0,5.0,54.7,3.0,4.0,777.1,3.0,4.0,291.4
4.0,6.0,20.4,4.0,6.0,136.0,4.0,6.0,72.8,3.0,6.0,35.8,3.0,6.0,1083.0,3.0,5.0,1368.0
5.0,2.0,274.5,5.0,1.0,726.0,5.0,1.0,508.8,5.0,1.0,40.5,4.0,1.0,367.9,4.0,1.0,248.2
5.0,3.0,191.3,5.0,3.0,873.0,5.0,2.0,841.5,5.0,2.0,125.9,4.0,2.0,755.7,4.0,2.0,390.9
5.0,4.0,141.5,5.0,4.0,558.0,5.0,4.0,399.6,5.0,3.0,46.3,4.0,3.0,471.8,4.0,3.0,245.8
5.0,6.0,277.1,5.0,6.0,833.7,5.0,6.0,643.6,5.0,6.0,35.2,4.0,6.0,364.2,4.0,5.0,485.7
6.0,2.0,191.6,6.0,1.0,661.2,6.0,1.0,267.4,6.0,1.0,32.9,6.0,1.0,1002.0,5.0,1.0,1719.0
6.0,3.0,125.9,6.0,3.0,770.5,6.0,2.0,586.1,6.0,2.0,93.3,6.0,2.0,1758.0,5.0,2.0,2163.0
6.0,4.0,90.5,6.0,4.0,453.2,6.0,4.0,226.2,6.0,3.0,39.9,6.0,3.0,1165.0,5.0,3.0,1808.0
6.0,5.0,295.9,6.0,5.0,832.6,6.0,5.0,616.5,6.0,5.0,48.6,6.0,4.0,605.8,5.0,4.0,690.2
