1,市川 哲也,市川 哲也.1,2,今村 暢孝,今村 暢孝.1,3,宮地 博士,宮地 博士.1,4,高橋 正男,高橋 正男.1,5,小川 広大,小川 広大.1,6,香川 陽太,香川 陽太.1
2.0,3.0,16.8,1.0,3.0,71.0,1.0,2.0,254.4,1.0,2.0,44.1,1.0,2.0,614.9,1.0,2.0,45.0
2.0,4.0,5.4,1.0,4.0,36.3,1.0,4.0,284.4,1.0,3.0,105.9,1.0,3.0,905.9,1.0,3.0,99.5
2.0,5.0,47.6,1.0,5.0,164.3,1.0,5.0,573.4,1.0,5.0,113.8,1.0,4.0,590.2,1.0,4.0,39.8
2.0,6.0,13.2,1.0,6.0,59.4,1.0,6.0,401.7,1.0,6.0,36.6,1.0,6.0,640.4,1.0,5.0,172.4
3.0,2.0,28.8,3.0,1.0,245.2,2.0,1.0,346.2,2.0,1.0,78.4,2.0,1.0,867.1,2.0,1.0,68.4
3.0,4.0,30.5,3.0,4.0,488.5,2.0,4.0,554.7,2.0,3.0,332.4,2.0,3.0,1748.0,2.0,3.0,204.8
3.0,5.0,79.5,3.0,5.0,1074.0,2.0,5.0,1268.0,2.0,5.0,269.5,2.0,4.0,1189.0,2.0,4.0,94.1
3.0,6.0,41.1,3.0,6.0,709.2,2.0,6.0,908.5,2.0,6.0,109.4,2.0,6.0,1234.0,2.0,5.0,295.3
4.0,2.0,8.3,4.0,1.0,98.3,4.0,1.0,477.0,3.0,1.0,404.2,3.0,1.0,1585.0,3.0,1.0,286.7
4.0,3.0,22.2,4.0,3.0,332.4,4.0,2.0,571.4,3.0,2.0,511.7,3.0,2.0,1960.0,3.0,2.0,423.3
4.0,5.0,41.7,4.0,5.0,510.1,4.0,5.0,1229.0,3.0,5.0,860.2,3.0,4.0,1936.0,3.0,4.0,438.8
4.0,6.0,11.3,4.0,6.0,181.0,4.0,6.0,736.7,3.0,6.0,478.4,3.0,6.0,2008.0,3.0,5.0,781.2
5.0,2.0,140.5,5.0,1.0,625.6,5.0,1.0,1081.0,5.0,1.0,170.3,4.0,1.0,707.7,4.0,1.0,72.0
5.0,3.0,220.0,5.0,3.0,1388.0,5.0,2.0,1400.0,5.0,2.0,225.8,4.0,2.0,1013.0,4.0,2.0,106.2
5.0,4.0,138.5,5.0,4.0,1033.0,5.0,4.0,1470.0,5.0,3.0,656.0,4.0,3.0,1738.0,4.0,3.0,259.3
5.0,6.0,138.1,5.0,6.0,1056.0,5.0,6.0,1540.0,5.0,6.0,151.3,4.0,6.0,682.3,4.0,5.0,250.1
6.0,2.0,24.2,6.0,1.0,163.4,6.0,1.0,762.8,6.0,1.0,59.7,6.0,1.0,921.4,5.0,1.0,449.2
6.0,3.0,48.8,6.0,3.0,559.5,6.0,2.0,1063.0,6.0,2.0,96.6,6.0,2.0,1364.0,5.0,2.0,551.9
6.0,4.0,20.5,6.0,4.0,252.0,6.0,4.0,968.3,6.0,3.0,281.4,6.0,3.0,1891.0,5.0,3.0,829.3
6.0,5.0,104.3,6.0,5.0,710.8,6.0,5.0,1511.0,6.0,5.0,147.5,6.0,4.0,786.9,5.0,4.0,458.1
