1,岡崎 恭裕,岡崎 恭裕.1,2,仲谷 颯仁,仲谷 颯仁.1,3,三原 司,三原 司.1,4,出畑 孝典,出畑 孝典.1,5,大庭 元明,大庭 元明.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,6.2,1.0,3.0,34.8,1.0,2.0,178.5,1.0,2.0,52.6,1.0,2.0,238.8,1.0,2.0,969.3
2.0,4.0,4.3,1.0,4.0,19.5,1.0,4.0,208.3,1.0,3.0,157.3,1.0,3.0,482.3,1.0,3.0,1660.0
2.0,5.0,10.5,1.0,5.0,40.8,1.0,5.0,255.1,1.0,5.0,92.5,1.0,4.0,314.6,1.0,4.0,910.9
2.0,6.0,30.6,1.0,6.0,98.4,1.0,6.0,486.0,1.0,6.0,142.7,1.0,6.0,558.2,1.0,5.0,2297.0
3.0,2.0,13.8,3.0,1.0,159.6,2.0,1.0,297.0,2.0,1.0,82.8,2.0,1.0,363.2,2.0,1.0,1309.0
3.0,4.0,21.5,3.0,4.0,210.2,2.0,4.0,385.5,2.0,3.0,241.6,2.0,3.0,1169.0,2.0,3.0,2828.0
3.0,5.0,43.1,3.0,5.0,376.5,2.0,5.0,657.3,2.0,5.0,162.5,2.0,4.0,534.4,2.0,4.0,1228.0
3.0,6.0,82.8,3.0,6.0,618.6,2.0,6.0,912.6,2.0,6.0,222.2,2.0,6.0,934.1,2.0,5.0,3063.0
4.0,2.0,9.1,4.0,1.0,54.9,4.0,1.0,371.9,3.0,1.0,374.6,3.0,1.0,1109.0,3.0,1.0,2153.0
4.0,3.0,23.1,4.0,3.0,175.8,4.0,2.0,426.0,3.0,2.0,433.6,3.0,2.0,1588.0,3.0,2.0,3196.0
4.0,5.0,26.5,4.0,5.0,142.5,4.0,5.0,605.5,3.0,5.0,630.7,3.0,4.0,1762.0,3.0,4.0,2371.0
4.0,6.0,55.7,4.0,6.0,217.0,4.0,6.0,719.8,3.0,6.0,715.8,3.0,6.0,2626.0,3.0,5.0,4085.0
5.0,2.0,34.3,5.0,1.0,221.9,5.0,1.0,693.6,5.0,1.0,130.9,4.0,1.0,399.6,4.0,1.0,915.8
5.0,3.0,80.7,5.0,3.0,643.3,5.0,2.0,1046.0,5.0,2.0,157.9,4.0,2.0,437.6,4.0,2.0,1161.0
5.0,4.0,66.1,5.0,4.0,344.5,5.0,4.0,1128.0,5.0,3.0,365.5,4.0,3.0,1095.0,4.0,3.0,1347.0
5.0,6.0,126.6,5.0,6.0,736.3,5.0,6.0,1608.0,5.0,6.0,217.4,4.0,6.0,694.6,4.0,5.0,1738.0
6.0,2.0,157.8,6.0,1.0,551.6,6.0,1.0,1183.0,6.0,1.0,179.8,6.0,1.0,1398.0,5.0,1.0,2394.0
6.0,3.0,344.7,6.0,3.0,1462.0,6.0,2.0,1634.0,6.0,2.0,267.6,6.0,2.0,1750.0,5.0,2.0,3454.0
6.0,4.0,237.0,6.0,4.0,689.0,6.0,4.0,1429.0,6.0,3.0,401.1,6.0,3.0,2523.0,5.0,3.0,4595.0
6.0,5.0,360.6,6.0,5.0,1309.0,6.0,5.0,2199.0,6.0,5.0,314.8,6.0,4.0,1437.0,5.0,4.0,2653.0
