1,水摩 敦,水摩 敦.1,2,堤 啓輔,堤 啓輔.1,3,中山 将,中山 将.1,4,栗原 謙治,栗原 謙治.1,5,赤峰 和也,赤峰 和也.1,6,抹香 雄三,抹香 雄三.1
2.0,3.0,6.2,1.0,3.0,68.3,1.0,2.0,24.3,1.0,2.0,862.0,1.0,2.0,877.7,1.0,2.0,238.8
2.0,4.0,28.5,1.0,4.0,268.5,1.0,4.0,34.6,1.0,3.0,550.7,1.0,3.0,478.7,1.0,3.0,164.6
2.0,5.0,38.7,1.0,5.0,293.3,1.0,5.0,33.0,1.0,5.0,818.1,1.0,4.0,1225.0,1.0,4.0,660.9
2.0,6.0,20.0,1.0,6.0,168.7,1.0,6.0,19.9,1.0,6.0,806.3,1.0,6.0,666.1,1.0,5.0,590.3
3.0,2.0,4.4,3.0,1.0,136.1,2.0,1.0,84.2,2.0,1.0,1359.0,2.0,1.0,1186.0,2.0,1.0,454.2
3.0,4.0,10.7,3.0,4.0,664.8,2.0,4.0,311.5,2.0,3.0,1628.0,2.0,3.0,2442.0,2.0,3.0,631.2
3.0,5.0,13.3,3.0,5.0,693.5,2.0,5.0,319.7,2.0,5.0,1685.0,2.0,4.0,1575.0,2.0,4.0,1257.0
3.0,6.0,6.6,3.0,6.0,428.8,2.0,6.0,189.6,2.0,6.0,1127.0,2.0,6.0,1440.0,2.0,5.0,1518.0
4.0,2.0,73.2,4.0,1.0,1037.0,4.0,1.0,157.0,3.0,1.0,649.4,3.0,1.0,674.1,3.0,1.0,238.3
4.0,3.0,50.7,4.0,3.0,1150.0,4.0,2.0,347.8,3.0,2.0,1375.0,3.0,2.0,2357.0,3.0,2.0,539.3
4.0,5.0,126.8,4.0,5.0,1872.0,4.0,5.0,265.4,3.0,5.0,1056.0,3.0,4.0,2188.0,3.0,4.0,1018.0
4.0,6.0,79.0,4.0,6.0,1337.0,4.0,6.0,220.8,3.0,6.0,994.2,3.0,6.0,1059.0,3.0,5.0,1015.0
5.0,2.0,106.9,5.0,1.0,1024.0,5.0,1.0,202.1,5.0,1.0,1243.0,4.0,1.0,1872.0,4.0,1.0,938.8
5.0,3.0,65.1,5.0,3.0,1253.0,5.0,2.0,454.8,5.0,2.0,2006.0,4.0,2.0,3663.0,4.0,2.0,1764.0
5.0,4.0,182.0,5.0,4.0,1693.0,5.0,4.0,422.9,5.0,3.0,1471.0,4.0,3.0,1337.0,4.0,3.0,1620.0
5.0,6.0,96.9,5.0,6.0,1398.0,5.0,6.0,308.9,5.0,6.0,1083.0,4.0,6.0,1243.0,4.0,5.0,1821.0
6.0,2.0,41.9,6.0,1.0,494.9,6.0,1.0,94.0,6.0,1.0,1243.0,6.0,1.0,1504.0,5.0,1.0,873.2
6.0,3.0,27.5,6.0,3.0,718.6,6.0,2.0,208.5,6.0,2.0,1802.0,6.0,2.0,3179.0,5.0,2.0,2654.0
6.0,4.0,111.5,6.0,4.0,1478.0,6.0,4.0,313.2,6.0,3.0,1605.0,6.0,3.0,1728.0,5.0,3.0,1575.0
6.0,5.0,111.7,6.0,5.0,1230.0,6.0,5.0,305.3,6.0,5.0,1532.0,6.0,4.0,2174.0,5.0,4.0,1783.0
