1,大上 卓人,大上 卓人.1,2,谷 勝幸,谷 勝幸.1,3,西原 明生,西原 明生.1,4,高山 敬悟,高山 敬悟.1,5,西丸　侑太朗,西丸　侑太朗.1,6,天野 誠,天野 誠.1
2.0,3.0,6.0,1.0,3.0,111.6,1.0,2.0,166.5,1.0,2.0,121.3,1.0,2.0,281.5,1.0,2.0,897.4
2.0,4.0,6.7,1.0,4.0,125.5,1.0,4.0,151.6,1.0,3.0,176.2,1.0,3.0,366.8,1.0,3.0,1000.0
2.0,5.0,12.4,1.0,5.0,186.8,1.0,5.0,259.8,1.0,5.0,140.5,1.0,4.0,304.9,1.0,4.0,1080.0
2.0,6.0,23.0,1.0,6.0,324.7,1.0,6.0,334.7,1.0,6.0,208.9,1.0,6.0,491.4,1.0,5.0,1598.0
3.0,2.0,8.7,3.0,1.0,305.5,2.0,1.0,333.2,2.0,1.0,270.8,2.0,1.0,744.1,2.0,1.0,1553.0
3.0,4.0,8.5,3.0,4.0,632.8,2.0,4.0,689.8,2.0,3.0,790.4,2.0,3.0,1851.0,2.0,3.0,3391.0
3.0,5.0,19.8,3.0,5.0,1060.0,2.0,5.0,957.4,2.0,5.0,687.7,2.0,4.0,1419.0,2.0,4.0,3042.0
3.0,6.0,26.5,3.0,6.0,1330.0,2.0,6.0,1262.0,2.0,6.0,892.0,2.0,6.0,1762.0,2.0,5.0,4726.0
4.0,2.0,9.8,4.0,1.0,320.5,4.0,1.0,344.9,3.0,1.0,420.6,3.0,1.0,912.2,3.0,1.0,1433.0
4.0,3.0,12.8,4.0,3.0,736.7,4.0,2.0,700.7,3.0,2.0,904.8,3.0,2.0,1828.0,3.0,2.0,3797.0
4.0,5.0,19.4,4.0,5.0,947.2,4.0,5.0,686.6,3.0,5.0,855.9,3.0,4.0,1621.0,3.0,4.0,4038.0
4.0,6.0,30.8,4.0,6.0,1099.0,4.0,6.0,951.3,3.0,6.0,1144.0,3.0,6.0,2538.0,3.0,5.0,5226.0
5.0,2.0,26.1,5.0,1.0,730.6,5.0,1.0,776.6,5.0,1.0,213.9,4.0,1.0,466.6,4.0,1.0,1708.0
5.0,3.0,41.4,5.0,3.0,1784.0,5.0,2.0,1346.0,5.0,2.0,449.1,4.0,2.0,1009.0,4.0,2.0,3042.0
5.0,4.0,44.0,5.0,4.0,1603.0,5.0,4.0,1191.0,5.0,3.0,623.9,4.0,3.0,1223.0,4.0,3.0,3641.0
5.0,6.0,74.7,5.0,6.0,2628.0,5.0,6.0,2105.0,5.0,6.0,411.3,4.0,6.0,931.3,4.0,5.0,3173.0
6.0,2.0,64.3,6.0,1.0,1065.0,6.0,1.0,1005.0,6.0,1.0,478.2,6.0,1.0,1295.0,5.0,1.0,3315.0
6.0,3.0,81.9,6.0,3.0,1762.0,6.0,2.0,2401.0,6.0,2.0,951.3,6.0,2.0,2481.0,5.0,2.0,4991.0
6.0,4.0,97.1,6.0,4.0,2075.0,6.0,4.0,2325.0,6.0,3.0,1322.0,6.0,3.0,2742.0,5.0,3.0,5417.0
6.0,5.0,130.0,6.0,5.0,3042.0,6.0,5.0,2922.0,6.0,5.0,730.6,6.0,4.0,1682.0,5.0,4.0,3525.0
