1,池田　奈津美,池田　奈津美.1,2,松尾 怜実,松尾 怜実.1,3,犬童 千秋,犬童 千秋.1,4,中尾 優香,中尾 優香.1,5,神里 琴音,神里 琴音.1,6,内山 七海,内山 七海.1
2.0,3.0,12.9,1.0,3.0,26.5,1.0,2.0,13.9,1.0,2.0,247.2,1.0,2.0,193.1,1.0,2.0,809.3
2.0,4.0,42.0,1.0,4.0,82.3,1.0,4.0,26.3,1.0,3.0,168.6,1.0,3.0,137.8,1.0,3.0,526.5
2.0,5.0,50.3,1.0,5.0,83.4,1.0,5.0,23.7,1.0,5.0,249.0,1.0,4.0,325.4,1.0,4.0,1267.0
2.0,6.0,80.3,1.0,6.0,111.4,1.0,6.0,34.7,1.0,6.0,284.8,1.0,6.0,234.6,1.0,5.0,1088.0
3.0,2.0,8.7,3.0,1.0,26.3,2.0,1.0,21.9,2.0,1.0,397.5,2.0,1.0,271.3,2.0,1.0,1081.0
3.0,4.0,16.9,3.0,4.0,49.0,2.0,4.0,44.8,2.0,3.0,282.7,2.0,3.0,163.8,2.0,3.0,740.5
3.0,5.0,16.0,3.0,5.0,40.0,2.0,5.0,35.1,2.0,5.0,450.8,2.0,4.0,447.4,2.0,4.0,1488.0
3.0,6.0,29.3,3.0,6.0,64.7,2.0,6.0,50.2,2.0,6.0,446.5,2.0,6.0,298.7,2.0,5.0,1227.0
4.0,2.0,80.0,4.0,1.0,176.3,4.0,1.0,57.8,3.0,1.0,183.5,3.0,1.0,145.3,3.0,1.0,547.4
4.0,3.0,61.2,4.0,3.0,134.4,4.0,2.0,72.5,3.0,2.0,206.4,3.0,2.0,137.5,3.0,2.0,646.8
4.0,5.0,114.4,4.0,5.0,246.2,4.0,5.0,75.3,3.0,5.0,217.0,3.0,4.0,271.8,3.0,4.0,996.2
4.0,6.0,157.3,4.0,6.0,284.8,4.0,6.0,98.4,3.0,6.0,239.6,3.0,6.0,176.4,3.0,5.0,789.0
5.0,2.0,105.4,5.0,1.0,166.3,5.0,1.0,53.3,5.0,1.0,268.7,4.0,1.0,442.3,4.0,1.0,1709.0
5.0,3.0,61.5,5.0,3.0,103.2,5.0,2.0,59.4,5.0,2.0,333.7,4.0,2.0,475.9,4.0,2.0,1703.0
5.0,4.0,157.3,5.0,4.0,280.7,5.0,4.0,94.6,5.0,3.0,262.5,4.0,3.0,378.6,4.0,3.0,1274.0
5.0,6.0,170.3,5.0,6.0,221.1,5.0,6.0,81.7,5.0,6.0,286.9,4.0,6.0,414.3,4.0,5.0,1488.0
6.0,2.0,200.8,6.0,1.0,358.4,6.0,1.0,113.8,6.0,1.0,498.6,6.0,1.0,358.9,5.0,1.0,1163.0
6.0,3.0,126.9,6.0,3.0,245.6,6.0,2.0,136.4,6.0,2.0,609.1,6.0,2.0,355.7,5.0,2.0,1133.0
6.0,4.0,350.6,6.0,4.0,629.5,6.0,4.0,224.3,6.0,3.0,438.2,6.0,3.0,288.8,5.0,3.0,874.0
6.0,5.0,296.1,6.0,5.0,472.1,6.0,5.0,163.5,6.0,5.0,492.9,6.0,4.0,509.4,5.0,4.0,1347.0
