1,永田 秀二,永田 秀二.1,2,杉田 篤光,杉田 篤光.1,3,高田 明,高田 明.1,4,早川 尚人,早川 尚人.1,5,松尾 祭,松尾 祭.1,6,村上 功祐,村上 功祐.1
2.0,3.0,8.5,1.0,3.0,51.7,1.0,2.0,44.0,1.0,2.0,584.6,1.0,2.0,44.3,1.0,2.0,291.6
2.0,4.0,27.3,1.0,4.0,114.4,1.0,4.0,86.3,1.0,3.0,567.3,1.0,3.0,38.1,1.0,3.0,318.5
2.0,5.0,18.1,1.0,5.0,69.8,1.0,5.0,32.6,1.0,5.0,562.1,1.0,4.0,134.0,1.0,4.0,661.1
2.0,6.0,32.7,1.0,6.0,90.7,1.0,6.0,71.7,1.0,6.0,722.0,1.0,6.0,39.9,1.0,5.0,278.7
3.0,2.0,9.1,3.0,1.0,125.8,2.0,1.0,102.0,2.0,1.0,882.5,2.0,1.0,74.0,2.0,1.0,442.2
3.0,4.0,20.2,3.0,4.0,523.6,2.0,4.0,321.2,2.0,3.0,1613.0,2.0,3.0,84.4,2.0,3.0,649.9
3.0,5.0,9.3,3.0,5.0,232.3,2.0,5.0,140.8,2.0,5.0,1449.0,2.0,4.0,207.7,2.0,4.0,1040.0
3.0,6.0,22.5,3.0,6.0,317.0,2.0,6.0,213.0,2.0,6.0,1151.0,2.0,6.0,62.9,2.0,5.0,620.2
4.0,2.0,67.7,4.0,1.0,343.3,4.0,1.0,253.5,3.0,1.0,837.7,3.0,1.0,63.6,3.0,1.0,536.4
4.0,3.0,62.5,4.0,3.0,792.2,4.0,2.0,401.5,3.0,2.0,1536.0,3.0,2.0,107.8,3.0,2.0,749.4
4.0,5.0,92.2,4.0,5.0,849.4,4.0,5.0,292.4,3.0,5.0,1182.0,3.0,4.0,259.3,3.0,4.0,1304.0
4.0,6.0,105.7,4.0,6.0,542.1,4.0,6.0,370.4,3.0,6.0,1233.0,3.0,6.0,96.8,3.0,5.0,699.7
5.0,2.0,28.9,5.0,1.0,171.5,5.0,1.0,63.4,5.0,1.0,807.9,4.0,1.0,327.9,4.0,1.0,1495.0
5.0,3.0,18.9,5.0,3.0,248.5,5.0,2.0,123.6,5.0,2.0,1415.0,4.0,2.0,465.4,4.0,2.0,1218.0
5.0,4.0,69.7,5.0,4.0,612.1,5.0,4.0,241.6,5.0,3.0,1218.0,4.0,3.0,461.2,4.0,3.0,1998.0
5.0,6.0,43.2,5.0,6.0,353.1,5.0,6.0,132.2,5.0,6.0,994.4,4.0,6.0,314.7,4.0,5.0,1757.0
6.0,2.0,67.2,6.0,1.0,244.4,6.0,1.0,235.4,6.0,1.0,1347.0,6.0,1.0,49.6,5.0,1.0,250.6
6.0,3.0,66.9,6.0,3.0,435.6,6.0,2.0,323.9,6.0,2.0,1399.0,6.0,2.0,57.5,5.0,2.0,348.0
6.0,4.0,151.4,6.0,4.0,502.9,6.0,4.0,539.3,6.0,3.0,1876.0,6.0,3.0,69.1,5.0,3.0,373.3
6.0,5.0,77.0,6.0,5.0,496.8,6.0,5.0,286.9,6.0,5.0,1588.0,6.0,4.0,158.1,5.0,4.0,756.9
