1,久永 祥平,久永 祥平.1,2,西村 秀樹,西村 秀樹.1,3,石田 貴洋,石田 貴洋.1,4,加藤 優弥,加藤 優弥.1,5,村上 奈穂,村上 奈穂.1,6,麻生 慎介,麻生 慎介.1
2.0,3.0,34.8,1.0,3.0,234.5,1.0,2.0,95.6,1.0,2.0,374.0,1.0,2.0,371.3,1.0,2.0,64.8
2.0,4.0,62.2,1.0,4.0,449.6,1.0,4.0,49.7,1.0,3.0,185.9,1.0,3.0,195.0,1.0,3.0,27.0
2.0,5.0,69.6,1.0,5.0,560.1,1.0,5.0,105.4,1.0,5.0,416.3,1.0,4.0,359.2,1.0,4.0,63.3
2.0,6.0,31.8,1.0,6.0,227.6,1.0,6.0,22.2,1.0,6.0,120.0,1.0,6.0,162.0,1.0,5.0,98.2
3.0,2.0,24.1,3.0,1.0,324.1,2.0,1.0,222.1,2.0,1.0,622.3,2.0,1.0,706.7,2.0,1.0,174.9
3.0,4.0,14.7,3.0,4.0,459.8,2.0,4.0,291.5,2.0,3.0,727.9,2.0,3.0,1027.0,2.0,3.0,180.4
3.0,5.0,28.9,3.0,5.0,860.1,2.0,5.0,550.0,2.0,5.0,1146.0,2.0,4.0,1488.0,2.0,4.0,334.5
3.0,6.0,7.7,3.0,6.0,286.0,2.0,6.0,169.7,2.0,6.0,422.0,2.0,6.0,883.0,2.0,5.0,636.4
4.0,2.0,70.6,4.0,1.0,736.7,4.0,1.0,74.9,3.0,1.0,173.8,3.0,1.0,352.6,3.0,1.0,37.6
4.0,3.0,35.5,4.0,3.0,648.9,4.0,2.0,210.9,3.0,2.0,454.1,3.0,2.0,1018.0,3.0,2.0,122.2
4.0,5.0,92.0,4.0,5.0,1219.0,4.0,5.0,178.5,3.0,5.0,432.0,3.0,4.0,801.5,3.0,4.0,63.6
4.0,6.0,26.7,4.0,6.0,491.4,4.0,6.0,43.5,3.0,6.0,96.1,3.0,6.0,344.0,3.0,5.0,152.5
5.0,2.0,74.6,5.0,1.0,860.1,5.0,1.0,227.9,5.0,1.0,787.6,4.0,1.0,1018.0,4.0,1.0,117.7
5.0,3.0,43.0,5.0,3.0,1091.0,5.0,2.0,576.1,5.0,2.0,1203.0,4.0,2.0,1435.0,4.0,2.0,276.2
5.0,4.0,86.4,5.0,4.0,1744.0,5.0,4.0,440.9,5.0,3.0,810.4,4.0,3.0,993.7,4.0,3.0,108.6
5.0,6.0,36.2,5.0,6.0,993.7,5.0,6.0,201.1,5.0,6.0,483.6,4.0,6.0,612.9,4.0,5.0,392.1
6.0,2.0,27.7,6.0,1.0,276.4,6.0,1.0,27.5,6.0,1.0,119.3,6.0,1.0,260.1,5.0,1.0,223.4
6.0,3.0,10.3,6.0,3.0,302.6,6.0,2.0,98.2,6.0,2.0,265.4,6.0,2.0,710.8,5.0,2.0,667.9
6.0,4.0,20.6,6.0,4.0,444.7,6.0,4.0,38.3,6.0,3.0,108.4,6.0,3.0,307.2,5.0,3.0,277.1
6.0,5.0,32.7,6.0,5.0,772.6,6.0,5.0,97.9,6.0,5.0,321.5,6.0,4.0,496.8,5.0,4.0,524.7
