1,羽野 直也,羽野 直也.1,2,高橋 英之,高橋 英之.1,3,川北 浩貴,川北 浩貴.1,4,川上 剛,川上 剛.1,5,伊藤 将吉,伊藤 将吉.1,6,大野 芳顕,大野 芳顕.1
2.0,3.0,7.7,1.0,3.0,117.9,1.0,2.0,88.9,1.0,2.0,227.8,1.0,2.0,146.4,1.0,2.0,1424.0
2.0,4.0,10.8,1.0,4.0,141.7,1.0,4.0,59.7,1.0,3.0,203.1,1.0,3.0,126.9,1.0,3.0,2257.0
2.0,5.0,15.3,1.0,5.0,189.0,1.0,5.0,61.6,1.0,5.0,181.5,1.0,4.0,163.0,1.0,4.0,2047.0
2.0,6.0,45.9,1.0,6.0,357.0,1.0,6.0,162.8,1.0,6.0,396.2,1.0,6.0,207.4,1.0,5.0,2896.0
3.0,2.0,7.0,3.0,1.0,321.1,2.0,1.0,289.8,2.0,1.0,583.1,2.0,1.0,512.5,2.0,1.0,1865.0
3.0,4.0,6.1,3.0,4.0,787.6,2.0,4.0,691.1,2.0,3.0,1092.0,2.0,3.0,1342.0,2.0,3.0,4946.0
3.0,5.0,8.6,3.0,5.0,856.5,2.0,5.0,846.6,2.0,5.0,991.6,2.0,4.0,1706.0,2.0,4.0,5060.0
3.0,6.0,28.5,3.0,6.0,1448.0,2.0,6.0,1149.0,2.0,6.0,1733.0,2.0,6.0,1544.0,2.0,5.0,8005.0
4.0,2.0,16.6,4.0,1.0,623.6,4.0,1.0,235.9,3.0,1.0,437.2,3.0,1.0,323.7,3.0,1.0,2974.0
4.0,3.0,13.1,4.0,3.0,1048.0,4.0,2.0,594.1,3.0,2.0,1060.0,3.0,2.0,1206.0,3.0,2.0,7217.0
4.0,5.0,17.7,4.0,5.0,1438.0,4.0,5.0,386.2,3.0,5.0,801.9,3.0,4.0,930.8,3.0,4.0,5949.0
4.0,6.0,48.2,4.0,6.0,2257.0,4.0,6.0,719.4,3.0,6.0,1216.0,3.0,6.0,1180.0,3.0,5.0,7724.0
5.0,2.0,27.1,5.0,1.0,707.8,5.0,1.0,288.1,5.0,1.0,322.7,4.0,1.0,464.9,4.0,1.0,2392.0
5.0,3.0,21.6,5.0,3.0,1306.0,5.0,2.0,870.1,5.0,2.0,917.2,4.0,2.0,1287.0,4.0,2.0,5717.0
5.0,4.0,30.7,5.0,4.0,2190.0,5.0,4.0,630.7,5.0,3.0,786.2,4.0,3.0,1066.0,4.0,3.0,6474.0
5.0,6.0,59.5,5.0,6.0,2432.0,5.0,6.0,957.1,5.0,6.0,889.4,4.0,6.0,1076.0,4.0,5.0,4946.0
6.0,2.0,156.9,6.0,1.0,1453.0,6.0,1.0,1043.0,6.0,1.0,1261.0,6.0,1.0,819.8,5.0,1.0,3285.0
6.0,3.0,140.0,6.0,3.0,3335.0,6.0,2.0,2305.0,6.0,2.0,2234.0,6.0,2.0,2305.0,5.0,2.0,7101.0
6.0,4.0,182.5,6.0,4.0,2001.0,6.0,4.0,2620.0,6.0,3.0,2201.0,6.0,3.0,1655.0,5.0,3.0,6879.0
6.0,5.0,170.7,6.0,5.0,3795.0,6.0,5.0,1914.0,6.0,5.0,1992.0,6.0,4.0,2530.0,5.0,4.0,6115.0
