1,今井 貴士,今井 貴士.1,2,富永 修一,富永 修一.1,3,岡村 将也,岡村 将也.1,4,戸敷 晃美,戸敷 晃美.1,5,小林 遼太,小林 遼太.1,6,上野 秀和,上野 秀和.1
2.0,3.0,4.7,1.0,3.0,52.5,1.0,2.0,77.2,1.0,2.0,76.0,1.0,2.0,267.3,1.0,2.0,1240.0
2.0,4.0,8.2,1.0,4.0,93.2,1.0,4.0,111.3,1.0,3.0,124.9,1.0,3.0,315.0,1.0,3.0,1771.0
2.0,5.0,16.1,1.0,5.0,155.4,1.0,5.0,141.7,1.0,5.0,76.4,1.0,4.0,301.4,1.0,4.0,963.3
2.0,6.0,38.8,1.0,6.0,287.9,1.0,6.0,252.7,1.0,6.0,109.3,1.0,6.0,403.9,1.0,5.0,1595.0
3.0,2.0,6.0,3.0,1.0,134.7,2.0,1.0,155.0,2.0,1.0,237.2,2.0,1.0,551.5,2.0,1.0,1917.0
3.0,4.0,9.0,3.0,4.0,369.3,2.0,4.0,438.7,2.0,3.0,459.4,2.0,3.0,1111.0,2.0,3.0,3143.0
3.0,5.0,14.6,3.0,5.0,657.3,2.0,5.0,621.2,2.0,5.0,402.0,2.0,4.0,1019.0,2.0,4.0,2473.0
3.0,6.0,36.8,3.0,6.0,1027.0,2.0,6.0,897.1,2.0,6.0,509.2,2.0,6.0,1097.0,2.0,5.0,2923.0
4.0,2.0,14.0,4.0,1.0,325.8,4.0,1.0,323.8,3.0,1.0,344.1,3.0,1.0,693.3,3.0,1.0,2503.0
4.0,3.0,18.1,4.0,3.0,629.6,4.0,2.0,518.7,3.0,2.0,641.2,3.0,2.0,1493.0,3.0,2.0,2824.0
4.0,5.0,27.1,4.0,5.0,889.5,4.0,5.0,725.8,3.0,5.0,637.3,3.0,4.0,1639.0,3.0,4.0,2459.0
4.0,6.0,43.8,4.0,6.0,1306.0,4.0,6.0,983.7,3.0,6.0,745.2,3.0,6.0,2284.0,3.0,5.0,4447.0
5.0,2.0,37.1,5.0,1.0,589.6,5.0,1.0,541.5,5.0,1.0,142.0,4.0,1.0,310.3,4.0,1.0,1133.0
5.0,3.0,41.1,5.0,3.0,1091.0,5.0,2.0,963.3,5.0,2.0,267.8,4.0,2.0,524.5,4.0,2.0,2805.0
5.0,4.0,51.6,5.0,4.0,1164.0,5.0,4.0,1139.0,5.0,3.0,435.5,4.0,3.0,878.3,4.0,3.0,2750.0
5.0,6.0,94.3,5.0,6.0,1672.0,5.0,6.0,1577.0,5.0,6.0,205.4,4.0,6.0,398.5,4.0,5.0,2348.0
6.0,2.0,149.6,6.0,1.0,1174.0,6.0,1.0,1103.0,6.0,1.0,264.9,6.0,1.0,895.2,5.0,1.0,2348.0
6.0,3.0,153.4,6.0,3.0,2019.0,6.0,2.0,1825.0,6.0,2.0,568.0,6.0,2.0,1177.0,5.0,2.0,4180.0
6.0,4.0,165.2,6.0,4.0,1883.0,6.0,4.0,1874.0,6.0,3.0,713.4,6.0,3.0,2019.0,5.0,3.0,4447.0
6.0,5.0,228.0,6.0,5.0,2348.0,6.0,5.0,2090.0,6.0,5.0,432.8,6.0,4.0,1050.0,5.0,4.0,2518.0
