1,嶋 義信,嶋 義信.1,2,日高 逸子,日高 逸子.1,3,村田 敦,村田 敦.1,4,宮武 英司,宮武 英司.1,5,村上 純,村上 純.1,6,齊藤 優,齊藤 優.1
2.0,3.0,20.9,1.0,3.0,38.7,1.0,2.0,131.8,1.0,2.0,52.2,1.0,2.0,36.9,1.0,2.0,238.3
2.0,4.0,8.3,1.0,4.0,17.0,1.0,4.0,136.2,1.0,3.0,156.8,1.0,3.0,109.0,1.0,3.0,670.3
2.0,5.0,21.4,1.0,5.0,44.9,1.0,5.0,236.4,1.0,5.0,142.8,1.0,4.0,68.5,1.0,4.0,355.5
2.0,6.0,14.6,1.0,6.0,33.7,1.0,6.0,191.3,1.0,6.0,81.6,1.0,6.0,110.8,1.0,5.0,607.4
3.0,2.0,40.5,3.0,1.0,91.3,2.0,1.0,149.6,2.0,1.0,54.8,2.0,1.0,47.0,2.0,1.0,271.1
3.0,4.0,52.0,3.0,4.0,88.3,2.0,4.0,142.7,2.0,3.0,154.3,2.0,3.0,133.8,2.0,3.0,662.0
3.0,5.0,104.8,3.0,5.0,182.8,2.0,5.0,288.7,2.0,5.0,166.7,2.0,4.0,75.1,2.0,4.0,306.4
3.0,6.0,86.9,3.0,6.0,134.2,2.0,6.0,193.1,2.0,6.0,80.8,2.0,6.0,125.5,2.0,5.0,710.4
4.0,2.0,16.0,4.0,1.0,29.9,4.0,1.0,147.4,3.0,1.0,225.7,3.0,1.0,230.3,3.0,1.0,1138.0
4.0,3.0,49.2,4.0,3.0,75.3,4.0,2.0,142.7,3.0,2.0,218.2,3.0,2.0,243.4,3.0,2.0,951.0
4.0,5.0,61.0,4.0,5.0,93.2,4.0,5.0,251.0,3.0,5.0,347.3,3.0,4.0,290.8,3.0,4.0,791.4
4.0,6.0,36.6,4.0,6.0,50.8,4.0,6.0,146.9,3.0,6.0,189.2,3.0,6.0,358.9,3.0,5.0,1652.0
5.0,2.0,29.3,5.0,1.0,87.0,5.0,1.0,382.0,5.0,1.0,249.2,4.0,1.0,147.0,4.0,1.0,351.3
5.0,3.0,101.0,5.0,3.0,208.4,5.0,2.0,346.8,5.0,2.0,268.0,4.0,2.0,150.6,4.0,2.0,290.8
5.0,4.0,56.2,5.0,4.0,129.0,5.0,4.0,386.3,5.0,3.0,481.1,4.0,3.0,332.4,4.0,3.0,564.4
5.0,6.0,74.1,5.0,6.0,177.2,5.0,6.0,454.1,5.0,6.0,287.5,4.0,6.0,249.0,4.0,5.0,707.3
6.0,2.0,46.6,6.0,1.0,98.7,6.0,1.0,317.4,6.0,1.0,118.9,6.0,1.0,343.9,5.0,1.0,893.3
6.0,3.0,146.4,6.0,3.0,232.0,6.0,2.0,307.3,6.0,2.0,112.7,6.0,2.0,331.0,5.0,2.0,960.4
6.0,4.0,69.0,6.0,4.0,106.8,6.0,4.0,253.3,6.0,3.0,205.9,6.0,3.0,583.4,5.0,3.0,1593.0
6.0,5.0,151.6,6.0,5.0,287.9,6.0,5.0,510.4,6.0,5.0,239.8,6.0,4.0,452.9,5.0,4.0,1077.0
