1,三原 司,三原 司.1,2,畔柳 俊吾,畔柳 俊吾.1,3,岩川 仁士,岩川 仁士.1,4,土屋 蘭,土屋 蘭.1,5,矢野　真梨菜,矢野　真梨菜.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,4.1,1.0,3.0,10.4,1.0,2.0,20.8,1.0,2.0,188.6,1.0,2.0,145.8,1.0,2.0,1480.0
2.0,4.0,22.4,1.0,4.0,45.6,1.0,4.0,52.2,1.0,3.0,216.6,1.0,3.0,153.5,1.0,3.0,1772.0
2.0,5.0,17.5,1.0,5.0,32.5,1.0,5.0,35.6,1.0,5.0,259.3,1.0,4.0,333.2,1.0,4.0,1480.0
2.0,6.0,124.6,1.0,6.0,226.6,1.0,6.0,201.6,1.0,6.0,570.5,1.0,6.0,513.0,1.0,5.0,1314.0
3.0,2.0,5.9,3.0,1.0,19.7,2.0,1.0,28.1,2.0,1.0,244.7,2.0,1.0,213.8,2.0,1.0,2542.0
3.0,4.0,23.7,3.0,4.0,75.0,2.0,4.0,89.6,2.0,3.0,296.1,2.0,3.0,214.2,2.0,3.0,2387.0
3.0,5.0,15.8,3.0,5.0,60.9,2.0,5.0,69.9,2.0,5.0,414.7,2.0,4.0,433.2,2.0,4.0,3161.0
3.0,6.0,137.6,3.0,6.0,326.7,2.0,6.0,384.7,2.0,6.0,935.7,2.0,6.0,740.3,2.0,5.0,1799.0
4.0,2.0,62.1,4.0,1.0,139.0,4.0,1.0,124.9,3.0,1.0,324.0,3.0,1.0,237.7,3.0,1.0,1772.0
4.0,3.0,68.9,4.0,3.0,182.7,4.0,2.0,154.3,3.0,2.0,322.2,3.0,2.0,300.6,3.0,2.0,3773.0
4.0,5.0,116.3,4.0,5.0,235.8,4.0,5.0,181.6,3.0,5.0,479.3,3.0,4.0,599.8,3.0,4.0,2126.0
4.0,6.0,267.0,4.0,6.0,477.4,4.0,6.0,554.3,3.0,6.0,1329.0,3.0,6.0,958.7,3.0,5.0,2436.0
5.0,2.0,51.5,5.0,1.0,120.5,5.0,1.0,104.5,5.0,1.0,351.2,4.0,1.0,449.8,4.0,1.0,1772.0
5.0,3.0,51.9,5.0,3.0,139.7,5.0,2.0,124.4,5.0,2.0,416.2,4.0,2.0,508.5,4.0,2.0,3161.0
5.0,4.0,144.5,5.0,4.0,331.3,5.0,4.0,225.8,5.0,3.0,444.7,4.0,3.0,515.2,4.0,3.0,2339.0
5.0,6.0,361.0,5.0,6.0,774.6,5.0,6.0,625.4,5.0,6.0,660.8,4.0,6.0,913.8,4.0,5.0,1519.0
6.0,2.0,406.1,6.0,1.0,991.2,6.0,1.0,906.7,6.0,1.0,966.6,6.0,1.0,653.4,5.0,1.0,1772.0
6.0,3.0,653.4,6.0,3.0,812.2,6.0,2.0,1008.0,6.0,2.0,1083.0,6.0,2.0,779.7,5.0,2.0,2249.0
6.0,4.0,436.4,6.0,4.0,906.7,6.0,4.0,974.7,6.0,3.0,1205.0,6.0,3.0,759.5,5.0,3.0,2249.0
6.0,5.0,632.2,6.0,5.0,740.3,6.0,5.0,795.6,6.0,5.0,928.3,6.0,4.0,740.3,5.0,4.0,1580.0
