1,大神 康司,大神 康司.1,2,山田 丈,山田 丈.1,3,高田 明,高田 明.1,4,北川 敏弘,北川 敏弘.1,5,守屋 大地,守屋 大地.1,6,西野 翔太,西野 翔太.1
2.0,3.0,9.7,1.0,3.0,21.3,1.0,2.0,30.1,1.0,2.0,359.5,1.0,2.0,399.7,1.0,2.0,62.7
2.0,4.0,31.6,1.0,4.0,55.4,1.0,4.0,55.7,1.0,3.0,417.0,1.0,3.0,403.9,1.0,3.0,71.7
2.0,5.0,42.3,1.0,5.0,69.7,1.0,5.0,50.4,1.0,5.0,542.0,1.0,4.0,782.7,1.0,4.0,205.9
2.0,6.0,10.9,1.0,6.0,25.8,1.0,6.0,39.1,1.0,6.0,462.8,1.0,6.0,477.4,1.0,5.0,210.8
3.0,2.0,14.5,3.0,1.0,42.4,2.0,1.0,40.7,2.0,1.0,481.6,2.0,1.0,492.2,2.0,1.0,99.9
3.0,4.0,41.2,3.0,4.0,106.4,2.0,4.0,71.7,2.0,3.0,554.8,2.0,3.0,405.9,2.0,3.0,121.5
3.0,5.0,47.1,3.0,5.0,95.2,2.0,5.0,63.6,2.0,5.0,764.5,2.0,4.0,903.3,2.0,4.0,380.1
3.0,6.0,17.0,3.0,6.0,54.0,2.0,6.0,52.9,2.0,6.0,646.5,2.0,6.0,578.2,2.0,5.0,359.8
4.0,2.0,87.9,4.0,1.0,240.8,4.0,1.0,76.2,3.0,1.0,339.3,3.0,1.0,380.8,3.0,1.0,113.5
4.0,3.0,90.0,4.0,3.0,308.2,4.0,2.0,82.3,3.0,2.0,306.2,3.0,2.0,344.7,3.0,2.0,132.0
4.0,5.0,188.7,4.0,5.0,457.4,4.0,5.0,80.6,3.0,5.0,367.0,3.0,4.0,599.8,3.0,4.0,328.1
4.0,6.0,114.2,4.0,6.0,320.7,4.0,6.0,118.5,3.0,6.0,412.8,3.0,6.0,465.7,3.0,5.0,322.7
5.0,2.0,125.6,5.0,1.0,274.0,5.0,1.0,71.9,5.0,1.0,791.8,4.0,1.0,1079.0,4.0,1.0,622.0
5.0,3.0,113.7,5.0,3.0,241.8,5.0,2.0,74.2,5.0,2.0,926.8,4.0,2.0,1124.0,4.0,2.0,803.4
5.0,4.0,256.8,5.0,4.0,514.8,5.0,4.0,93.3,5.0,3.0,681.4,4.0,3.0,850.9,4.0,3.0,651.1
5.0,6.0,140.9,5.0,6.0,317.4,5.0,6.0,105.7,5.0,6.0,955.9,4.0,6.0,1145.0,4.0,5.0,1031.0
6.0,2.0,17.3,6.0,1.0,64.7,6.0,1.0,75.1,6.0,1.0,689.4,6.0,1.0,712.8,5.0,1.0,618.3
6.0,3.0,19.2,6.0,3.0,75.2,6.0,2.0,80.2,6.0,2.0,833.6,6.0,2.0,737.1,5.0,2.0,748.5
6.0,4.0,76.4,6.0,4.0,252.1,6.0,4.0,178.7,6.0,3.0,866.1,6.0,3.0,655.3,5.0,3.0,607.3
6.0,5.0,78.5,6.0,5.0,223.5,6.0,5.0,148.7,6.0,5.0,1005.0,6.0,4.0,1179.0,5.0,4.0,1129.0
