1,藤井 公人,藤井 公人.1,2,小川 広大,小川 広大.1,3,小川 知行,小川 知行.1,4,志道 吉和,志道 吉和.1,5,内山 文典,内山 文典.1,6,伏島 祐介,伏島 祐介.1
2.0,3.0,10.9,1.0,3.0,82.4,1.0,2.0,65.2,1.0,2.0,136.9,1.0,2.0,280.3,1.0,2.0,566.8
2.0,4.0,22.4,1.0,4.0,102.1,1.0,4.0,37.4,1.0,3.0,80.1,1.0,3.0,126.5,1.0,3.0,607.0
2.0,5.0,27.2,1.0,5.0,131.7,1.0,5.0,37.4,1.0,5.0,69.2,1.0,4.0,132.6,1.0,4.0,542.9
2.0,6.0,53.9,1.0,6.0,188.0,1.0,6.0,91.2,1.0,6.0,144.9,1.0,6.0,193.7,1.0,5.0,524.4
3.0,2.0,9.8,3.0,1.0,148.8,2.0,1.0,136.6,2.0,1.0,188.9,2.0,1.0,484.8,2.0,1.0,763.3
3.0,4.0,9.6,3.0,4.0,273.3,2.0,4.0,186.6,2.0,3.0,231.5,2.0,3.0,470.1,2.0,3.0,1284.0
3.0,5.0,10.0,3.0,5.0,329.4,2.0,5.0,183.1,2.0,5.0,395.3,2.0,4.0,535.4,2.0,4.0,988.4
3.0,6.0,26.1,3.0,6.0,550.6,2.0,6.0,342.6,2.0,6.0,456.1,2.0,6.0,621.7,2.0,5.0,917.8
4.0,2.0,25.8,4.0,1.0,232.2,4.0,1.0,74.4,3.0,1.0,95.3,3.0,1.0,158.9,3.0,1.0,886.1
4.0,3.0,15.6,4.0,3.0,315.9,4.0,2.0,165.0,3.0,2.0,232.9,3.0,2.0,423.6,3.0,2.0,1376.0
4.0,5.0,19.4,4.0,5.0,458.9,4.0,5.0,76.9,3.0,5.0,135.9,3.0,4.0,217.1,3.0,4.0,988.4
4.0,6.0,49.2,4.0,6.0,500.6,4.0,6.0,162.6,3.0,6.0,264.0,3.0,6.0,286.6,3.0,5.0,794.8
5.0,2.0,44.0,5.0,1.0,338.1,5.0,1.0,73.9,5.0,1.0,96.1,4.0,1.0,178.4,4.0,1.0,621.7
5.0,3.0,22.3,5.0,3.0,453.5,5.0,2.0,167.9,5.0,2.0,298.8,4.0,2.0,510.5,4.0,2.0,866.2
5.0,4.0,35.1,5.0,4.0,584.0,5.0,4.0,96.2,5.0,3.0,161.6,4.0,3.0,246.3,4.0,3.0,1263.0
5.0,6.0,62.9,5.0,6.0,664.6,5.0,6.0,140.6,5.0,6.0,157.9,4.0,6.0,313.4,4.0,5.0,778.7
6.0,2.0,139.6,6.0,1.0,579.6,6.0,1.0,273.3,6.0,1.0,283.4,6.0,1.0,370.6,5.0,1.0,653.3
6.0,3.0,95.8,6.0,3.0,1101.0,6.0,2.0,453.5,6.0,2.0,531.7,6.0,2.0,727.3,5.0,2.0,1186.0
6.0,4.0,128.4,6.0,4.0,838.0,6.0,4.0,345.7,6.0,3.0,458.9,6.0,3.0,421.2,5.0,3.0,907.0
6.0,5.0,109.5,6.0,5.0,856.6,6.0,5.0,280.3,6.0,5.0,278.3,6.0,4.0,425.9,5.0,4.0,794.8
