1,佐藤 旭,佐藤 旭.1,2,渡 修平,渡 修平.1,3,川上 剛,川上 剛.1,4,川北 浩貴,川北 浩貴.1,5,河合 佑樹,河合 佑樹.1,6,田添 康介,田添 康介.1
2.0,3.0,42.1,1.0,3.0,285.6,1.0,2.0,89.3,1.0,2.0,160.0,1.0,2.0,170.0,1.0,2.0,2370.0
2.0,4.0,50.7,1.0,4.0,357.6,1.0,4.0,18.2,1.0,3.0,52.2,1.0,3.0,40.5,1.0,3.0,2175.0
2.0,5.0,56.2,1.0,5.0,321.4,1.0,5.0,17.0,1.0,5.0,46.9,1.0,4.0,58.7,1.0,4.0,2481.0
2.0,6.0,181.6,1.0,6.0,863.0,1.0,6.0,118.2,1.0,6.0,207.3,1.0,6.0,170.9,1.0,5.0,1913.0
3.0,2.0,40.3,3.0,1.0,371.9,2.0,1.0,227.1,2.0,1.0,490.1,2.0,1.0,352.8,2.0,1.0,2520.0
3.0,4.0,10.6,3.0,4.0,452.4,2.0,4.0,160.8,2.0,3.0,313.8,2.0,3.0,261.6,2.0,3.0,2335.0
3.0,5.0,11.4,3.0,5.0,425.7,2.0,5.0,140.2,2.0,5.0,250.0,2.0,4.0,280.0,2.0,4.0,2603.0
3.0,6.0,129.3,3.0,6.0,1005.0,2.0,6.0,438.6,2.0,6.0,863.0,2.0,6.0,756.2,2.0,5.0,3873.0
4.0,2.0,49.2,4.0,1.0,571.2,4.0,1.0,27.0,3.0,1.0,53.4,3.0,1.0,55.8,3.0,1.0,1846.0
4.0,3.0,19.0,4.0,3.0,610.7,4.0,2.0,122.7,3.0,2.0,188.3,3.0,2.0,219.0,3.0,2.0,2145.0
4.0,5.0,20.6,4.0,5.0,399.0,4.0,5.0,18.3,3.0,5.0,34.1,3.0,4.0,49.6,3.0,4.0,1380.0
4.0,6.0,138.6,4.0,6.0,1095.0,4.0,6.0,87.9,3.0,6.0,130.4,3.0,6.0,147.8,3.0,5.0,1526.0
5.0,2.0,57.5,5.0,1.0,408.2,5.0,1.0,28.2,5.0,1.0,47.6,4.0,1.0,66.5,4.0,1.0,2010.0
5.0,3.0,16.3,5.0,3.0,478.3,5.0,2.0,109.0,5.0,2.0,138.8,4.0,2.0,219.3,4.0,2.0,2236.0
5.0,4.0,21.7,5.0,4.0,512.2,5.0,4.0,23.6,5.0,3.0,36.3,4.0,3.0,52.9,4.0,3.0,1512.0
5.0,6.0,114.0,5.0,6.0,907.4,5.0,6.0,90.8,5.0,6.0,91.7,4.0,6.0,141.9,4.0,5.0,1470.0
6.0,2.0,494.7,6.0,1.0,2035.0,6.0,1.0,481.2,6.0,1.0,693.4,6.0,1.0,534.6,5.0,1.0,2205.0
6.0,3.0,286.6,6.0,3.0,2089.0,6.0,2.0,867.7,6.0,2.0,1080.0,6.0,2.0,1167.0,5.0,2.0,4179.0
6.0,4.0,487.1,6.0,4.0,2205.0,6.0,4.0,294.6,6.0,3.0,451.1,6.0,3.0,352.1,5.0,3.0,1671.0
6.0,5.0,372.7,6.0,5.0,2145.0,6.0,5.0,341.5,6.0,5.0,384.5,6.0,4.0,395.0,5.0,4.0,1443.0
