1,藤森 陸斗,藤森 陸斗.1,2,田中 宏典,田中 宏典.1,3,中村 駿平,中村 駿平.1,4,渡辺 空依,渡辺 空依.1,5,柳瀬 幹太,柳瀬 幹太.1,6,藤本 元輝,藤本 元輝.1
2.0,3.0,17.6,1.0,3.0,104.9,1.0,2.0,53.7,1.0,2.0,109.5,1.0,2.0,122.4,1.0,2.0,600.3
2.0,4.0,18.4,1.0,4.0,126.3,1.0,4.0,28.3,1.0,3.0,79.6,1.0,3.0,78.0,1.0,3.0,471.3
2.0,5.0,28.8,1.0,5.0,148.1,1.0,5.0,29.6,1.0,5.0,49.7,1.0,4.0,74.2,1.0,4.0,533.6
2.0,6.0,56.5,1.0,6.0,261.2,1.0,6.0,79.1,1.0,6.0,128.3,1.0,6.0,133.9,1.0,5.0,663.5
3.0,2.0,14.8,3.0,1.0,132.1,2.0,1.0,117.6,2.0,1.0,189.5,2.0,1.0,179.1,2.0,1.0,960.5
3.0,4.0,11.5,3.0,4.0,155.6,2.0,4.0,97.8,2.0,3.0,185.4,2.0,3.0,190.6,2.0,3.0,1108.0
3.0,5.0,14.1,3.0,5.0,146.1,2.0,5.0,113.9,2.0,5.0,240.7,2.0,4.0,256.6,2.0,4.0,1172.0
3.0,6.0,40.8,3.0,6.0,289.0,2.0,6.0,232.9,2.0,6.0,405.0,2.0,6.0,289.0,2.0,5.0,1215.0
4.0,2.0,25.4,4.0,1.0,211.0,4.0,1.0,51.5,3.0,1.0,103.3,3.0,1.0,95.4,3.0,1.0,517.2
4.0,3.0,19.6,4.0,3.0,228.7,4.0,2.0,101.9,3.0,2.0,163.4,3.0,2.0,178.5,3.0,2.0,840.5
4.0,5.0,24.3,4.0,5.0,264.7,4.0,5.0,51.0,3.0,5.0,105.6,3.0,4.0,142.6,3.0,4.0,642.4
4.0,6.0,62.7,4.0,6.0,398.6,4.0,6.0,128.4,3.0,6.0,192.4,3.0,6.0,230.2,3.0,5.0,900.5
5.0,2.0,39.9,5.0,1.0,221.1,5.0,1.0,64.2,5.0,1.0,63.2,4.0,1.0,95.6,4.0,1.0,554.1
5.0,3.0,31.5,5.0,3.0,190.3,5.0,2.0,116.8,5.0,2.0,166.7,4.0,2.0,220.2,4.0,2.0,1029.0
5.0,4.0,34.9,5.0,4.0,279.3,5.0,4.0,72.8,5.0,3.0,144.9,4.0,3.0,193.9,4.0,3.0,705.3
5.0,6.0,86.2,5.0,6.0,438.5,5.0,6.0,150.7,5.0,6.0,118.8,4.0,6.0,168.3,4.0,5.0,695.5
6.0,2.0,115.4,6.0,1.0,509.4,6.0,1.0,205.0,6.0,1.0,233.4,6.0,1.0,205.8,5.0,1.0,603.9
6.0,3.0,140.8,6.0,3.0,626.4,6.0,2.0,358.9,6.0,2.0,438.5,6.0,2.0,298.4,5.0,2.0,960.5
6.0,4.0,143.2,6.0,4.0,725.6,6.0,4.0,225.6,6.0,3.0,323.2,6.0,3.0,128.4,5.0,3.0,833.5
6.0,5.0,162.6,6.0,5.0,686.1,6.0,5.0,259.2,6.0,5.0,257.9,6.0,4.0,242.4,5.0,4.0,622.6
