1,山本 浩輔,山本 浩輔.1,2,為本 智也,為本 智也.1,3,広次 修,広次 修.1,4,石田 政吾,石田 政吾.1,5,國弘 翔平,國弘 翔平.1,6,江夏 満,江夏 満.1
2.0,3.0,19.9,1.0,3.0,26.2,1.0,2.0,97.9,1.0,2.0,74.0,1.0,2.0,544.1,1.0,2.0,145.3
2.0,4.0,16.3,1.0,4.0,18.1,1.0,4.0,81.1,1.0,3.0,155.2,1.0,3.0,526.2,1.0,3.0,243.0
2.0,5.0,67.2,1.0,5.0,63.6,1.0,5.0,166.2,1.0,5.0,217.1,1.0,4.0,550.4,1.0,4.0,171.6
2.0,6.0,19.9,1.0,6.0,22.3,1.0,6.0,71.9,1.0,6.0,70.4,1.0,6.0,394.1,1.0,5.0,560.0
3.0,2.0,25.1,3.0,1.0,44.6,2.0,1.0,102.6,2.0,1.0,81.2,2.0,1.0,694.0,2.0,1.0,149.4
3.0,4.0,27.3,3.0,4.0,46.9,2.0,4.0,67.8,2.0,3.0,112.2,2.0,3.0,731.0,2.0,3.0,166.2
3.0,5.0,68.3,3.0,5.0,132.4,2.0,5.0,204.2,2.0,5.0,227.4,2.0,4.0,550.4,2.0,4.0,98.8
3.0,6.0,27.5,3.0,6.0,38.2,2.0,6.0,74.9,2.0,6.0,56.5,2.0,6.0,535.0,2.0,5.0,380.0
4.0,2.0,27.9,4.0,1.0,39.5,4.0,1.0,115.8,3.0,1.0,173.8,3.0,1.0,736.7,3.0,1.0,334.8
4.0,3.0,33.3,4.0,3.0,48.9,4.0,2.0,101.2,3.0,2.0,145.9,3.0,2.0,967.4,3.0,2.0,237.6
4.0,5.0,96.9,4.0,5.0,111.6,4.0,5.0,277.6,3.0,5.0,350.8,3.0,4.0,1126.0,3.0,4.0,289.3
4.0,6.0,31.4,4.0,6.0,24.4,4.0,6.0,99.2,3.0,6.0,110.7,3.0,6.0,818.5,3.0,5.0,591.1
5.0,2.0,159.0,5.0,1.0,225.8,5.0,1.0,354.7,5.0,1.0,289.3,4.0,1.0,660.5,4.0,1.0,166.2
5.0,3.0,184.5,5.0,3.0,295.5,5.0,2.0,412.8,5.0,2.0,320.3,4.0,2.0,544.1,4.0,2.0,110.5
5.0,4.0,242.4,5.0,4.0,250.0,5.0,4.0,491.1,5.0,3.0,469.4,4.0,3.0,977.2,4.0,3.0,270.5
5.0,6.0,177.6,5.0,6.0,180.3,5.0,6.0,277.6,5.0,6.0,189.2,4.0,6.0,332.5,4.0,5.0,338.4
6.0,2.0,45.5,6.0,1.0,56.3,6.0,1.0,148.0,6.0,1.0,100.0,6.0,1.0,602.3,5.0,1.0,634.2
6.0,3.0,56.5,6.0,3.0,70.1,6.0,2.0,140.6,6.0,2.0,70.8,6.0,2.0,655.9,5.0,2.0,731.0
6.0,4.0,52.6,6.0,4.0,39.7,6.0,4.0,152.0,6.0,3.0,133.2,6.0,3.0,785.0,5.0,3.0,798.1
6.0,5.0,155.2,6.0,5.0,159.3,6.0,5.0,272.8,6.0,5.0,179.0,6.0,4.0,383.0,5.0,4.0,520.5
