1,東 健介,東 健介.1,2,豊田 泰洋,豊田 泰洋.1,3,深尾 巴恵,深尾 巴恵.1,4,伏田 裕隆,伏田 裕隆.1,5,峰重 力也,峰重 力也.1,6,木村 光宏,木村 光宏.1
2.0,3.0,21.6,1.0,3.0,111.4,1.0,2.0,75.4,1.0,2.0,83.0,1.0,2.0,90.8,1.0,2.0,167.9
2.0,4.0,36.9,1.0,4.0,151.0,1.0,4.0,48.6,1.0,3.0,69.8,1.0,3.0,69.8,1.0,3.0,160.9
2.0,5.0,28.2,1.0,5.0,129.0,1.0,5.0,40.7,1.0,5.0,83.3,1.0,4.0,79.4,1.0,4.0,142.5
2.0,6.0,35.1,1.0,6.0,136.5,1.0,6.0,49.9,1.0,6.0,74.2,1.0,6.0,60.1,1.0,5.0,173.0
3.0,2.0,18.6,3.0,1.0,199.3,2.0,1.0,135.2,2.0,1.0,122.4,2.0,1.0,163.7,2.0,1.0,283.0
3.0,4.0,19.3,3.0,4.0,386.5,2.0,4.0,203.3,2.0,3.0,174.8,2.0,3.0,203.5,2.0,3.0,472.9
3.0,5.0,15.1,3.0,5.0,298.0,2.0,5.0,137.6,2.0,5.0,188.7,2.0,4.0,300.9,2.0,4.0,363.4
3.0,6.0,23.7,3.0,6.0,369.6,2.0,6.0,201.9,2.0,6.0,176.2,2.0,6.0,181.2,2.0,5.0,377.8
4.0,2.0,53.2,4.0,1.0,306.4,4.0,1.0,103.7,3.0,1.0,114.9,3.0,1.0,110.6,3.0,1.0,214.1
4.0,3.0,43.9,4.0,3.0,547.7,4.0,2.0,195.7,3.0,2.0,192.7,3.0,2.0,196.5,3.0,2.0,454.5
4.0,5.0,63.0,4.0,5.0,486.5,4.0,5.0,105.0,3.0,5.0,121.8,3.0,4.0,163.2,3.0,4.0,256.3
4.0,6.0,55.8,4.0,6.0,541.9,4.0,6.0,129.7,3.0,6.0,136.4,3.0,6.0,121.4,3.0,5.0,284.1
5.0,2.0,29.6,5.0,1.0,225.6,5.0,1.0,71.3,5.0,1.0,117.4,4.0,1.0,128.6,4.0,1.0,181.0
5.0,3.0,22.9,5.0,3.0,302.1,5.0,2.0,135.4,5.0,2.0,211.5,4.0,2.0,281.4,4.0,2.0,355.8
5.0,4.0,47.2,5.0,4.0,420.6,5.0,4.0,109.2,5.0,3.0,133.3,4.0,3.0,202.5,4.0,3.0,312.7
5.0,6.0,33.8,5.0,6.0,295.1,5.0,6.0,78.9,5.0,6.0,114.3,4.0,6.0,138.8,4.0,5.0,242.1
6.0,2.0,56.7,6.0,1.0,338.4,6.0,1.0,97.6,6.0,1.0,98.9,6.0,1.0,69.4,5.0,1.0,164.1
6.0,3.0,49.8,6.0,3.0,592.5,6.0,2.0,227.6,6.0,2.0,180.6,6.0,2.0,122.5,5.0,2.0,220.0
6.0,4.0,57.8,6.0,4.0,504.2,6.0,4.0,122.8,6.0,3.0,146.4,6.0,3.0,102.9,5.0,3.0,235.7
6.0,5.0,61.5,6.0,5.0,409.3,6.0,5.0,111.9,6.0,5.0,123.8,6.0,4.0,81.0,5.0,4.0,198.0
