1,菅 章哉,菅 章哉.1,2,富山 弘幸,富山 弘幸.1,3,山ノ内　雅人,山ノ内　雅人.1,4,田中 京介,田中 京介.1,5,粟田 祥,粟田 祥.1,6,永田 義紘,永田 義紘.1
2.0,3.0,6.5,1.0,3.0,66.1,1.0,2.0,43.2,1.0,2.0,64.6,1.0,2.0,976.2,1.0,2.0,665.4
2.0,4.0,10.7,1.0,4.0,106.4,1.0,4.0,34.8,1.0,3.0,62.6,1.0,3.0,841.9,1.0,3.0,622.9
2.0,5.0,63.1,1.0,5.0,282.6,1.0,5.0,107.4,1.0,5.0,168.9,1.0,4.0,801.0,1.0,4.0,593.5
2.0,6.0,31.8,1.0,6.0,219.3,1.0,6.0,78.1,1.0,6.0,83.5,1.0,6.0,1053.0,1.0,5.0,1629.0
3.0,2.0,6.6,3.0,1.0,121.5,2.0,1.0,101.0,2.0,1.0,179.1,2.0,1.0,1351.0,2.0,1.0,1121.0
3.0,4.0,6.6,3.0,4.0,264.3,2.0,4.0,192.9,2.0,3.0,229.3,2.0,3.0,1887.0,2.0,3.0,1503.0
3.0,5.0,35.2,3.0,5.0,758.5,2.0,5.0,473.0,2.0,5.0,575.2,2.0,4.0,1984.0,2.0,4.0,1593.0
3.0,6.0,18.9,3.0,6.0,539.0,2.0,6.0,393.1,2.0,6.0,300.7,2.0,6.0,1965.0,2.0,5.0,2997.0
4.0,2.0,11.0,4.0,1.0,248.7,4.0,1.0,85.5,3.0,1.0,114.1,3.0,1.0,1127.0,3.0,1.0,939.8
4.0,3.0,11.3,4.0,3.0,353.3,4.0,2.0,164.5,3.0,2.0,194.7,3.0,2.0,2255.0,3.0,2.0,1674.0
4.0,5.0,51.5,4.0,5.0,1084.0,4.0,5.0,324.9,3.0,5.0,440.0,3.0,4.0,2021.0,3.0,4.0,1414.0
4.0,6.0,22.4,4.0,6.0,593.5,4.0,6.0,208.9,3.0,6.0,206.5,3.0,6.0,2566.0,3.0,5.0,3083.0
5.0,2.0,163.0,5.0,1.0,828.9,5.0,1.0,399.4,5.0,1.0,274.9,4.0,1.0,862.3,4.0,1.0,757.1
5.0,3.0,132.2,5.0,3.0,1707.0,5.0,2.0,850.3,5.0,2.0,468.3,4.0,2.0,1587.0,4.0,2.0,1351.0
5.0,4.0,153.7,5.0,4.0,2164.0,5.0,4.0,749.2,5.0,3.0,479.3,4.0,3.0,1661.0,4.0,3.0,1260.0
5.0,6.0,207.0,5.0,6.0,2090.0,5.0,6.0,1121.0,5.0,6.0,337.9,4.0,6.0,1063.0,4.0,5.0,2012.0
6.0,2.0,69.0,6.0,1.0,615.7,6.0,1.0,329.1,6.0,1.0,165.7,6.0,1.0,1654.0,5.0,1.0,2764.0
6.0,3.0,58.7,6.0,3.0,1050.0,6.0,2.0,711.9,6.0,2.0,312.5,6.0,2.0,2955.0,5.0,2.0,3374.0
6.0,4.0,63.7,6.0,4.0,1030.0,6.0,4.0,527.1,6.0,3.0,318.6,6.0,3.0,2551.0,5.0,3.0,3861.0
6.0,5.0,185.2,6.0,5.0,2255.0,6.0,5.0,1148.0,6.0,5.0,420.5,6.0,4.0,1904.0,5.0,4.0,3018.0
