1,横田 貴満,横田 貴満.1,2,渡邉 英児,渡邉 英児.1,3,後藤 陽介,後藤 陽介.1,4,森林 太,森林 太.1,5,松村 敏,松村 敏.1,6,向井田　佑紀,向井田　佑紀.1
2.0,3.0,16.8,1.0,3.0,56.8,1.0,2.0,95.7,1.0,2.0,553.1,1.0,2.0,15.2,1.0,2.0,738.9
2.0,4.0,38.1,1.0,4.0,122.5,1.0,4.0,237.6,1.0,3.0,979.6,1.0,3.0,32.0,1.0,3.0,820.8
2.0,5.0,7.4,1.0,5.0,24.6,1.0,5.0,56.7,1.0,5.0,465.0,1.0,4.0,96.5,1.0,4.0,1959.0
2.0,6.0,47.8,1.0,6.0,118.9,1.0,6.0,239.1,1.0,6.0,1058.0,1.0,6.0,29.6,1.0,5.0,485.9
3.0,2.0,25.8,3.0,1.0,125.7,2.0,1.0,145.2,2.0,1.0,825.2,2.0,1.0,23.9,2.0,1.0,709.5
3.0,4.0,64.1,3.0,4.0,471.5,2.0,4.0,445.3,2.0,3.0,1650.0,2.0,3.0,57.6,2.0,3.0,1922.0
3.0,5.0,17.6,3.0,5.0,98.5,2.0,5.0,94.1,2.0,5.0,723.1,2.0,4.0,156.7,2.0,4.0,2786.0
3.0,6.0,78.9,3.0,6.0,429.5,2.0,6.0,411.5,2.0,6.0,1214.0,2.0,6.0,54.3,2.0,5.0,590.8
4.0,2.0,72.3,4.0,1.0,418.3,4.0,1.0,484.3,3.0,1.0,1380.0,3.0,1.0,91.3,3.0,1.0,1984.0
4.0,3.0,105.9,4.0,3.0,749.8,4.0,2.0,534.6,3.0,2.0,1898.0,3.0,2.0,96.3,3.0,2.0,2838.0
4.0,5.0,56.5,4.0,5.0,359.4,4.0,5.0,331.5,3.0,5.0,1112.0,3.0,4.0,316.3,3.0,4.0,2336.0
4.0,6.0,141.7,4.0,6.0,774.7,4.0,6.0,614.7,3.0,6.0,1632.0,3.0,6.0,151.6,3.0,5.0,1314.0
5.0,2.0,7.8,5.0,1.0,34.4,5.0,1.0,75.4,5.0,1.0,515.6,4.0,1.0,301.8,4.0,1.0,3572.0
5.0,3.0,14.6,5.0,3.0,69.5,5.0,2.0,83.3,5.0,2.0,589.7,4.0,2.0,321.0,4.0,2.0,4104.0
5.0,4.0,35.9,5.0,4.0,185.1,5.0,4.0,239.8,5.0,3.0,925.9,4.0,3.0,533.7,4.0,3.0,3337.0
5.0,6.0,22.1,5.0,6.0,105.2,5.0,6.0,145.8,5.0,6.0,719.6,4.0,6.0,371.2,4.0,5.0,1776.0
6.0,2.0,165.2,6.0,1.0,412.0,6.0,1.0,807.7,6.0,1.0,1696.0,6.0,1.0,58.6,5.0,1.0,401.7
6.0,3.0,245.9,6.0,3.0,807.7,6.0,2.0,877.7,6.0,2.0,2410.0,6.0,2.0,65.2,5.0,2.0,474.5
6.0,4.0,338.1,6.0,4.0,1133.0,6.0,4.0,1163.0,6.0,3.0,2200.0,6.0,3.0,136.1,5.0,3.0,1002.0
6.0,5.0,110.4,6.0,5.0,354.3,6.0,5.0,469.4,6.0,5.0,1320.0,6.0,4.0,239.1,5.0,4.0,1399.0
