1,待鳥 雄紀,待鳥 雄紀.1,2,福島 勇樹,福島 勇樹.1,3,小野 信樹,小野 信樹.1,4,村田 修次,村田 修次.1,5,横田 茂,横田 茂.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,16.6,1.0,3.0,57.1,1.0,2.0,127.5,1.0,2.0,31.5,1.0,2.0,243.1,1.0,2.0,1201.0
2.0,4.0,5.8,1.0,4.0,24.0,1.0,4.0,90.9,1.0,3.0,58.7,1.0,3.0,354.1,1.0,3.0,1543.0
2.0,5.0,23.9,1.0,5.0,53.8,1.0,5.0,182.3,1.0,5.0,32.5,1.0,4.0,101.3,1.0,4.0,945.9
2.0,6.0,102.1,1.0,6.0,273.5,1.0,6.0,500.4,1.0,6.0,164.7,1.0,6.0,512.6,1.0,5.0,1725.0
3.0,2.0,17.2,3.0,1.0,142.7,2.0,1.0,114.8,2.0,1.0,44.3,2.0,1.0,340.1,2.0,1.0,1856.0
3.0,4.0,11.8,3.0,4.0,158.1,2.0,4.0,228.0,2.0,3.0,141.2,2.0,3.0,971.0,2.0,3.0,3576.0
3.0,5.0,32.6,3.0,5.0,345.8,2.0,5.0,514.4,2.0,5.0,82.8,2.0,4.0,273.5,2.0,4.0,1981.0
3.0,6.0,137.8,3.0,6.0,810.0,2.0,6.0,1070.0,2.0,6.0,283.6,2.0,6.0,1211.0,2.0,5.0,3491.0
4.0,2.0,7.2,4.0,1.0,44.6,4.0,1.0,160.9,3.0,1.0,106.3,3.0,1.0,413.0,3.0,1.0,2327.0
4.0,3.0,12.1,4.0,3.0,72.4,4.0,2.0,244.3,3.0,2.0,244.7,3.0,2.0,1047.0,3.0,2.0,3858.0
4.0,5.0,13.2,4.0,5.0,93.9,4.0,5.0,326.5,3.0,5.0,205.0,3.0,4.0,584.1,3.0,4.0,2485.0
4.0,6.0,62.0,4.0,6.0,301.6,4.0,6.0,872.7,3.0,6.0,551.2,3.0,6.0,1173.0,3.0,5.0,2875.0
5.0,2.0,53.2,5.0,1.0,293.2,5.0,1.0,376.9,5.0,1.0,55.3,4.0,1.0,128.9,4.0,1.0,964.6
5.0,3.0,65.4,5.0,3.0,694.9,5.0,2.0,819.1,5.0,2.0,110.9,4.0,2.0,331.7,4.0,2.0,2156.0
5.0,4.0,32.1,5.0,4.0,233.8,5.0,4.0,623.9,5.0,3.0,177.5,4.0,3.0,694.9,4.0,3.0,2485.0
5.0,6.0,223.8,5.0,6.0,1309.0,5.0,6.0,1396.0,5.0,6.0,259.9,4.0,6.0,725.8,4.0,5.0,2094.0
6.0,2.0,383.8,6.0,1.0,1032.0,6.0,1.0,1286.0,6.0,1.0,557.5,6.0,1.0,1423.0,5.0,1.0,2618.0
6.0,3.0,381.8,6.0,3.0,1788.0,6.0,2.0,2008.0,6.0,2.0,847.5,6.0,2.0,1788.0,5.0,2.0,3665.0
6.0,4.0,280.3,6.0,4.0,1201.0,6.0,4.0,1856.0,6.0,3.0,1286.0,6.0,3.0,1437.0,5.0,3.0,2875.0
6.0,5.0,490.3,6.0,5.0,2291.0,6.0,5.0,1981.0,6.0,5.0,591.2,6.0,4.0,1163.0,5.0,4.0,2094.0
