1,村上 彰一,村上 彰一.1,2,庄司　樹良々,庄司　樹良々.1,3,青木 蓮,青木 蓮.1,4,古賀 繁輝,古賀 繁輝.1,5,木村 仁紀,木村 仁紀.1,6,金子 猛志,金子 猛志.1
2.0,3.0,44.2,1.0,3.0,64.0,1.0,2.0,79.1,1.0,2.0,56.2,1.0,2.0,125.9,1.0,2.0,1355.0
2.0,4.0,34.6,1.0,4.0,47.8,1.0,4.0,47.9,1.0,3.0,66.3,1.0,3.0,146.6,1.0,3.0,2142.0
2.0,5.0,54.3,1.0,5.0,70.9,1.0,5.0,68.6,1.0,5.0,29.3,1.0,4.0,92.0,1.0,4.0,1783.0
2.0,6.0,284.2,1.0,6.0,325.5,1.0,6.0,292.9,1.0,6.0,134.6,1.0,6.0,230.4,1.0,5.0,1704.0
3.0,2.0,48.8,3.0,1.0,108.4,2.0,1.0,99.9,2.0,1.0,71.3,2.0,1.0,170.2,2.0,1.0,1783.0
3.0,4.0,34.3,3.0,4.0,53.1,2.0,4.0,44.3,2.0,3.0,60.3,2.0,3.0,172.2,2.0,3.0,2608.0
3.0,5.0,55.3,3.0,5.0,74.9,2.0,5.0,62.8,2.0,5.0,32.8,2.0,4.0,88.0,2.0,4.0,1751.0
3.0,6.0,310.5,3.0,6.0,420.9,2.0,6.0,339.9,2.0,6.0,177.5,2.0,6.0,279.7,2.0,5.0,1660.0
4.0,2.0,36.0,4.0,1.0,62.6,4.0,1.0,43.6,3.0,1.0,63.2,3.0,1.0,190.3,3.0,1.0,2626.0
4.0,3.0,39.0,4.0,3.0,49.3,4.0,2.0,35.8,3.0,2.0,50.3,3.0,2.0,180.9,3.0,2.0,2719.0
4.0,5.0,29.5,4.0,5.0,39.1,4.0,5.0,22.6,3.0,5.0,25.3,3.0,4.0,102.6,3.0,4.0,1735.0
4.0,6.0,206.8,4.0,6.0,255.8,4.0,6.0,144.0,3.0,6.0,167.4,3.0,6.0,360.4,3.0,5.0,2178.0
5.0,2.0,77.2,5.0,1.0,121.8,5.0,1.0,97.8,5.0,1.0,22.6,4.0,1.0,64.9,4.0,1.0,1474.0
5.0,3.0,87.7,5.0,3.0,103.6,5.0,2.0,77.2,5.0,2.0,18.3,4.0,2.0,54.1,4.0,2.0,1331.0
5.0,4.0,54.6,5.0,4.0,68.2,5.0,4.0,43.7,5.0,3.0,20.6,4.0,3.0,66.7,4.0,3.0,1463.0
5.0,6.0,287.6,5.0,6.0,346.4,5.0,6.0,225.0,5.0,6.0,33.2,4.0,6.0,86.7,4.0,5.0,553.3
6.0,2.0,672.7,6.0,1.0,815.9,6.0,1.0,724.9,6.0,1.0,279.9,6.0,1.0,406.2,5.0,1.0,1336.0
6.0,3.0,762.3,6.0,3.0,1071.0,6.0,2.0,782.6,6.0,2.0,305.3,6.0,2.0,445.9,5.0,2.0,1229.0
6.0,4.0,707.5,6.0,4.0,871.5,6.0,4.0,507.9,6.0,3.0,353.4,6.0,3.0,504.5,5.0,3.0,1486.0
6.0,5.0,746.0,6.0,5.0,854.0,6.0,5.0,603.9,6.0,5.0,145.3,6.0,4.0,239.8,5.0,4.0,534.8
