1,平見 真彦,平見 真彦.1,2,田中 堅,田中 堅.1,3,山下 大輝,山下 大輝.1,4,金子 萌,金子 萌.1,5,富永 正人,富永 正人.1,6,宇野 博之,宇野 博之.1
2.0,3.0,15.7,1.0,3.0,70.8,1.0,2.0,42.9,1.0,2.0,40.6,1.0,2.0,297.2,1.0,2.0,1441.0
2.0,4.0,11.8,1.0,4.0,54.5,1.0,4.0,20.6,1.0,3.0,33.1,1.0,3.0,300.4,1.0,3.0,1746.0
2.0,5.0,35.0,1.0,5.0,116.1,1.0,5.0,50.1,1.0,5.0,46.2,1.0,4.0,247.7,1.0,4.0,1327.0
2.0,6.0,81.1,1.0,6.0,239.9,1.0,6.0,136.4,1.0,6.0,104.1,1.0,6.0,448.7,1.0,5.0,1854.0
3.0,2.0,15.1,3.0,1.0,180.1,2.0,1.0,148.8,2.0,1.0,101.2,2.0,1.0,499.3,2.0,1.0,2433.0
3.0,4.0,7.1,3.0,4.0,236.7,2.0,4.0,173.1,2.0,3.0,217.9,2.0,3.0,999.8,2.0,3.0,4625.0
3.0,5.0,19.7,3.0,5.0,444.5,2.0,5.0,307.2,2.0,5.0,252.2,2.0,4.0,822.1,2.0,4.0,3567.0
3.0,6.0,64.5,3.0,6.0,901.3,2.0,6.0,600.4,2.0,6.0,478.3,2.0,6.0,1283.0,2.0,5.0,4209.0
4.0,2.0,10.9,4.0,1.0,115.5,4.0,1.0,34.6,3.0,1.0,58.9,3.0,1.0,454.5,3.0,1.0,2405.0
4.0,3.0,8.3,4.0,3.0,233.3,4.0,2.0,103.4,3.0,2.0,165.1,3.0,2.0,1016.0,3.0,2.0,4295.0
4.0,5.0,16.1,4.0,5.0,323.5,4.0,5.0,71.0,3.0,5.0,106.1,3.0,4.0,620.8,3.0,4.0,1994.0
4.0,6.0,45.8,4.0,6.0,567.3,4.0,6.0,129.2,3.0,6.0,229.7,3.0,6.0,1073.0,3.0,5.0,3478.0
5.0,2.0,68.0,5.0,1.0,402.8,5.0,1.0,179.2,5.0,1.0,107.9,4.0,1.0,316.9,4.0,1.0,1441.0
5.0,3.0,51.5,5.0,3.0,797.2,5.0,2.0,336.4,5.0,2.0,217.3,4.0,2.0,663.9,4.0,2.0,3263.0
5.0,4.0,52.8,5.0,4.0,610.9,5.0,4.0,189.7,5.0,3.0,194.9,4.0,3.0,548.8,4.0,3.0,2215.0
5.0,6.0,139.9,5.0,6.0,1107.0,5.0,6.0,410.2,5.0,6.0,224.9,4.0,6.0,625.4,4.0,5.0,2115.0
6.0,2.0,268.6,6.0,1.0,1199.0,6.0,1.0,681.1,6.0,1.0,385.8,6.0,1.0,1093.0,5.0,1.0,2715.0
6.0,3.0,289.7,6.0,3.0,2063.0,6.0,2.0,1153.0,6.0,2.0,700.4,6.0,2.0,1922.0,5.0,2.0,3628.0
6.0,4.0,215.4,6.0,4.0,1690.0,6.0,4.0,640.7,6.0,3.0,618.1,6.0,3.0,1683.0,5.0,3.0,3660.0
6.0,5.0,283.2,6.0,5.0,1582.0,6.0,5.0,768.1,6.0,5.0,428.6,6.0,4.0,1206.0,5.0,4.0,2215.0
