1,井川 大作,井川 大作.1,2,嶋田 貴支,嶋田 貴支.1,3,玄馬 徹,玄馬 徹.1,4,香月 大輝,香月 大輝.1,5,川上 清人,川上 清人.1,6,宮嵜　隆太郎,宮嵜　隆太郎.1
2.0,3.0,6.4,1.0,3.0,13.2,1.0,2.0,40.8,1.0,2.0,225.1,1.0,2.0,106.7,1.0,2.0,48.8
2.0,4.0,45.0,1.0,4.0,66.6,1.0,4.0,164.2,1.0,3.0,315.0,1.0,3.0,166.0,1.0,3.0,130.4
2.0,5.0,15.2,1.0,5.0,20.2,1.0,5.0,70.8,1.0,5.0,361.0,1.0,4.0,320.2,1.0,4.0,257.7
2.0,6.0,15.7,1.0,6.0,25.2,1.0,6.0,86.4,1.0,6.0,321.6,1.0,6.0,131.9,1.0,5.0,139.6
3.0,2.0,15.1,3.0,1.0,38.7,2.0,1.0,52.0,2.0,1.0,270.4,2.0,1.0,134.0,2.0,1.0,60.7
3.0,4.0,60.0,3.0,4.0,145.2,2.0,4.0,197.8,2.0,3.0,386.6,2.0,3.0,222.5,2.0,3.0,124.8
3.0,5.0,23.9,3.0,5.0,65.9,2.0,5.0,89.8,2.0,5.0,392.5,2.0,4.0,425.2,2.0,4.0,317.6
3.0,6.0,30.9,3.0,6.0,88.3,2.0,6.0,111.4,2.0,6.0,400.7,2.0,6.0,193.8,2.0,5.0,143.0
4.0,2.0,104.8,4.0,1.0,194.2,4.0,1.0,359.3,3.0,1.0,490.7,3.0,1.0,244.5,3.0,1.0,203.0
4.0,3.0,134.3,4.0,3.0,261.2,4.0,2.0,356.0,3.0,2.0,550.7,3.0,2.0,239.9,3.0,2.0,167.5
4.0,5.0,201.9,4.0,5.0,390.5,4.0,5.0,458.3,3.0,5.0,637.9,3.0,4.0,584.3,3.0,4.0,708.8
4.0,6.0,162.8,4.0,6.0,369.8,4.0,6.0,392.5,3.0,6.0,648.7,3.0,6.0,351.1,3.0,5.0,369.8
5.0,2.0,36.4,5.0,1.0,64.9,5.0,1.0,138.1,5.0,1.0,715.4,4.0,1.0,671.5,4.0,1.0,329.9
5.0,3.0,47.1,5.0,3.0,99.6,5.0,2.0,126.9,5.0,2.0,535.3,4.0,2.0,643.2,4.0,2.0,361.0
5.0,4.0,104.4,5.0,4.0,283.5,5.0,4.0,362.8,5.0,3.0,743.2,4.0,3.0,789.1,4.0,3.0,622.3
5.0,6.0,60.2,5.0,6.0,140.7,5.0,6.0,174.3,5.0,6.0,598.0,4.0,6.0,648.7,4.0,5.0,535.3
6.0,2.0,41.7,6.0,1.0,68.4,6.0,1.0,207.4,6.0,1.0,475.4,6.0,1.0,161.8,5.0,1.0,218.7
6.0,3.0,64.6,6.0,3.0,114.9,6.0,2.0,178.4,6.0,2.0,558.7,6.0,2.0,172.8,5.0,2.0,190.9
6.0,4.0,143.8,6.0,4.0,392.5,6.0,4.0,450.3,6.0,3.0,797.4,6.0,3.0,382.7,5.0,3.0,390.5
6.0,5.0,86.4,6.0,5.0,155.5,6.0,5.0,263.9,6.0,5.0,659.9,6.0,4.0,405.0,5.0,4.0,584.3
