1,山田 佑樹,山田 佑樹.1,2,松田 憲幸,松田 憲幸.1,3,梶原 正,梶原 正.1,4,宮脇 遼太,宮脇 遼太.1,5,尾形 栄治,尾形 栄治.1,6,烏野 賢太,烏野 賢太.1
2.0,3.0,10.5,1.0,3.0,49.0,1.0,2.0,57.9,1.0,2.0,72.2,1.0,2.0,373.3,1.0,2.0,96.4
2.0,4.0,14.1,1.0,4.0,66.2,1.0,4.0,46.7,1.0,3.0,85.1,1.0,3.0,454.9,1.0,3.0,200.4
2.0,5.0,27.9,1.0,5.0,100.1,1.0,5.0,103.3,1.0,5.0,84.6,1.0,4.0,371.8,1.0,4.0,225.8
2.0,6.0,17.2,1.0,6.0,60.4,1.0,6.0,64.5,1.0,6.0,65.3,1.0,6.0,271.6,1.0,5.0,260.1
3.0,2.0,13.7,3.0,1.0,113.7,2.0,1.0,119.7,2.0,1.0,126.0,2.0,1.0,693.6,2.0,1.0,197.5
3.0,4.0,14.4,3.0,4.0,130.9,2.0,4.0,102.9,2.0,3.0,144.2,2.0,3.0,674.5,2.0,3.0,248.2
3.0,5.0,29.6,3.0,5.0,240.9,2.0,5.0,195.6,2.0,5.0,159.5,2.0,4.0,801.7,2.0,4.0,400.8
3.0,6.0,19.8,3.0,6.0,163.8,2.0,6.0,122.7,2.0,6.0,132.3,2.0,6.0,582.1,2.0,5.0,499.0
4.0,2.0,21.1,4.0,1.0,148.6,4.0,1.0,84.9,3.0,1.0,135.8,3.0,1.0,719.1,3.0,1.0,360.9
4.0,3.0,20.7,4.0,3.0,172.1,4.0,2.0,105.5,3.0,2.0,155.7,3.0,2.0,808.3,3.0,2.0,370.4
4.0,5.0,48.8,4.0,5.0,304.6,4.0,5.0,168.6,3.0,5.0,175.9,3.0,4.0,1040.0,3.0,4.0,428.9
4.0,6.0,27.7,4.0,6.0,211.7,4.0,6.0,95.1,3.0,6.0,139.9,3.0,6.0,850.5,3.0,5.0,639.2
5.0,2.0,78.8,5.0,1.0,344.3,5.0,1.0,268.7,5.0,1.0,115.8,4.0,1.0,405.8,4.0,1.0,274.7
5.0,3.0,78.5,5.0,3.0,386.5,5.0,2.0,326.0,5.0,2.0,144.2,4.0,2.0,470.2,4.0,2.0,380.5
5.0,4.0,103.9,5.0,4.0,558.9,5.0,4.0,360.9,5.0,3.0,166.3,4.0,3.0,592.7,4.0,3.0,414.4
5.0,6.0,84.1,5.0,6.0,370.4,5.0,6.0,272.4,5.0,6.0,91.9,4.0,6.0,306.6,4.0,5.0,558.9
6.0,2.0,36.0,6.0,1.0,152.8,6.0,1.0,157.7,6.0,1.0,105.1,6.0,1.0,607.5,5.0,1.0,454.9
6.0,3.0,52.8,6.0,3.0,200.0,6.0,2.0,175.5,6.0,2.0,150.9,6.0,2.0,635.1,5.0,2.0,549.4
6.0,4.0,62.3,6.0,4.0,275.5,6.0,4.0,196.0,6.0,3.0,164.9,6.0,3.0,698.6,5.0,3.0,693.6
6.0,5.0,109.1,6.0,5.0,377.6,6.0,5.0,296.3,6.0,5.0,115.4,6.0,4.0,708.7,5.0,4.0,512.0
