1,河野 大,河野 大.1,2,木下 大將,木下 大將.1,3,後藤 浩,後藤 浩.1,4,磯村 匠,磯村 匠.1,5,福田 宗平,福田 宗平.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,21.5,1.0,3.0,76.8,1.0,2.0,255.3,1.0,2.0,508.7,1.0,2.0,146.5,1.0,2.0,14.1
2.0,4.0,54.6,1.0,4.0,141.6,1.0,4.0,585.7,1.0,3.0,715.4,1.0,3.0,323.7,1.0,3.0,40.1
2.0,5.0,21.9,1.0,5.0,59.0,1.0,5.0,365.2,1.0,5.0,441.3,1.0,4.0,501.3,1.0,4.0,69.6
2.0,6.0,7.6,1.0,6.0,27.5,1.0,6.0,168.3,1.0,6.0,354.8,1.0,6.0,102.2,1.0,5.0,22.4
3.0,2.0,35.3,3.0,1.0,219.7,2.0,1.0,384.0,2.0,1.0,715.4,2.0,1.0,220.3,2.0,1.0,34.3
3.0,4.0,94.0,3.0,4.0,760.5,2.0,4.0,1055.0,2.0,3.0,1513.0,2.0,3.0,708.9,2.0,3.0,116.9
3.0,5.0,62.2,3.0,5.0,389.7,2.0,5.0,627.9,2.0,5.0,829.0,2.0,4.0,910.9,2.0,4.0,159.1
3.0,6.0,22.6,3.0,6.0,252.1,2.0,6.0,389.7,2.0,6.0,636.9,2.0,6.0,209.3,2.0,5.0,56.7
4.0,2.0,126.4,4.0,1.0,448.9,4.0,1.0,1279.0,3.0,1.0,1386.0,3.0,1.0,803.4,3.0,1.0,144.2
4.0,3.0,160.4,4.0,3.0,1088.0,4.0,2.0,1386.0,3.0,2.0,2008.0,3.0,2.0,1253.0,3.0,2.0,220.0
4.0,5.0,171.3,4.0,5.0,688.7,4.0,5.0,1559.0,3.0,5.0,1684.0,3.0,4.0,1658.0,3.0,4.0,425.7
4.0,6.0,98.7,4.0,6.0,481.3,4.0,6.0,1139.0,3.0,6.0,1284.0,3.0,6.0,961.2,3.0,5.0,218.5
5.0,2.0,47.1,5.0,1.0,179.0,5.0,1.0,842.3,5.0,1.0,432.2,4.0,1.0,789.3,4.0,1.0,163.0
5.0,3.0,103.3,5.0,3.0,438.8,5.0,2.0,875.3,5.0,2.0,518.8,4.0,2.0,916.2,4.0,2.0,216.4
5.0,4.0,188.7,5.0,4.0,643.4,5.0,4.0,1693.0,5.0,3.0,1111.0,4.0,3.0,1214.0,4.0,3.0,364.8
5.0,6.0,34.5,5.0,6.0,174.6,5.0,6.0,813.9,5.0,6.0,366.0,4.0,6.0,492.7,4.0,5.0,165.7
6.0,2.0,6.9,6.0,1.0,42.1,6.0,1.0,236.5,6.0,1.0,384.0,6.0,1.0,122.3,5.0,1.0,49.4
6.0,3.0,15.2,6.0,3.0,143.5,6.0,2.0,330.2,6.0,2.0,544.0,6.0,2.0,183.3,5.0,2.0,66.4
6.0,4.0,37.5,6.0,4.0,221.6,6.0,4.0,775.6,6.0,3.0,949.5,6.0,3.0,453.4,5.0,3.0,154.3
6.0,5.0,13.6,6.0,5.0,87.4,6.0,5.0,374.8,6.0,5.0,426.3,6.0,4.0,488.8,5.0,4.0,152.5
