1,森定 晃史,森定 晃史.1,2,田路 朋史,田路 朋史.1,3,杉山 正樹,杉山 正樹.1,4,本橋 克洋,本橋 克洋.1,5,梅木 敬太,梅木 敬太.1,6,坂口 周,坂口 周.1
2.0,3.0,14.8,1.0,3.0,67.4,1.0,2.0,36.9,1.0,2.0,246.3,1.0,2.0,198.2,1.0,2.0,181.6
2.0,4.0,34.7,1.0,4.0,136.0,1.0,4.0,23.0,1.0,3.0,148.7,1.0,3.0,152.0,1.0,3.0,95.2
2.0,5.0,50.2,1.0,5.0,164.7,1.0,5.0,40.4,1.0,5.0,284.5,1.0,4.0,351.2,1.0,4.0,230.9
2.0,6.0,32.8,1.0,6.0,125.0,1.0,6.0,20.3,1.0,6.0,191.9,1.0,6.0,229.9,1.0,5.0,244.3
3.0,2.0,11.1,3.0,1.0,124.0,2.0,1.0,94.0,2.0,1.0,387.9,2.0,1.0,257.8,2.0,1.0,339.4
3.0,4.0,10.5,3.0,4.0,172.1,2.0,4.0,114.5,2.0,3.0,333.0,2.0,3.0,252.5,2.0,3.0,366.5
3.0,5.0,26.1,3.0,5.0,203.3,2.0,5.0,151.6,2.0,5.0,449.9,2.0,4.0,457.8,2.0,4.0,505.7
3.0,6.0,10.3,3.0,6.0,185.3,2.0,6.0,115.3,2.0,6.0,383.3,2.0,6.0,293.3,2.0,5.0,436.8
4.0,2.0,52.0,4.0,1.0,317.9,4.0,1.0,46.8,3.0,1.0,152.9,3.0,1.0,201.3,3.0,1.0,127.0
4.0,3.0,27.8,4.0,3.0,277.6,4.0,2.0,93.8,3.0,2.0,239.7,3.0,2.0,254.7,3.0,2.0,247.0
4.0,5.0,90.9,4.0,5.0,412.8,4.0,5.0,76.5,3.0,5.0,223.1,3.0,4.0,337.4,3.0,4.0,223.4
4.0,6.0,54.8,4.0,6.0,344.3,4.0,6.0,46.2,3.0,6.0,167.3,3.0,6.0,263.9,3.0,5.0,258.2
5.0,2.0,73.1,5.0,1.0,319.0,5.0,1.0,99.2,5.0,1.0,431.1,4.0,1.0,662.2,4.0,1.0,446.2
5.0,3.0,57.0,5.0,3.0,308.0,5.0,2.0,150.7,5.0,2.0,400.0,4.0,2.0,624.7,4.0,2.0,504.5
5.0,4.0,128.6,5.0,4.0,515.0,5.0,4.0,129.2,5.0,3.0,391.7,4.0,3.0,525.3,4.0,3.0,363.2
5.0,6.0,100.8,5.0,6.0,382.1,5.0,6.0,100.6,5.0,6.0,396.1,4.0,6.0,622.2,4.0,5.0,612.1
6.0,2.0,49.5,6.0,1.0,352.6,6.0,1.0,42.5,6.0,1.0,284.2,6.0,1.0,341.4,5.0,1.0,362.8
6.0,3.0,25.6,6.0,3.0,330.0,6.0,2.0,95.9,6.0,2.0,379.1,6.0,2.0,366.8,5.0,2.0,368.2
6.0,4.0,67.4,6.0,4.0,449.7,6.0,4.0,56.7,6.0,3.0,243.8,6.0,3.0,333.6,5.0,3.0,366.0
6.0,5.0,98.7,6.0,5.0,452.7,6.0,5.0,77.7,6.0,5.0,382.9,6.0,4.0,598.7,5.0,4.0,588.1
