1,平田 忠則,平田 忠則.1,2,松本 博昭,松本 博昭.1,3,竹田 吉行,竹田 吉行.1,4,筒井 美琴,筒井 美琴.1,5,浦田 信義,浦田 信義.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,5.4,1.0,3.0,26.5,1.0,2.0,46.6,1.0,2.0,776.9,1.0,2.0,136.5,1.0,2.0,148.8
2.0,4.0,85.4,1.0,4.0,197.9,1.0,4.0,188.9,1.0,3.0,758.0,1.0,3.0,151.6,1.0,3.0,189.5
2.0,5.0,10.5,1.0,5.0,54.8,1.0,5.0,72.3,1.0,5.0,983.8,1.0,4.0,611.2,1.0,4.0,657.3
2.0,6.0,12.5,1.0,6.0,42.8,1.0,6.0,56.0,1.0,6.0,793.9,1.0,6.0,234.9,1.0,5.0,285.8
3.0,2.0,8.0,3.0,1.0,46.6,2.0,1.0,68.9,2.0,1.0,1027.0,2.0,1.0,205.7,2.0,1.0,237.0
3.0,4.0,82.6,3.0,4.0,243.0,2.0,4.0,275.1,2.0,3.0,1040.0,2.0,3.0,238.3,2.0,3.0,292.7
3.0,5.0,13.1,3.0,5.0,93.4,2.0,5.0,123.3,2.0,5.0,1513.0,2.0,4.0,898.6,2.0,4.0,992.8
3.0,6.0,15.0,3.0,6.0,74.7,2.0,6.0,91.4,2.0,6.0,1204.0,2.0,6.0,368.7,2.0,5.0,489.1
4.0,2.0,251.6,4.0,1.0,521.9,4.0,1.0,297.3,3.0,1.0,873.4,3.0,1.0,265.4,3.0,1.0,288.4
4.0,3.0,244.4,4.0,3.0,530.8,4.0,2.0,348.6,3.0,2.0,999.6,3.0,2.0,332.2,3.0,2.0,353.4
4.0,5.0,324.7,4.0,5.0,793.9,4.0,5.0,404.3,3.0,5.0,1089.0,3.0,4.0,1006.0,3.0,4.0,997.3
4.0,6.0,230.2,4.0,6.0,487.5,4.0,6.0,246.9,3.0,6.0,817.7,3.0,6.0,453.0,3.0,5.0,553.8
5.0,2.0,18.3,5.0,1.0,133.4,5.0,1.0,158.1,5.0,1.0,1534.0,4.0,1.0,1353.0,4.0,1.0,1081.0
5.0,3.0,19.5,5.0,3.0,133.4,5.0,2.0,190.6,5.0,2.0,1508.0,4.0,2.0,1644.0,4.0,2.0,1267.0
5.0,4.0,167.6,5.0,4.0,638.1,5.0,4.0,508.5,5.0,3.0,1366.0,4.0,3.0,1545.0,4.0,3.0,1297.0
5.0,6.0,33.9,5.0,6.0,184.0,5.0,6.0,190.9,5.0,6.0,1392.0,4.0,6.0,1534.0,4.0,5.0,1518.0
6.0,2.0,32.4,6.0,1.0,134.2,6.0,1.0,118.6,6.0,1.0,1023.0,6.0,1.0,514.5,5.0,1.0,565.3
6.0,3.0,37.4,6.0,3.0,175.9,6.0,2.0,146.9,6.0,2.0,1103.0,6.0,2.0,604.5,5.0,2.0,698.4
6.0,4.0,215.3,6.0,4.0,514.5,6.0,4.0,320.7,6.0,3.0,1129.0,6.0,3.0,661.3,5.0,3.0,675.7
6.0,5.0,57.1,6.0,5.0,287.5,6.0,5.0,233.2,6.0,5.0,1429.0,6.0,4.0,1278.0,5.0,4.0,1349.0
