1,向井 美鈴,向井 美鈴.1,2,川原 愛未,川原 愛未.1,3,土屋　実沙希,土屋　実沙希.1,4,中谷 朋子,中谷 朋子.1,5,犬童 千秋,犬童 千秋.1,6,廣中　智紗衣,廣中　智紗衣.1
2.0,3.0,57.8,1.0,3.0,254.2,1.0,2.0,86.3,1.0,2.0,141.8,1.0,2.0,534.4,1.0,2.0,613.1
2.0,4.0,62.4,1.0,4.0,246.2,1.0,4.0,22.3,1.0,3.0,42.3,1.0,3.0,202.2,1.0,3.0,255.0
2.0,5.0,119.8,1.0,5.0,417.8,1.0,5.0,43.5,1.0,5.0,57.7,1.0,4.0,192.7,1.0,4.0,178.6
2.0,6.0,101.6,1.0,6.0,329.9,1.0,6.0,26.8,1.0,6.0,39.3,1.0,6.0,204.4,1.0,5.0,459.9
3.0,2.0,38.8,3.0,1.0,325.8,2.0,1.0,173.1,2.0,1.0,328.0,2.0,1.0,851.0,2.0,1.0,911.2
3.0,4.0,9.6,3.0,4.0,281.5,2.0,4.0,129.3,2.0,3.0,315.3,2.0,3.0,747.5,2.0,3.0,842.9
3.0,5.0,22.5,3.0,5.0,536.5,2.0,5.0,237.4,2.0,5.0,441.9,2.0,4.0,919.1,2.0,4.0,651.7
3.0,6.0,15.6,3.0,6.0,386.3,2.0,6.0,178.1,2.0,6.0,255.8,2.0,6.0,820.6,2.0,5.0,1258.0
4.0,2.0,47.9,4.0,1.0,322.4,4.0,1.0,30.1,3.0,1.0,50.5,3.0,1.0,249.3,3.0,1.0,276.8
4.0,3.0,12.5,4.0,3.0,302.3,4.0,2.0,87.4,3.0,2.0,168.6,3.0,2.0,655.7,3.0,2.0,675.8
4.0,5.0,27.1,4.0,5.0,546.0,4.0,5.0,40.2,3.0,5.0,66.4,3.0,4.0,223.8,3.0,4.0,161.6
4.0,6.0,17.3,4.0,6.0,297.4,4.0,6.0,23.9,3.0,6.0,40.9,3.0,6.0,234.9,3.0,5.0,436.8
5.0,2.0,144.8,5.0,1.0,740.2,5.0,1.0,111.2,5.0,1.0,95.3,4.0,1.0,250.2,4.0,1.0,167.7
5.0,3.0,54.9,5.0,3.0,670.7,5.0,2.0,271.8,5.0,2.0,334.0,4.0,2.0,717.1,4.0,2.0,465.6
5.0,4.0,61.6,5.0,4.0,851.0,5.0,4.0,87.6,5.0,3.0,104.3,4.0,3.0,246.7,4.0,3.0,158.0
5.0,6.0,66.1,5.0,6.0,723.0,5.0,6.0,89.1,5.0,6.0,66.6,4.0,6.0,179.1,4.0,5.0,266.2
6.0,2.0,141.3,6.0,1.0,657.3,6.0,1.0,84.4,6.0,1.0,57.4,6.0,1.0,311.2,5.0,1.0,581.4
6.0,3.0,55.0,6.0,3.0,666.4,6.0,2.0,226.2,6.0,2.0,193.3,6.0,2.0,786.5,5.0,2.0,1115.0
6.0,4.0,54.5,6.0,4.0,514.6,6.0,4.0,58.3,6.0,3.0,57.4,6.0,3.0,300.4,5.0,3.0,540.4
6.0,5.0,93.4,6.0,5.0,1002.0,6.0,5.0,111.4,6.0,5.0,72.7,6.0,4.0,226.0,5.0,4.0,348.4
